query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC1=CC=C(O1)C1=C2N=NN(CC3=CC=CC(CO[C@H]4CCOC4)=N3)C2=NC(N)=N1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1,ZINC15 : ZINC000114049093,consensus,1.0,zinc15
CC1=CC=C(O1)C1=C2N=NN(CC3=CC=CC(CO[C@H]4CCOC4)=N3)C2=NC(N)=N1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,NC1=NC(C2=CC=CC(COC3CCOC3)=C2)=C2C=CNC2=N1,ENAMINE-REAL : Z5113008736,consensus,0.4125,enamine-real
CC1=CC=C(O1)C1=C2N=NN(CC3=CC=CC(CO[C@H]4CCOC4)=N3)C2=NC(N)=N1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,CC1=CC(C2=CC=CC(COC3CCOC3)=C2)=NC(N)=N1,ENAMINE-REAL : Z3990024237,consensus,0.4025974025974026,enamine-real
CC1=CC=C(O1)C1=C2N=NN(CC3=CC=CC(CO[C@H]4CCOC4)=N3)C2=NC(N)=N1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,CC1=NC2=C(C3=CC=CC(COC4CCOC4)=C3)C=CC=C2O1,ENAMINE-REAL : Z4169243490,consensus,0.3924050632911392,enamine-real
CC1=CC=C(O1)C1=C2N=NN(CC3=CC=CC(CO[C@H]4CCOC4)=N3)C2=NC(N)=N1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,CC1=CC=C(N)N=C1C1=CC=CC(COC2CCOC2)=C1,ENAMINE-REAL : PV-007186749903,consensus,0.38461538461538464,enamine-real
CC1=CC=C(O1)C1=C2N=NN(CC3=CC=CC(CO[C@H]4CCOC4)=N3)C2=NC(N)=N1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,Cc1ccc(-c2nn(-c3ccccc3)cc2C[NH2+]CCCO[C@@H]2CCOC2)o1,ZINC15 : ZINC000152910769,consensus,0.38372093023255816,zinc15
CC1=CC=C(O1)C1=C2N=NN(CC3=CC=CC(CO[C@H]4CCOC4)=N3)C2=NC(N)=N1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,Cc1ccc(-c2nn(-c3ccccc3)cc2C[NH2+]CCCO[C@H]2CCOC2)o1,ZINC15 : ZINC000152910875,consensus,0.38372093023255816,zinc15
CC1=CC=C(O1)C1=C2N=NN(CC3=CC=CC(CO[C@H]4CCOC4)=N3)C2=NC(N)=N1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,Cc1ccc(-c2noc(COC3CCOCC3)n2)o1,ZINC15 : ZINC000350796078,consensus,0.3835616438356164,zinc15
CC1=CC=C(O1)C1=C2N=NN(CC3=CC=CC(CO[C@H]4CCOC4)=N3)C2=NC(N)=N1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,Cc1cccc(-c2nnc(CO[C@H]3CCOC3)o2)n1,ZINC15 : ZINC001258029141,consensus,0.3815789473684211,zinc15
CC1=CC=C(O1)C1=C2N=NN(CC3=CC=CC(CO[C@H]4CCOC4)=N3)C2=NC(N)=N1,KURQKNMKCGYWRJ-HNNXBMFYSA-N,Cc1cccc(-c2nnc(CO[C@@H]3CCOC3)o2)n1,ZINC15 : ZINC001258029142,consensus,0.3815789473684211,zinc15
