query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1nc(-c2cccnc2)cc(-c2cc(F)ccc2N)n1,ZINC15 : ZINC001244396384,consensus,0.40298507462686567,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,CC1=CC(F)=CC=C1C1=CN=C(N)C(C2=CC=CN=C2)=C1,ENAMINE-REAL : PV-007773947757,consensus,0.3880597014925373,enamine-real
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1ccc(F)cc1-c1nc(-c2cccnc2)nc2c1CCC2,ZINC15 : ZINC001240919207,consensus,0.3698630136986301,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,CC1=C(F)C=CC=C1C1=CN=C(N)C(C2=CC=CN=C2)=C1,ENAMINE-REAL : PV-008335292437,consensus,0.36231884057971014,enamine-real
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N2CCC[C@@H]2c2ccc(F)cc2F)nc(-c2cccnc2)n1,ZINC15 : ZINC000450908570,consensus,0.35443037974683544,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N2CCC[C@H]2c2ccc(F)cc2F)nc(-c2cccnc2)n1,ZINC15 : ZINC000450908573,consensus,0.35443037974683544,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N[C@H]2CC(C)(C)Oc3cc(F)ccc32)nc(-c2cccnc2)n1,ZINC15 : ZINC000481813539,consensus,0.345679012345679,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N[C@@H]2CC(C)(C)Oc3cc(F)ccc32)nc(-c2cccnc2)n1,ZINC15 : ZINC000481813540,consensus,0.345679012345679,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1nc(N)ncc1-c1cc(F)cc2cccnc21,ZINC15 : ZINC001241646424,consensus,0.34328358208955223,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,CC1=CC(F)=NC=C1C1=CN=C(N)C(C2=CC=CN=C2)=C1,ENAMINE-REAL : PV-008026985424,consensus,0.34285714285714286,enamine-real
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N[C@H]2c3ccc(F)cc3O[C@H]2C)nc(-c2cccnc2)n1,ZINC15 : ZINC000340943568,consensus,0.34177215189873417,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N[C@H]2COc3ccc(F)cc32)nc(-c2cccnc2)n1,ZINC15 : ZINC000341604325,consensus,0.34177215189873417,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N[C@@H]2COc3ccc(F)cc32)nc(-c2cccnc2)n1,ZINC15 : ZINC000341604328,consensus,0.34177215189873417,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N[C@@H]2c3ccc(F)cc3O[C@H]2C)nc(-c2cccnc2)n1,ZINC15 : ZINC000340943574,consensus,0.34177215189873417,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N2CCc3cc(F)ccc3[C@@H]2C)nc(-c2cccnc2)n1,ZINC15 : ZINC000167565885,consensus,0.34177215189873417,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N2CCc3cc(F)ccc3[C@H]2C)nc(-c2cccnc2)n1,ZINC15 : ZINC000167566012,consensus,0.34177215189873417,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N[C@H]2c3ccc(F)cc3O[C@@H]2C)nc(-c2cccnc2)n1,ZINC15 : ZINC000340943571,consensus,0.34177215189873417,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1cc(N[C@@H]2c3ccc(F)cc3O[C@@H]2C)nc(-c2cccnc2)n1,ZINC15 : ZINC000340943577,consensus,0.34177215189873417,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1nc(-c2cccnc2)nc(N2CCc3ccc(F)cc32)c1C,ZINC15 : ZINC000301522236,consensus,0.33766233766233766,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,Cc1nc(-c2cccnc2)nc(N2CCc3cc(F)ccc32)c1C,ZINC15 : ZINC000509474976,consensus,0.33766233766233766,zinc15
[H][C@]1(C\C(=N/O)C2=C(C1)N=C(N)N=C2C)C1=CC=C(F)C=C1C1=CC=CN=C1,KYIXUSLGFINPTC-WVFAEZDRSA-N,C[C@H]1Oc2cc(F)ccc2[C@H]1N=c1[nH]n2cc(-c3cccnc3)nc2s1,ZINC15 : ZINC000565561986,consensus,0.32558139534883723,zinc15
