query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,LEEIJTHMHDMWLJ-CQSZACIVSA-N,CCOC(=O)C1=CCCC[C@H]1S(=O)(=O)Nc1ccc(F)cc1Cl,ZINC15 : ZINC000013982410,consensus,1.0,zinc15
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,LEEIJTHMHDMWLJ-CQSZACIVSA-N,CCOC(=O)C1=CCCC[C@@H]1S(=O)(=O)Nc1ccc(F)cc1Cl,ZINC15 : ZINC000028637246,consensus,1.0,zinc15
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,LEEIJTHMHDMWLJ-CQSZACIVSA-N,CCOC(=O)c1ccc(S(=O)(=O)Nc2ccc(F)cc2Cl)cc1,ZINC15 : ZINC000006316461,consensus,0.5666666666666667,zinc15
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,LEEIJTHMHDMWLJ-CQSZACIVSA-N,CCOC(=O)C1CCN(S(=O)(=O)Nc2ccc(F)cc2Cl)CC1,ZINC15 : ZINC000481469862,consensus,0.546875,zinc15
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,LEEIJTHMHDMWLJ-CQSZACIVSA-N,CCOC(=O)c1ccncc1S(=O)(=O)Nc1ccc(F)cc1Cl,ZINC15 : ZINC001195636419,consensus,0.5384615384615384,zinc15
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,LEEIJTHMHDMWLJ-CQSZACIVSA-N,CCOC(=O)c1c(C)[nH]c(C)c1S(=O)(=O)Nc1ccc(F)cc1Cl,ZINC15 : ZINC000006998557,consensus,0.53125,zinc15
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,LEEIJTHMHDMWLJ-CQSZACIVSA-N,CCOC(=O)CS(=O)(=O)Nc1ccc(F)cc1Cl,ZINC15 : ZINC001195967208,consensus,0.5254237288135594,zinc15
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,LEEIJTHMHDMWLJ-CQSZACIVSA-N,CCOC(=O)c1ccccc1S(=O)(=O)Nc1ccc(F)cc1Cl,ZINC15 : ZINC000028638339,consensus,0.5238095238095238,zinc15
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,LEEIJTHMHDMWLJ-CQSZACIVSA-N,CCOC(=O)c1ccc(S(=O)(=O)Nc2ccc(F)cc2Cl)o1,ZINC15 : ZINC000174990261,consensus,0.515625,zinc15
[H][C@]1(CCCC=C1C(=O)OCC)S(=O)(=O)NC1=C(Cl)C=C(F)C=C1,LEEIJTHMHDMWLJ-CQSZACIVSA-N,CCOC(=O)c1ccc(F)c(S(=O)(=O)Nc2ccc(F)cc2Cl)c1,ZINC15 : ZINC000795279474,consensus,0.515625,zinc15
