query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NC1=CC=C([131I])C=C1)C(O)=O)C(O)=O,LFEGKCKGGNXWDV-LUOJOMRDSA-N,CNC(=O)[C@H](CCCCNC(=O)Nc1ccccc1)NC(C)=O,ZINC15 : ZINC001201962071,consensus,0.48214285714285715,zinc15
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NC1=CC=C([131I])C=C1)C(O)=O)C(O)=O,LFEGKCKGGNXWDV-LUOJOMRDSA-N,CC(=O)N[C@@H](CCCCNC(=O)Nc1ccccc1)C(N)=O,ZINC15 : ZINC001201963296,consensus,0.48214285714285715,zinc15
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NC1=CC=C([131I])C=C1)C(O)=O)C(O)=O,LFEGKCKGGNXWDV-LUOJOMRDSA-N,CNC(=O)[C@H](CCCCNC(=O)Nc1ccc(SC)cc1)NC(C)=O,ZINC15 : ZINC001188128529,consensus,0.4745762711864407,zinc15
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NC1=CC=C([131I])C=C1)C(O)=O)C(O)=O,LFEGKCKGGNXWDV-LUOJOMRDSA-N,COC(=O)[C@H](CCCCNC(=O)Nc1ccccc1)NC(C)=O,ZINC15 : ZINC001201964771,consensus,0.47368421052631576,zinc15
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NC1=CC=C([131I])C=C1)C(O)=O)C(O)=O,LFEGKCKGGNXWDV-LUOJOMRDSA-N,CC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(C)cc1)C(N)=O,ZINC15 : ZINC001202437319,consensus,0.47368421052631576,zinc15
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NC1=CC=C([131I])C=C1)C(O)=O)C(O)=O,LFEGKCKGGNXWDV-LUOJOMRDSA-N,O=C([O-])[C@@H](CCCNC(=O)Nc1ccc(Cl)cc1)NC(=O)Nc1ccc(Cl)cc1,ZINC15 : ZINC000016428382,consensus,0.4727272727272727,zinc15
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NC1=CC=C([131I])C=C1)C(O)=O)C(O)=O,LFEGKCKGGNXWDV-LUOJOMRDSA-N,O=C([O-])[C@H](CCCNC(=O)Nc1ccc(Cl)cc1)NC(=O)Nc1ccc(Cl)cc1,ZINC15 : ZINC000016428385,consensus,0.4727272727272727,zinc15
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NC1=CC=C([131I])C=C1)C(O)=O)C(O)=O,LFEGKCKGGNXWDV-LUOJOMRDSA-N,CC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(F)cc1)C(N)=O,ZINC15 : ZINC001202362865,consensus,0.46551724137931033,zinc15
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NC1=CC=C([131I])C=C1)C(O)=O)C(O)=O,LFEGKCKGGNXWDV-LUOJOMRDSA-N,CNC(=O)[C@H](CCCCNC(=O)Nc1ccc(Cl)cc1)NC(C)=O,ZINC15 : ZINC001202381620,consensus,0.46551724137931033,zinc15
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NC1=CC=C([131I])C=C1)C(O)=O)C(O)=O,LFEGKCKGGNXWDV-LUOJOMRDSA-N,CC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(C(C)C)cc1)C(N)=O,ZINC15 : ZINC001202930540,consensus,0.4576271186440678,zinc15
