query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC[C@@]1(O)CC(=O)OCC2=C1C=C1N(CC3=CC4=CC(F)=C(F)C=C4N=C13)C2=O,LFQCJSBXBZRMTN-OAQYLSRUSA-N,CC[C@@]1(O)c2cc3n(c(=O)c2COC1=O)Cc1cc2cc4c(cc2nc1-3)OCO4,ZINC15 : ZINC000001609202,consensus,0.5857142857142857,zinc15
CC[C@@]1(O)CC(=O)OCC2=C1C=C1N(CC3=CC4=CC(F)=C(F)C=C4N=C13)C2=O,LFQCJSBXBZRMTN-OAQYLSRUSA-N,CC[C@]1(O)c2cc3n(c(=O)c2COC1=O)Cc1cc2cc4c(cc2nc1-3)OCO4,ZINC15 : ZINC000000597856,consensus,0.5857142857142857,zinc15
CC[C@@]1(O)CC(=O)OCC2=C1C=C1N(CC3=CC4=CC(F)=C(F)C=C4N=C13)C2=O,LFQCJSBXBZRMTN-OAQYLSRUSA-N,CC[C@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,ZINC15 : ZINC000004517652,consensus,0.5633802816901409,zinc15
CC[C@@]1(O)CC(=O)OCC2=C1C=C1N(CC3=CC4=CC(F)=C(F)C=C4N=C13)C2=O,LFQCJSBXBZRMTN-OAQYLSRUSA-N,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,ZINC15 : ZINC000003979155,consensus,0.5633802816901409,zinc15
CC[C@@]1(O)CC(=O)OCC2=C1C=C1N(CC3=CC4=CC(F)=C(F)C=C4N=C13)C2=O,LFQCJSBXBZRMTN-OAQYLSRUSA-N,CC[C@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,ZINC15 : ZINC000000001087,consensus,0.5571428571428572,zinc15
CC[C@@]1(O)CC(=O)OCC2=C1C=C1N(CC3=CC4=CC(F)=C(F)C=C4N=C13)C2=O,LFQCJSBXBZRMTN-OAQYLSRUSA-N,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,ZINC15 : ZINC000000105309,consensus,0.5571428571428572,zinc15
CC[C@@]1(O)CC(=O)OCC2=C1C=C1N(CC3=CC4=CC(F)=C(F)C=C4N=C13)C2=O,LFQCJSBXBZRMTN-OAQYLSRUSA-N,CC[C@]1(O)C(=O)OCc2c(=O)n3c(cc21)-c1nc2ccc(Cl)cc2cc1C3,ZINC15 : ZINC000001611354,consensus,0.5555555555555556,zinc15
CC[C@@]1(O)CC(=O)OCC2=C1C=C1N(CC3=CC4=CC(F)=C(F)C=C4N=C13)C2=O,LFQCJSBXBZRMTN-OAQYLSRUSA-N,CC[C@@]1(O)C(=O)OCc2c(=O)n3c(cc21)-c1nc2ccc(Cl)cc2cc1C3,ZINC15 : ZINC000005140055,consensus,0.5555555555555556,zinc15
CC[C@@]1(O)CC(=O)OCC2=C1C=C1N(CC3=CC4=CC(F)=C(F)C=C4N=C13)C2=O,LFQCJSBXBZRMTN-OAQYLSRUSA-N,CC[C@]1(O)c2cc3n(c(=O)c2COC1=O)Cc1cc2cc(OC)ccc2nc1-3,ZINC15 : ZINC000004823972,consensus,0.5405405405405406,zinc15
CC[C@@]1(O)CC(=O)OCC2=C1C=C1N(CC3=CC4=CC(F)=C(F)C=C4N=C13)C2=O,LFQCJSBXBZRMTN-OAQYLSRUSA-N,CC[C@@]1(O)C(=O)OCc2c(=O)n3c(cc21)-c1nc2ccc([N+](=O)[O-])cc2cc1C3,ZINC15 : ZINC000001587126,consensus,0.5263157894736842,zinc15
