query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNN,ZINC15 : 38141551,consensus,0.4166666666666667,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNO,ZINC15 : 59454909,consensus,0.4166666666666667,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCC(CC)CNC,ENAMINE-REAL : PV-005084813525,consensus,0.375,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(=O)CNC,ENAMINE-REAL : PV-002963701764,consensus,0.3684210526315789,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCC(C)(C)CNC,ENAMINE-REAL : PV-005216426609,consensus,0.35294117647058826,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCC(C)CNC,ENAMINE-REAL : PV-005601382567,consensus,0.35294117647058826,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CNCC#N,ZINC15 : 19264728,consensus,0.3333333333333333,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CNCC(C)(C)C,ENAMINE-REAL : PV-006146020370,consensus,0.3333333333333333,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CC[NH2+]CCNC,ZINC15 : 19365686,consensus,0.3333333333333333,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCONC,ZINC15 : 34406185,consensus,0.3333333333333333,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(C)(C)C,ENAMINE-REAL : PV-008745371059,consensus,0.3333333333333333,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCC[NH2+]CCNC,ZINC15 : 39712237,consensus,0.3157894736842105,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCN(C)CCNC,ENAMINE-REAL : PV-005168224259,consensus,0.3157894736842105,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCS(=O)(=O)NC,ENAMINE-REAL : PV-002273720685,consensus,0.3125,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC#N,ZINC15 : 38888599,consensus,0.3125,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(CC)CC,ENAMINE-REAL : PV-006750758780,consensus,0.3125,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CNCC(F)F,ZINC15 : 36947782,consensus,0.3125,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC=O,ZINC15 : 1597362,consensus,0.3125,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCCN(C)CCNC,ENAMINE-REAL : PV-004621595633,consensus,0.3,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCC(C)NC(C)CNC,ENAMINE-REAL : PV-003325968323,consensus,0.3,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCC(C)NCCNC,ENAMINE-REAL : PV-006354240305,consensus,0.3,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCCC,ZINC15 : 8214510,consensus,0.3,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CNNC,ZINC15 : 38147320,consensus,0.3,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNCC(C)(C)C,ENAMINE-REAL : PV-002128777594,consensus,0.29411764705882354,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCCCNCC,ENAMINE-REAL : PV-007005935158,consensus,0.29411764705882354,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNCC(C)C,ENAMINE-REAL : PV-002405065609,consensus,0.29411764705882354,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(C)CC,ENAMINE-REAL : PV-002836393895,consensus,0.29411764705882354,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(C)C(C)C,ENAMINE-REAL : PV-002772629716,consensus,0.29411764705882354,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CNCCC(C)C,ENAMINE-REAL : PV-005812289053,consensus,0.29411764705882354,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNCC#N,ZINC15 : 19274821,consensus,0.29411764705882354,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(C)=O,ZINC15 : 1599098,consensus,0.29411764705882354,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNS(C)(=O)=O,ENAMINE-REAL : PV-002323930166,consensus,0.29411764705882354,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CNCC[NH2+]C,ZINC15 : 19366702,consensus,0.29411764705882354,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(=O)NNC(=O)CNC,ENAMINE-REAL : Z6370890374,consensus,0.2916666666666667,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CC[C@H](C)[NH2+][C@@H](C)CNC,ZINC15 : 307641667,consensus,0.2857142857142857,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CC[C@@H](C)[NH2+][C@H](C)CNC,ZINC15 : 307641664,consensus,0.2857142857142857,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CC[C@@H](C)[NH2+][C@@H](C)CNC,ZINC15 : 307641666,consensus,0.2857142857142857,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CC[C@H](C)[NH2+][C@H](C)CNC,ZINC15 : 307641665,consensus,0.2857142857142857,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCC(=O)NCCNC,ENAMINE-REAL : PV-005987119113,consensus,0.2857142857142857,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(N)=O,ZINC15 : 1684574,consensus,0.2777777777777778,zinc15
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CNCCNC(C)C,ENAMINE-REAL : PV-005532009671,consensus,0.2777777777777778,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCCC(C)NC,ENAMINE-REAL : PV-004950397251,consensus,0.2777777777777778,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(CN)CN,ENAMINE-REAL : PV-003015545088,consensus,0.2777777777777778,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CNCC(=O)NC,ENAMINE-REAL : PV-002882242970,consensus,0.2777777777777778,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCC(C)C(C)NC,ENAMINE-REAL : PV-005996569881,consensus,0.2777777777777778,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(=O)CC,ENAMINE-REAL : PV-002395541237,consensus,0.2777777777777778,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(CO)CO,ENAMINE-REAL : PV-002459686921,consensus,0.2777777777777778,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNS(N)(=O)=O,ENAMINE-REAL : PV-002372110169,consensus,0.2777777777777778,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCCC(C)NC(C)CNC,ENAMINE-REAL : PV-003135779133,consensus,0.2727272727272727,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNCCC(C)C,ENAMINE-REAL : PV-006078752441,consensus,0.2631578947368421,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CNCCCC(C)C,ENAMINE-REAL : PV-006055717970,consensus,0.2631578947368421,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CNCCC(=O)O,ENAMINE-REAL : PV-002976594455,consensus,0.2631578947368421,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCN[C@@H](C)C(C)(C)C,ENAMINE-REAL : PV-002763513704,consensus,0.2631578947368421,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCN[C@H](C)C(C)(C)C,ENAMINE-REAL : PV-002093374818,consensus,0.2631578947368421,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(C)CN,ENAMINE-REAL : PV-006744391488,consensus,0.2631578947368421,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(C)C(C)CC,ENAMINE-REAL : PV-002491225141,consensus,0.2631578947368421,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCN[C@H](C)[C@@H](C)CC,ENAMINE-REAL : PV-002994134249,consensus,0.2631578947368421,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(C)CC(C)C,ENAMINE-REAL : PV-002865854155,consensus,0.2631578947368421,enamine-real
CCNC,LIWAQLJGPBVORC-UHFFFAOYSA-N,CCNC(CC)C(C)C,ENAMINE-REAL : PV-002986087138,consensus,0.2631578947368421,enamine-real
