query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,COC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,ZINC15 : ZINC001193942924,consensus,0.6197183098591549,zinc15
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,CCNC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,ZINC15 : ZINC001202558338,consensus,0.6027397260273972,zinc15
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,CSCC[C@H](NC(=O)C1CCCN1C(=O)C1=CC=CC=C1)C(N)=O,ENAMINE-REAL : Z2818869165,consensus,0.5882352941176471,enamine-real
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,CSCC[C@H](NC(=O)[C@H]1CCCN1C(=O)C1=CC=CC=C1)C(N)=O,ENAMINE-REAL : Z2818862008,consensus,0.5882352941176471,enamine-real
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,CSCC[C@H](NC(=O)[C@H]1CCCN1C(=O)c1ccccc1)C(N)=O,ZINC15 : ZINC000602379608,consensus,0.5882352941176471,zinc15
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,CSCC[C@H](NC(=O)[C@@H]1CCCN1C(C)=O)C(N)=O,ZINC15 : ZINC001144327967,consensus,0.5873015873015873,zinc15
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,CSCC[C@H](NC(=O)C1CCCN1C(=O)CC1=CC=CC=C1)C(N)=O,ENAMINE-REAL : Z2818867144,consensus,0.5857142857142857,enamine-real
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,ZINC15 : ZINC000053007169,consensus,0.5857142857142857,zinc15
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]([NH3+])Cc1ccc(O)cc1,ZINC15 : ZINC000053007169,consensus,0.5774647887323944,zinc15
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,CNC(=O)C1CCCN1C(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)CC(C)C,ENAMINE-REAL : Z4076300683,consensus,0.5714285714285714,enamine-real
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,ZINC15 : ZINC000150377368,consensus,0.5714285714285714,zinc15
[H][C@@](CCSC)(NC(=O)[C@]1([H])CCCN1C(=O)[C@]([H])(CC1=CC=C(O)C=C1)NC(=O)CS)C(N)=O,LNLWXWOYQHAKTD-ULQDDVLXSA-N,CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)CC(C)C,ENAMINE-REAL : Z4076301231,consensus,0.5714285714285714,enamine-real
