query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](O)[C@H](O)[C@H](C)O[C@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)O[C@@H](C)[C@H]1O,ZINC15 : ZINC000004293355,consensus,0.691358024691358,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@H]1[C@@H](O)[C@@H](O[C@@H]2[C@H](O)[C@H](O)[C@H](C)O[C@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)O[C@@H](C)[C@H]1O,ZINC15 : ZINC000004293353,consensus,0.691358024691358,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@@H]1[C@H](O)[C@H](C)O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](C)O[C@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)[C@H]1O,ZINC15 : ZINC000245240373,consensus,0.691358024691358,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@H]1[C@@H](O)[C@@H](O[C@@H]2[C@H](O)[C@H](O)[C@H](C)O[C@@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)O[C@@H](C)[C@H]1O,ZINC15 : ZINC000004293352,consensus,0.691358024691358,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](C)O[C@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)O[C@H](C)[C@@H]1O,ZINC15 : ZINC000004097946,consensus,0.691358024691358,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@@H]1[C@H](O)[C@H](C)O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](C)O[C@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)[C@H]1O,ZINC15 : ZINC000067902490,consensus,0.691358024691358,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@@H]1[C@H](O)[C@H](C)O[C@H](O[C@H]2[C@@H](O)[C@@H](O)[C@@H](C)O[C@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)[C@H]1O,ZINC15 : ZINC000245240371,consensus,0.691358024691358,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](O)[C@H](O)[C@H](C)O[C@@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)O[C@@H](C)[C@H]1O,ZINC15 : ZINC000004293354,consensus,0.691358024691358,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@H]1[C@@H](O)[C@@H](O[C@H]2[C@H]3O[C@@H](c4ccccc4)O[C@H]3[C@@H](C)O[C@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)O[C@@H](C)[C@H]1O,ZINC15 : ZINC000254239103,consensus,0.6153846153846154,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@@H]1[C@H](O)[C@H](C)O[C@H](O[C@H]2[C@@H]3O[C@@H](c4ccccc4)O[C@H]3[C@@H](C)O[C@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)[C@H]1O,ZINC15 : ZINC000254239102,consensus,0.6153846153846154,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@@H]1[C@H](O)[C@H](C)O[C@H](O[C@H]2[C@H]3O[C@@H](c4ccccc4)O[C@H]3[C@@H](C)O[C@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)[C@H]1O,ZINC15 : ZINC000254239104,consensus,0.6153846153846154,zinc15
CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](OC3=CC=CC4=C3C3=C5C(C(=O)OC6=C5C(=C(C)C=C6)C(=O)O3)=C4O)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@H]1[C@@H](O)[C@@H](O[C@H]2[C@@H]3O[C@@H](c4ccccc4)O[C@H]3[C@@H](C)O[C@H]2Oc2cccc3c(O)c4c(=O)oc5ccc(C)c6c(=O)oc(c23)c4c56)O[C@@H](C)[C@H]1O,ZINC15 : ZINC000254239101,consensus,0.6153846153846154,zinc15
