query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,CC(CC1CCCCC1)NCC1(C2=CC=CC=C2)NC(=O)NC1=O,ENAMINE-REAL : PV-002540608401,consensus,0.5714285714285714,enamine-real
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,ZINC15 : ZINC000095588079,consensus,0.5681818181818182,zinc15
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,CC(CC1CCCC1)NCC1(C2=CC=CC=C2)NC(=O)NC1=O,ENAMINE-REAL : Z3362685744,consensus,0.5535714285714286,enamine-real
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,CC(CC1CCC1)NCC1(C2=CC=CC=C2)NC(=O)NC1=O,ENAMINE-REAL : Z3362685573,consensus,0.5263157894736842,enamine-real
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,C[C@H](CC1CCCCC1)NC(=O)NCC1(C2=CC=CC=C2)NC(=O)NC1=O,ENAMINE-REAL : PV-002391710037,consensus,0.5245901639344263,enamine-real
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,C[C@@H](CC1CCCCC1)NC(=O)NCC1(C2=CC=CC=C2)NC(=O)NC1=O,ENAMINE-REAL : PV-002339957120,consensus,0.5245901639344263,enamine-real
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,CC(CC1CCCCC1)NC(=O)NCC1(C2=CC=CC=C2)NC(=O)NC1=O,ENAMINE-REAL : PV-002443456475,consensus,0.5245901639344263,enamine-real
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,CCC1(c2ccc(-c3ccccc3)cc2)C(=O)NC(=O)NC1=O,ZINC15 : ZINC000096299878,consensus,0.5208333333333334,zinc15
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,C[C@H](CC1CCCCC1)C(=O)NCC1(C2=CC=CC=C2)NC(=O)NC1=O,ENAMINE-REAL : PV-002241487116,consensus,0.4838709677419355,enamine-real
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,CC(CC1CCCCC1)C(=O)NCC1(C2=CC=CC=C2)NC(=O)NC1=O,ENAMINE-REAL : PV-002293238090,consensus,0.4838709677419355,enamine-real
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,C[C@H](CC1CCCCC1)NC(=O)[C@]1(c2ccccc2)CNC(=O)C1,ZINC15 : ZINC001459620349,consensus,0.46774193548387094,zinc15
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,CC(CC1CCCC1)C(=O)NCC1(C2=CC=CC=C2)NC(=O)NC1=O,ENAMINE-REAL : Z3598766629,consensus,0.46774193548387094,enamine-real
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,C[C@@H](CC1CCCCC1)NC(=O)[C@@]1(c2ccccc2)CNC(=O)C1,ZINC15 : ZINC001362494796,consensus,0.46774193548387094,zinc15
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,C[C@@H](CC1CCCCC1)NC(=O)[C@]1(c2ccccc2)CNC(=O)C1,ZINC15 : ZINC001362494801,consensus,0.46774193548387094,zinc15
CN[C@@H](C)CC1CCCCC1.CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,MJCBWPMBFCUHBP-NPULLEENSA-N,C[C@H](CC1CCCCC1)NC(=O)[C@@]1(c2ccccc2)CNC(=O)C1,ZINC15 : ZINC001459620344,consensus,0.46774193548387094,zinc15
