query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,ZINC15 : ZINC000034802946,consensus,0.6962025316455697,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc(C(=O)NCCN2CCOCC2)cc1-c1cnn(C)c1,ZINC15 : ZINC000630413163,consensus,0.5205479452054794,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc(C(=O)NC2CC2)cc1NC(=O)NCCN1CCOCC1,ZINC15 : ZINC000061283543,consensus,0.5205479452054794,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc2cc(C(=O)N[C@@H]3CCN(CCN4CCOCC4)C3)ccc2n1,ZINC15 : ZINC000378214331,consensus,0.5066666666666667,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc2cc(C(=O)N[C@H]3CCN(CCN4CCOCC4)C3)ccc2n1,ZINC15 : ZINC000378214330,consensus,0.5066666666666667,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc(C(=O)NC2CC2)cc1NC(=O)NCCN1CCCOCC1,ZINC15 : ZINC000187612869,consensus,0.4935064935064935,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc(C(=O)NC2CC2)cc1NC(=O)NCCCN1CCOCC1,ZINC15 : ZINC000061283520,consensus,0.4868421052631579,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,CNc1ncc2cc(Nc3cc(C(=O)NC4CC4)ccc3C)ccc2n1,ZINC15 : ZINC001174533314,consensus,0.4868421052631579,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc(C(=O)NC2CC2)cc1Nc1ccc(CCN2CCOCC2)cc1,ZINC15 : ZINC001176384101,consensus,0.4805194805194805,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc2cc(C(=O)N[C@@H]3CC[N@@H+](CCN4CCOCC4)C3)ccc2n1,ZINC15 : ZINC000378214331,consensus,0.4691358024691358,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc2cc(C(=O)N[C@H]3CC[N@H+](CCN4CCOCC4)C3)ccc2n1,ZINC15 : ZINC000378214330,consensus,0.4691358024691358,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc2cc(C(=O)N[C@H]3CC[N@@H+](CCN4CCOCC4)C3)ccc2n1,ZINC15 : ZINC000378214330,consensus,0.4691358024691358,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc2cc(C(=O)N[C@@H]3CC[N@H+](CCN4CCOCC4)C3)ccc2n1,ZINC15 : ZINC000378214331,consensus,0.4691358024691358,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,CC1=CC=C(C(=O)NC2CC2)C=C1NC(=O)C1=CC=CN1CCN1CCOCC1,ENAMINE-REAL : Z2905473072,consensus,0.46835443037974683,enamine-real
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc2cc(C(=O)NCCN3CCOCC3)ccc2n1,ZINC15 : ZINC000156690447,consensus,0.4657534246575342,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,CNC(=O)c1ccc(OC)c(-c2ccc(NCCN3CCOCC3)nc2)c1,ZINC15 : ZINC000096163528,consensus,0.4625,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccnc2ccc(C(=O)NCCN3CCOCC3)cc12,ZINC15 : ZINC000285016315,consensus,0.4533333333333333,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1cc2nc[nH]c2cc1-c1ccc(C(=O)NCCN2CCOCC2)cc1,ZINC15 : ZINC001235882102,consensus,0.45,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1cc2[nH]cnc2cc1-c1ccc(C(=O)NCCN2CCOCC2)cc1,ZINC15 : ZINC001235882102,consensus,0.45,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1ccc(-c2ccc(C(=O)NCCN3CCOCC3)cc2)cc1C,ZINC15 : ZINC001235883533,consensus,0.4444444444444444,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1cc2cc(-c3ccc(C(=O)NCCN4CCOCC4)cc3)cnc2[nH]1,ZINC15 : ZINC001235881735,consensus,0.4430379746835443,zinc15
CC1=CC=C(C=C1C1=CC2=C(C=C1)N=C(NCCN1CCOCC1)N=C2)C(=O)NC1CC1,MNEXDVSJIUQQRH-UHFFFAOYSA-N,Cc1cc2nccc(-c3ccc(C(=O)NCCN4CCOCC4)cc3)c2cc1C,ZINC15 : ZINC001235901676,consensus,0.4430379746835443,zinc15
