query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,NC(=O)c1ccc(C(=O)Oc2ccc3ccccc3c2)cc1,ZINC15 : ZINC000044998473,consensus,0.48936170212765956,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(N)=[NH2+])ccc3c2)cc1,ZINC15 : ZINC000003874467,consensus,0.46296296296296297,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,O=C(Oc1ccc2cc(OC(=O)c3ccccc3)ccc2c1)c1ccccc1,ZINC15 : ZINC000005125452,consensus,0.45454545454545453,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,NC(=[NH2+])Nc1ccc(C(=O)Oc2ccc3cc(C(N)=[NH2+])ccc3c2)cc1,ZINC15 : ZINC000003874467,consensus,0.4528301886792453,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,NC(=O)Nc1ccc(C(=O)Oc2ccc3ccccc3c2)cc1,ZINC15 : ZINC000045163457,consensus,0.4423076923076923,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,NC(=O)c1ccc(C(=O)Oc2ccc3ccncc3c2)cc1,ZINC15 : ZINC000044997916,consensus,0.4423076923076923,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,O=C(Oc1ccc2ccc(OC(=O)c3ccccc3)cc2c1)c1ccccc1,ZINC15 : ZINC000000683121,consensus,0.43478260869565216,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,O=C(Oc1ccc2ccccc2c1)c1ccc(Br)cc1,ZINC15 : ZINC000000287699,consensus,0.42857142857142855,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,COc1ccc2cc(C(=O)Oc3cccc(C(N)=O)c3)ccc2c1,ZINC15 : ZINC001342604320,consensus,0.42592592592592593,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,COC(=O)c1ccc(C(=O)Oc2ccc3ccc(OC)cc3c2)cc1,ZINC15 : ZINC000018121046,consensus,0.42,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,NC(=O)NCc1ccc(C(=O)Oc2ccc3ccccc3c2)cc1,ZINC15 : ZINC000045163506,consensus,0.41818181818181815,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,NC(=O)c1ccc(C(=O)Oc2ccc3cc[nH]c3c2)cc1,ZINC15 : ZINC000802958950,consensus,0.41509433962264153,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,O=C(Oc1ccc(OC(=O)c2ccc3ccccc3c2)cc1)c1ccc2ccccc2c1,ZINC15 : ZINC000003090080,consensus,0.41304347826086957,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,NC(=O)c1cccc(C(=O)Oc2ccc3ccccc3c2)c1,ZINC15 : ZINC000049456177,consensus,0.4117647058823529,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,COc1ccc2ccc(OC(=O)c3ccc(C(C)=O)cc3)cc2c1,ZINC15 : ZINC000201607877,consensus,0.4117647058823529,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,NC(=O)c1ccc(C(=O)Oc2ccc3c[nH]nc3c2)cc1,ZINC15 : ZINC000079064944,consensus,0.4074074074074074,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,CCOC(=O)c1ccc(C(=O)Oc2ccc3ccccc3c2)cc1,ZINC15 : ZINC001350448646,consensus,0.40384615384615385,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,NC(=O)c1ccc(C(=O)Oc2ccc3cccnc3c2)cc1,ZINC15 : ZINC000797001090,consensus,0.4,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,O=C(Oc1ccc2cc(Br)ccc2c1)c1ccccc1,ZINC15 : ZINC000000364378,consensus,0.4,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,COc1ccc2cc(C(=O)Oc3ccc(OCC(N)=O)cc3)ccc2c1,ZINC15 : ZINC001343293032,consensus,0.4,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,Cc1ccc2cc(OC(=O)c3ccc(N(C)C)cc3)ccc2c1,ZINC15 : ZINC001538299706,consensus,0.39622641509433965,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,O=C(Oc1ccc2ccccc2c1)c1cccc(C(=O)Oc2ccc3ccccc3c2)c1,ZINC15 : ZINC000002028838,consensus,0.3958333333333333,zinc15
[H]/N=C(\N)c1ccc2cc(OC(=O)c3ccc(N=C(N)N)cc3)ccc2c1,MQQNFDZXWVTQEH-UHFFFAOYSA-N,COC(=O)c1cc2ccc(OC(=O)c3ccc(N=S(C)(C)=O)cc3)cc2o1,ZINC15 : ZINC001128231326,consensus,0.39344262295081966,zinc15
