query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCCC[C@H](O)c1ccc(N2C(=O)CC[C@@H]2CCCc2ccc(C(=O)[O-])s2)cc1,ZINC15 : ZINC000036487260,consensus,0.6081081081081081,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC(C)Cc1ccc(C(=O)OC[C@@H]2CCC(=O)N2)s1,ZINC15 : ZINC000910249024,consensus,0.34177215189873417,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@@H](C)N1C(=O)CC[C@@H]2[C@H]1CCN2C(=O)c1ccc(COC)s1,ZINC15 : ZINC001274378659,consensus,0.3411764705882353,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@H](C)N1C(=O)CC[C@@H]2[C@H]1CCN2Cc1ccc(C(=O)OC)s1,ZINC15 : ZINC001275909624,consensus,0.3411764705882353,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@@H](C)N1C(=O)CC[C@@H]2[C@H]1CCN2Cc1ccc(C(=O)OC)s1,ZINC15 : ZINC001275909623,consensus,0.3411764705882353,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@H](C)N1C(=O)CC[C@@H]2[C@H]1CCN2C(=O)c1ccc(COC)s1,ZINC15 : ZINC001274378660,consensus,0.3411764705882353,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@@H](C)N1C(=O)CC[C@@H]2[C@H]1CC[N@H+]2Cc1ccc(C(=O)OC)s1,ZINC15 : ZINC001275909623,consensus,0.3333333333333333,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@H](C)N1C(=O)CC[C@@H]2[C@H]1CC[N@@H+]2Cc1ccc(C(=O)OC)s1,ZINC15 : ZINC001275909624,consensus,0.3333333333333333,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@H](C)N1C(=O)CC[C@@H]2[C@H]1CC[N@H+]2Cc1ccc(C(=O)OC)s1,ZINC15 : ZINC001275909624,consensus,0.3333333333333333,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@@H](C)N1C(=O)CC[C@@H]2[C@H]1CC[N@@H+]2Cc1ccc(C(=O)OC)s1,ZINC15 : ZINC001275909623,consensus,0.3333333333333333,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)OC(C)C(=O)N2CCC3=C(C=CS3)C2)S1,ENAMINE-REAL : PV-008204523562,consensus,0.32941176470588235,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)N2CC3CCC(C2)N3C(=O)C2=C(C(C)C)ON=C2)S1,ENAMINE-REAL : PV-007761704268,consensus,0.3218390804597701,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCCC[C@H]1NC(=O)N(Cc2ccc(C(=O)OC)s2)C1=O,ZINC15 : ZINC000421818217,consensus,0.3170731707317073,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCCC[C@@H]1NC(=O)N(Cc2ccc(C(=O)OC)s2)C1=O,ZINC15 : ZINC000421818218,consensus,0.3170731707317073,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@@H]1CCc2ccccc2N1Cc1ccc(C(=O)OC)s1,ZINC15 : ZINC001473264474,consensus,0.3132530120481928,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@H]1CCc2ccccc2N1Cc1ccc(C(=O)OC)s1,ZINC15 : ZINC001473264473,consensus,0.3132530120481928,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,COC(=O)C1=CC=C(CNC(=O)CCC(O)C2=CC=C(C(C)(C)C)C=C2)S1,ENAMINE-REAL : Z2373674623,consensus,0.3132530120481928,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCCCC[C@H](C)[NH2+]Cc1ccc(C(=O)[O-])s1,ZINC15 : ZINC000232971287,consensus,0.3116883116883117,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCCCC[C@@H](C)[NH2+]Cc1ccc(C(=O)[O-])s1,ZINC15 : ZINC000232944268,consensus,0.3116883116883117,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)N2C3CCC2CC(CC(C)O)C3)S1,ENAMINE-REAL : Z5338068693,consensus,0.30864197530864196,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)N2C[C@@H]3CC[C@H](C2)N3C(=O)C2=C(C(C)C)OC=N2)S1,ENAMINE-REAL : PV-008824628722,consensus,0.3068181818181818,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)N2CC3CCC(C2)N3C(=O)C2=C(C(C)C)OC=N2)S1,ENAMINE-REAL : PV-008824628723,consensus,0.3068181818181818,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@@H](C)N1CC(=O)N(Cc2ccc(C(=O)OC)s2)C1=O,ZINC15 : ZINC000421815216,consensus,0.3048780487804878,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@H](C)N1CC(=O)N(Cc2ccc(C(=O)OC)s2)C1=O,ZINC15 : ZINC000421815218,consensus,0.3048780487804878,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)N2C[C@@H]3CC[C@H](C2)N3C(=O)C2=NOC(C(C)C)=C2)S1,ENAMINE-REAL : PV-008306698403,consensus,0.3023255813953488,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)N2CC3CCC(C2)N3C(=O)C2=NOC(C(C)C)=C2)S1,ENAMINE-REAL : PV-008306698404,consensus,0.3023255813953488,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)OC(C)C2=NC3=C(COCC3)S2)S1,ENAMINE-REAL : Z3382575995,consensus,0.3023255813953488,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,COC(=O)c1ccc(CN2C(=O)CN(C(C)C)C2=O)s1,ZINC15 : ZINC000342099162,consensus,0.3,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCC[C@@H]1C(=O)NCCN1Cc1ccc(C(=O)OC)s1,ZINC15 : ZINC000152342680,consensus,0.2976190476190476,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCC[C@H]1C(=O)NCCN1Cc1ccc(C(=O)OC)s1,ZINC15 : ZINC000152342770,consensus,0.2976190476190476,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@H](C)N1C(=O)CC[C@@H]2[C@H]1CC[N@@H+]2Cc1ccc(C(=O)[O-])s1,ZINC15 : ZINC001273718412,consensus,0.29545454545454547,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@@H](C)N1C(=O)CC[C@@H]2[C@H]1CC[N@H+]2Cc1ccc(C(=O)[O-])s1,ZINC15 : ZINC001273718413,consensus,0.29545454545454547,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@H](C)N1C(=O)CC[C@@H]2[C@H]1CC[N@H+]2Cc1ccc(C(=O)[O-])s1,ZINC15 : ZINC001273718412,consensus,0.29545454545454547,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CC[C@@H](C)N1C(=O)CC[C@@H]2[C@H]1CC[N@@H+]2Cc1ccc(C(=O)[O-])s1,ZINC15 : ZINC001273718413,consensus,0.29545454545454547,zinc15
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCCCC(O)C(=O)N1C2CCC1CN(C(=O)C1=CC3=C(C=CO3)S1)C2,ENAMINE-REAL : PV-006850554191,consensus,0.29213483146067415,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCCCC(O)C(=O)N1[C@H]2CC[C@@H]1CN(C(=O)C1=CC3=C(C=CO3)S1)C2,ENAMINE-REAL : PV-004899517396,consensus,0.29213483146067415,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)N2CC3CCC(C2)N3C(=O)C2=COC(C(C)C)=N2)S1,ENAMINE-REAL : PV-008711173013,consensus,0.29213483146067415,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)N2C[C@@H]3CC[C@H](C2)N3C(=O)C2=COC(C(C)C)=N2)S1,ENAMINE-REAL : PV-008711173012,consensus,0.29213483146067415,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCC[C@H](O)C(=O)N1C[C@H]2CCN(C(=O)CC3=CC=C(C(C)=O)S3)C[C@H]2C1,ENAMINE-REAL : PV-005626089127,consensus,0.29069767441860467,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC(C)N1CCCC1C1=CC=C(C(=O)OC)S1,ENAMINE-REAL : PV-007116136610,consensus,0.2891566265060241,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCCC(O)C(=O)N1CC2CCC(C1)N2C(=O)C1=CC=C(C2=CC=CO2)S1,ENAMINE-REAL : PV-008003386836,consensus,0.28888888888888886,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCCC(O)C(=O)N1C[C@@H]2CC[C@H](C1)N2C(=O)C1=CC=C(C2=CC=CO2)S1,ENAMINE-REAL : PV-008003386837,consensus,0.28888888888888886,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)N2CCCC(C(C)NC(=O)C3=COC(=O)C=C3)C2)S1,ENAMINE-REAL : PV-007553957918,consensus,0.2872340425531915,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,CCCC1=CC=C(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)C2=C(C(C)C)ON=C2)S1,ENAMINE-REAL : PV-000503168700,consensus,0.2840909090909091,enamine-real
CCCCC[C@H](O)C1=CC=C(C=C1)N1[C@@H](COCC2=CC=C(S2)C(=O)OC(C)C)CCC1=O,MSIIJNOQQWRTFC-GGAORHGYSA-N,COC(=O)C1=CC=C(CNC(=O)C(C)C2=CC=C(C(O)C(C)C)C=C2)S1,ENAMINE-REAL : Z5491569306,consensus,0.2839506172839506,enamine-real
