query_smiles,query_inchikey,smiles,identifier,search_type,score,database
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,O=S(=O)(NC1=CN=C2C=CC=CC2=N1)C1=CC=C(F)C=C1,ENAMINE-REAL : Z1358137545,consensus,0.7435897435897436,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CC(C)C1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1,ENAMINE-REAL : Z1407841200,consensus,0.7317073170731707,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CCC1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1,ENAMINE-REAL : Z1358137583,consensus,0.6904761904761905,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1,ENAMINE-REAL : Z1407841917,consensus,0.6904761904761905,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CSC1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1,ENAMINE-REAL : Z1407841890,consensus,0.6904761904761905,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CC1=CC(C)=CC(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)=C1,ENAMINE-REAL : PV-005998272985,consensus,0.6829268292682927,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CCCC1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1,ENAMINE-REAL : Z1407841914,consensus,0.6590909090909091,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,O=S(=O)(NC1=CN=C2C=CC=CC2=N1)C1=CC=C(F)C(F)=C1,ENAMINE-REAL : PV-008714501956,consensus,0.6511627906976745,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CC(C)CC1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1,ENAMINE-REAL : PV-003033947676,consensus,0.6444444444444445,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CC(C)OC1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1,ENAMINE-REAL : Z1583761234,consensus,0.6444444444444445,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CCC(C)C1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1,ENAMINE-REAL : PV-002731995834,consensus,0.6444444444444445,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CCC1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1CC,ENAMINE-REAL : PV-002887925405,consensus,0.6222222222222222,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CC(C)COC1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1,ENAMINE-REAL : Z1407841958,consensus,0.6170212765957447,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CC1=CC=CC(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)=C1,ENAMINE-REAL : Z1407840973,consensus,0.6136363636363636,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CC(C)C1=CC=CC(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)=C1,ENAMINE-REAL : Z1407840776,consensus,0.6086956521739131,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,COC1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1OC,ENAMINE-REAL : Z1407841929,consensus,0.6086956521739131,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,COC1=CC(OC)=CC(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)=C1,ENAMINE-REAL : Z1446679775,consensus,0.6,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CC1=C(C)C(C)=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C(C)=C1C,ENAMINE-REAL : PV-003019552116,consensus,0.5952380952380952,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,COC1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1C,ENAMINE-REAL : Z1358137576,consensus,0.5833333333333334,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,CC(C)OC1=CC=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=N1,ENAMINE-REAL : PV-003549926222,consensus,0.5833333333333334,enamine-real
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Cl)cc1,ZINC15 : ZINC000000406532,consensus,0.5813953488372093,zinc15
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)Nc2cnc3cccnc3c2)cc1,ZINC15 : ZINC001175359072,consensus,0.5777777777777777,zinc15
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC2=C(C=CC=C2)N=C1,NHZLNPMOSADWGC-UHFFFAOYSA-N,COC1=C(C)C=C(S(=O)(=O)NC2=CN=C3C=CC=CC3=N2)C=C1C,ENAMINE-REAL : Z1407841742,consensus,0.574468085106383,enamine-real
