query_smiles,query_inchikey,smiles,identifier,search_type,score,database
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,NCC1=CC=C(C(=O)NC2=CC=C(C(N)=O)C=C2)C=C1,ENAMINE-REAL : Z320986178,consensus,0.625,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,NCC1=CC=C(NC(=O)C2=CC=CC(CN)=C2)C=C1,ENAMINE-REAL : Z4751197610,consensus,0.6097560975609756,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,NC(=O)Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1,ZINC15 : ZINC000013715716,consensus,0.6,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,NCC1=CC=C(C(=O)NC2=CC=C(CC(N)=O)C=C2)C=C1,ENAMINE-REAL : Z3228267377,consensus,0.5952380952380952,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,NCC1=CC=C(NC(=O)C2=CC=C(CC(N)=O)C=C2)C=C1,ENAMINE-REAL : PV-002834433305,consensus,0.5952380952380952,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,NC(=O)NCc1ccc(NC(=O)c2ccc3ccccc3c2)cc1,ZINC15 : ZINC000067263980,consensus,0.574468085106383,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CCC1=CC=C(NC(=O)C2=CC=C(CN)C=C2)C=C1,ENAMINE-REAL : Z320988838,consensus,0.5714285714285714,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,O=C(Nc1ccc(CO)cc1)c1ccc2ccccc2c1,ZINC15 : ZINC000070331564,consensus,0.5681818181818182,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CCc1ccc(NC(=O)c2ccc3ccccc3c2)cc1,ZINC15 : ZINC000000455316,consensus,0.5555555555555556,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,[NH3+]Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1,ZINC15 : ZINC000022145026,consensus,0.5555555555555556,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CCCC1=CC=C(NC(=O)C2=CC=C(CN)C=C2)C=C1,ENAMINE-REAL : Z3228049448,consensus,0.5454545454545454,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CCCC1=CC=C(C(=O)NC2=CC=C(CN)C=C2)C=C1,ENAMINE-REAL : Z3301410293,consensus,0.5454545454545454,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,O=C(Nc1ccc(CCO)cc1)c1ccc2ccccc2c1,ZINC15 : ZINC000059933044,consensus,0.5434782608695652,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CCN1C=C(NC(=O)C2=CC3=CC=C(CN)C=C3C=C2)C=CC1=O,ENAMINE-REAL : PV-003407567987,consensus,0.5384615384615384,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,O=C(Nc1ccc(I)cc1)c1ccc2cc(C(=O)Nc3ccc(I)cc3)ccc2c1,ZINC15 : ZINC000408732037,consensus,0.5365853658536586,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2ccc3cc(C(=O)Nc4ccc(C)cc4)ccc3c2)cc1,ZINC15 : ZINC000408732246,consensus,0.5365853658536586,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,O=C(Nc1ccc(Cl)cc1)c1ccc2cc(C(=O)Nc3ccc(Cl)cc3)ccc2c1,ZINC15 : ZINC000408730419,consensus,0.5365853658536586,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CN(C)C(=O)C1=CC=C(NC(=O)C2=CC=C(CN)C=C2)C=C1,ENAMINE-REAL : PV-002855930472,consensus,0.5333333333333333,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CN(C)C(=O)C1=CC=CC(C(=O)NC2=CC=C(CN)C=C2)=C1,ENAMINE-REAL : PV-002949722240,consensus,0.5319148936170213,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CN(CC(N)=O)C(=O)C1=CC=CC(NC(=O)C2=CC3=CC=C(CN)C=C3C=C2)=C1,ENAMINE-REAL : PV-004533280757,consensus,0.5272727272727272,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccc2cc(C(=O)Nc3ccccc3)ccc2c1,ZINC15 : ZINC000218165273,consensus,0.525,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,Nc1ccc(NC(=O)c2ccc3ccccc3c2)cc1,ZINC15 : ZINC000022146626,consensus,0.5227272727272727,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CCCCC1=CC=C(NC(=O)C2=CC=C(CN)C=C2)C=C1,ENAMINE-REAL : Z927754538,consensus,0.5217391304347826,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CCN(CC)C1=CC=C(C(=O)NC2=CC=C(CN)C=C2)C=C1,ENAMINE-REAL : Z2440868142,consensus,0.5217391304347826,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CCCCC1=CC=C(C(=O)NC2=CC=C(CN)C=C2)C=C1,ENAMINE-REAL : Z2394250560,consensus,0.5217391304347826,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,NCC1=CC=C(NC(=O)C2=CC=C(CN)N=C2)C=C1,ENAMINE-REAL : PV-007274920729,consensus,0.5217391304347826,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,O=C(Nc1ccc(CCO)cc1)c1ccc2cc(Br)ccc2c1,ZINC15 : ZINC000391495791,consensus,0.5208333333333334,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,COc1ccc2cc(C(=O)Nc3ccc(C(N)=O)cc3)ccc2c1,ZINC15 : ZINC000019172307,consensus,0.5106382978723404,zinc15
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,NCC1=CN=CC(C(=O)NC2=CC=C(C(N)=O)C=C2)=C1,ENAMINE-REAL : PV-003787481595,consensus,0.5106382978723404,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,CCCCCC1=CC=C(NC(=O)C2=CC=C(CN)C=C2)C=C1,ENAMINE-REAL : Z927786592,consensus,0.5106382978723404,enamine-real
NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1,NLBDETRVUYOIHQ-UHFFFAOYSA-N,COCc1ccc(NC(=O)c2ccc3cc(OC)ccc3c2)cc1,ZINC15 : ZINC001116787098,consensus,0.5102040816326531,zinc15
