query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,NPEFREDMMVQEPL-RWPARATISA-N,CC[NH2+][C@@H]1C[C@H](N)[C@@H](O[C@@H]2O[C@H](C[NH3+])CC[C@H]2[NH3+])[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H]([NH2+]C)[C@H]1O,ZINC15 : ZINC000103650285,consensus,0.37362637362637363,zinc15
[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,NPEFREDMMVQEPL-RWPARATISA-N,CC[NH2+][C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](C[NH3+])CC[C@H]2[NH3+])[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H]([NH2+]C)[C@H]1O,ZINC15 : ZINC000100735707,consensus,0.37362637362637363,zinc15
[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,NPEFREDMMVQEPL-RWPARATISA-N,C[NH2+][C@@H](C)[C@H]1CC[C@H]([NH3+])[C@H](O[C@@H]2[C@H]([NH3+])C[C@H]([NH3+])[C@H](O[C@H]3OC[C@](C)(O)[C@@H]([NH2+]C)[C@H]3O)[C@@H]2O)O1,ZINC15 : ZINC000008101116,consensus,0.3488372093023256,zinc15
[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,NPEFREDMMVQEPL-RWPARATISA-N,C[NH2+][C@H](C)[C@@H]1CC[C@@H]([NH3+])[C@@H](O[C@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@@H]3OC[C@](C)(O)[C@H]([NH2+]C)[C@H]3O)[C@H]2O)O1,ZINC15 : ZINC000008214768,consensus,0.3488372093023256,zinc15
[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,NPEFREDMMVQEPL-RWPARATISA-N,C[NH2+][C@@H](C)[C@@H]1CC[C@H]([NH3+])[C@H](O[C@@H]2[C@H]([NH3+])C[C@H]([NH3+])[C@H](O[C@H]3OC[C@](C)(O)[C@@H]([NH2+]C)[C@H]3O)[C@@H]2O)O1,ZINC15 : ZINC000008101114,consensus,0.3488372093023256,zinc15
[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,NPEFREDMMVQEPL-RWPARATISA-N,C[NH2+][C@H](C)[C@H]1CC[C@@H]([NH3+])[C@@H](O[C@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@H]3OC[C@](C)(O)[C@H]([NH2+]C)[C@H]3O)[C@H]2O)O1,ZINC15 : ZINC000100505442,consensus,0.3488372093023256,zinc15
[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,NPEFREDMMVQEPL-RWPARATISA-N,C[NH2+][C@H](C)[C@@H]1CC[C@H]([NH3+])[C@H](O[C@@H]2[C@H]([NH3+])C[C@H]([NH3+])[C@H](O[C@H]3OC[C@](C)(O)[C@@H]([NH2+]C)[C@H]3O)[C@@H]2O)O1,ZINC15 : ZINC000008101115,consensus,0.3488372093023256,zinc15
[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,NPEFREDMMVQEPL-RWPARATISA-N,C[NH2+][C@H](C)[C@H]1CC[C@@H]([NH3+])[C@@H](O[C@@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@@H]3OC[C@](C)(O)[C@H]([NH2+]C)[C@H]3O)[C@H]2O)O1,ZINC15 : ZINC000100505444,consensus,0.3488372093023256,zinc15
[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,NPEFREDMMVQEPL-RWPARATISA-N,C[NH2+][C@H](C)[C@H]1CC[C@@H]([NH3+])[C@@H](O[C@H]2[C@@H]([NH3+])C[C@@H]([NH3+])[C@H](O[C@@H]3OC[C@](C)(O)[C@H]([NH2+]C)[C@H]3O)[C@H]2O)O1,ZINC15 : ZINC000100505446,consensus,0.3488372093023256,zinc15
[H][C@@]1(CN)CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)N.[H][C@]1(CC[C@@H](N)[C@@H](O[C@]2([H])[C@@H](N)C[C@@H](N)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1)C(C)NC,NPEFREDMMVQEPL-RWPARATISA-N,C[NH2+][C@H](C)[C@@H]1CC[C@H]([NH3+])[C@H](O[C@@H]2[C@H]([NH3+])C[C@H]([NH3+])[C@H](O[C@@H]3OC[C@](C)(O)[C@H]([NH2+]C)[C@@H]3O)[C@@H]2O)O1,ZINC15 : ZINC000242437513,consensus,0.3488372093023256,zinc15
