query_smiles,query_inchikey,smiles,identifier,search_type,score,database
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CC(OC1=CC=C(C#N)C=C1)C(=O)N1CCN(C2=CC=CC3=C2OCCO3)CC1,ENAMINE-REAL : PV-006742664216,consensus,0.5064935064935064,enamine-real
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,N#CCN(C(=O)c1ccc2c(c1)OCCO2)c1ccccn1,ZINC15 : ZINC001130568427,consensus,0.47297297297297297,zinc15
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,N#CCN(C(=O)c1cccc2c1OCCCO2)c1ccccn1,ZINC15 : ZINC001537821050,consensus,0.4605263157894737,zinc15
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CC(C)(C)CN(C(=O)c1cccc2c1OCCO2)c1ccccn1,ZINC15 : ZINC000891498892,consensus,0.4473684210526316,zinc15
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CC(C)CN(C(=O)c1cccc2c1OCCO2)c1ccc(C#N)cc1,ZINC15 : ZINC000519087196,consensus,0.4473684210526316,zinc15
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CC(C)CN(C(=O)C1=CC=CC2=C1OCCO2)C1=CC=C(C#N)C=C1,ENAMINE-REAL : Z898720442,consensus,0.4473684210526316,enamine-real
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,N#CCN(C(=O)c1ccc2c(c1)OCCCO2)c1ccccn1,ZINC15 : ZINC001527053200,consensus,0.44155844155844154,zinc15
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,N#CCC(C(=O)N1CCN(C2=CC=CC3=C2OCCO3)CC1)C1=CC=CC=C1,ENAMINE-REAL : Z5335559644,consensus,0.4358974358974359,enamine-real
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CC(C)CN(C(=O)c1cccc2c1OCCCO2)c1ccc(C#N)cc1,ZINC15 : ZINC000593025098,consensus,0.4358974358974359,zinc15
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CC(C)CN(C(=O)C1=CC=CC2=C1OCCCO2)C1=CC=C(C#N)C=C1,ENAMINE-REAL : Z2473249891,consensus,0.4358974358974359,enamine-real
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CCCCN(C(=O)c1ccc2c(c1)OCCO2)c1ccccn1,ZINC15 : ZINC000637724538,consensus,0.42857142857142855,zinc15
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CN(C(=O)c1cccc2c1OCCO2)c1ccccn1,ZINC15 : ZINC000134570561,consensus,0.4246575342465753,zinc15
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1,ZINC15 : ZINC000052542163,consensus,0.42168674698795183,zinc15
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CC(C)CN(C(=O)C1=CC=C2OCCOC2=C1)C1=CC=C(C#N)C=C1,ENAMINE-REAL : Z347580632,consensus,0.42105263157894735,enamine-real
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CCN(C(=O)c1cccc2c1OCCO2)c1ccc(C#N)cc1,ZINC15 : ZINC000174077017,consensus,0.42105263157894735,zinc15
C[C@H](CN(C(=O)C1=CC=C(C=C1)C#N)C1=CC=CC=N1)N1CCN(CC1)C1=CC=CC2=C1OCCO2,NRPQELCNMADTOZ-OAQYLSRUSA-N,CC(C)CN(C(=O)c1ccc2c(c1)OCCO2)c1ccc(C#N)cc1,ZINC15 : ZINC000346489901,consensus,0.42105263157894735,zinc15
