query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCOC(=O)N1[C@H](CC)C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=NC=C(OCCCC(O)=O)C=N2)C2=C1C=CC(=C2)C(F)(F)F,NRWORBQAOQVYBJ-GJZUVCINSA-N,CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ncc(OCCCC(=O)[O-])cn2)CC1CC,ZINC15 : ZINC001560403756,consensus,0.8767123287671232,zinc15
CCOC(=O)N1[C@H](CC)C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=NC=C(OCCCC(O)=O)C=N2)C2=C1C=CC(=C2)C(F)(F)F,NRWORBQAOQVYBJ-GJZUVCINSA-N,CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)C[C@@H]1CC,ZINC15 : ZINC000111478363,consensus,0.6363636363636364,zinc15
CCOC(=O)N1[C@H](CC)C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=NC=C(OCCCC(O)=O)C=N2)C2=C1C=CC(=C2)C(F)(F)F,NRWORBQAOQVYBJ-GJZUVCINSA-N,CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)C[C@H]1CC,ZINC15 : ZINC000008214714,consensus,0.6363636363636364,zinc15
CCOC(=O)N1[C@H](CC)C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=NC=C(OCCCC(O)=O)C=N2)C2=C1C=CC(=C2)C(F)(F)F,NRWORBQAOQVYBJ-GJZUVCINSA-N,CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)C[C@@H]1CC,ZINC15 : ZINC000111478368,consensus,0.6363636363636364,zinc15
CCOC(=O)N1[C@H](CC)C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=NC=C(OCCCC(O)=O)C=N2)C2=C1C=CC(=C2)C(F)(F)F,NRWORBQAOQVYBJ-GJZUVCINSA-N,CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)C[C@H]1CC,ZINC15 : ZINC000111478365,consensus,0.6363636363636364,zinc15
CCOC(=O)N1[C@H](CC)C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=NC=C(OCCCC(O)=O)C=N2)C2=C1C=CC(=C2)C(F)(F)F,NRWORBQAOQVYBJ-GJZUVCINSA-N,CC[C@@H]1C[C@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2nnn(CC(C)C)n2)c2cc(C(F)(F)F)ccc2N1C(=O)OC(C)C,ZINC15 : ZINC000084655494,consensus,0.5681818181818182,zinc15
CCOC(=O)N1[C@H](CC)C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=NC=C(OCCCC(O)=O)C=N2)C2=C1C=CC(=C2)C(F)(F)F,NRWORBQAOQVYBJ-GJZUVCINSA-N,CC[C@@H]1C[C@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(C)=O)c2cc(C(F)(F)F)ccc2N1C(=O)OC(C)C,ZINC15 : ZINC000084740168,consensus,0.5487804878048781,zinc15
CCOC(=O)N1[C@H](CC)C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=NC=C(OCCCC(O)=O)C=N2)C2=C1C=CC(=C2)C(F)(F)F,NRWORBQAOQVYBJ-GJZUVCINSA-N,CC[C@@H]1C[C@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)c2cc(C(F)(F)F)ccc2N1C(=O)OC(C)C,ZINC15 : ZINC000113175621,consensus,0.5357142857142857,zinc15
CCOC(=O)N1[C@H](CC)C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=NC=C(OCCCC(O)=O)C=N2)C2=C1C=CC(=C2)C(F)(F)F,NRWORBQAOQVYBJ-GJZUVCINSA-N,CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H]([NH3+])C[C@H]1CC,ZINC15 : ZINC000034041506,consensus,0.527027027027027,zinc15
CCOC(=O)N1[C@H](CC)C[C@H](N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C2=NC=C(OCCCC(O)=O)C=N2)C2=C1C=CC(=C2)C(F)(F)F,NRWORBQAOQVYBJ-GJZUVCINSA-N,CCCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H]([NH2+]Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C[C@H]1CC,ZINC15 : ZINC000014128050,consensus,0.5121951219512195,zinc15
