query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,C=C[C@@H](C)NC(=O)C(=NOC)c1csc(N)n1,ZINC15 : ZINC000820769570,consensus,0.5373134328358209,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,C=C[C@H](C)NC(=O)C(=NOC)c1csc(N)n1,ZINC15 : ZINC000820769569,consensus,0.5373134328358209,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,CON=C(C(=O)NC(C)C)c1csc(N)n1,ZINC15 : ZINC000873717879,consensus,0.53125,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,CC[C@@H](C)NC(=O)C(=NOC)c1csc(N)n1,ZINC15 : ZINC000873722231,consensus,0.5223880597014925,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,CC[C@H](C)NC(=O)C(=NOC)c1csc(N)n1,ZINC15 : ZINC000873722230,consensus,0.5223880597014925,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,COC[C@@H](NC(=O)C(=NOC)c1csc(N)n1)C1CC1,ZINC15 : ZINC000821183619,consensus,0.5,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,COC[C@H](NC(=O)C(=NOC)c1csc(N)n1)C1CC1,ZINC15 : ZINC000821183621,consensus,0.5,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,CON=C(C(=O)N[C@@H](C1CC1)C(F)(F)F)c1csc(N)n1,ZINC15 : ZINC000822969356,consensus,0.5,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,CON=C(C(=O)N[C@H](C1CC1)C(F)(F)F)c1csc(N)n1,ZINC15 : ZINC000822969351,consensus,0.5,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,C#C[C@H](C)NC(=O)C(=NOC)c1csc(N)n1,ZINC15 : ZINC000822082515,consensus,0.5,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,C#C[C@@H](C)NC(=O)C(=NOC)c1csc(N)n1,ZINC15 : ZINC000822082518,consensus,0.5,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,COC[C@H](C)NC(=O)C(=NOC)c1csc(N)n1,ZINC15 : ZINC000873747840,consensus,0.4927536231884058,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,COC[C@@H](C)NC(=O)C(=NOC)c1csc(N)n1,ZINC15 : ZINC000821492064,consensus,0.4927536231884058,zinc15
[H][C@@]1(SCC(=C)C(=N1)C(O)=O)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C=O,NRYMPLKBKFIWQC-YVCCLBOHSA-N,CON=C(C(=O)N[C@@H](C)CF)c1csc(N)n1,ZINC15 : ZINC000823135146,consensus,0.4927536231884058,zinc15
