query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1cc2nc(N)nc(N)c2cc1OC,ZINC15 : ZINC000000389291,consensus,0.45652173913043476,zinc15
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1cc(Oc2ccnc3cc(OC)c(OC)cc32)ccc1N,ZINC15 : ZINC000044136893,consensus,0.42592592592592593,zinc15
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1cc2ncnc(N)c2cc1OC,ZINC15 : ZINC000005511144,consensus,0.425531914893617,zinc15
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1cc2ncc3c(=O)nc(N)sc3c2cc1OC,ZINC15 : ZINC000064873623,consensus,0.41818181818181815,zinc15
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1cc2nc(Cl)nc(N)c2cc1OC,ZINC15 : ZINC000002028665,consensus,0.40816326530612246,zinc15
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COC1=CC=C(C2=CC=C3N=CC(N)=C(C)C3=C2)C=C1OC,ENAMINE-REAL : PV-008067751768,consensus,0.4074074074074074,enamine-real
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1cc2ncc3sc4ccccc4c3c2cc1OC,ZINC15 : ZINC000034203765,consensus,0.4074074074074074,zinc15
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1ccc(-c2cc3cc(OC)c(OC)cc3c(N)n2)c(C)c1OC,ZINC15 : ZINC000000664885,consensus,0.39285714285714285,zinc15
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1cc2nccc(-c3cnc(N)cc3C)c2cc1OC,ZINC15 : ZINC001242085271,consensus,0.39285714285714285,zinc15
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COC1=CC2=C(C3=CN=C(N)N=C3)C=CC=C2N=C1C,ENAMINE-REAL : PV-002944875876,consensus,0.39285714285714285,enamine-real
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1cc2nc(SC)nc(N)c2cc1OC,ZINC15 : ZINC000072225998,consensus,0.39215686274509803,zinc15
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1cc2nc(-c3cccc4nc(C)ccc43)nc(N)c2cc1OC,ZINC15 : ZINC000097813700,consensus,0.3898305084745763,zinc15
COC1=CC2=NC=C3C(N)=NC4=C(C)C(N)=CC=C4C3=C2C=C1OC,NVINUNQBDNEMSY-UHFFFAOYSA-N,COc1cc2nc(N)nc(Cl)c2cc1OC,ZINC15 : ZINC000026892110,consensus,0.38,zinc15
