query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,ODZBBRURCPAEIQ-PIXDULNESA-N,O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@H](CO)O2)cc1C=CBr,ZINC15 : ZINC000029485033,consensus,1.0,zinc15
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,ODZBBRURCPAEIQ-PIXDULNESA-N,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C=CBr,ZINC15 : ZINC000003653378,consensus,1.0,zinc15
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,ODZBBRURCPAEIQ-PIXDULNESA-N,O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@@H](CO)O2)cc1C=CBr,ZINC15 : ZINC000012503434,consensus,1.0,zinc15
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,ODZBBRURCPAEIQ-PIXDULNESA-N,O=c1[nH]c(=O)n([C@@H]2C[C@@H](O)[C@H](CO)O2)cc1C=CBr,ZINC15 : ZINC000000001043,consensus,1.0,zinc15
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,ODZBBRURCPAEIQ-PIXDULNESA-N,O=c1[nH]c(=O)n([C@@H]2C[C@@H](O)[C@@H](CO)O2)cc1C=CBr,ZINC15 : ZINC000026647807,consensus,1.0,zinc15
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,ODZBBRURCPAEIQ-PIXDULNESA-N,O=Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000006090947,consensus,0.7708333333333334,zinc15
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,ODZBBRURCPAEIQ-PIXDULNESA-N,O=C([O-])C=Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000034269200,consensus,0.75,zinc15
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,ODZBBRURCPAEIQ-PIXDULNESA-N,COC(=O)C=Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,ZINC15 : ZINC000029404754,consensus,0.7090909090909091,zinc15
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,ODZBBRURCPAEIQ-PIXDULNESA-N,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@H](CO)O2)cc1Br,ZINC15 : ZINC000000402744,consensus,0.6938775510204082,zinc15
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O,ODZBBRURCPAEIQ-PIXDULNESA-N,O=c1[nH]c(=O)n([C@H]2C[C@@H](O)[C@H](CO)O2)cc1I,ZINC15 : ZINC000002562618,consensus,0.6938775510204082,zinc15
