query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,CCCCCC1=CC=C(OC)C(O)=C1,ENAMINE-REAL : PV-008168026030,consensus,0.6756756756756757,enamine-real
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,COc1ccc(CCCOc2ccccc2)cc1O,ZINC15 : ZINC001249969576,consensus,0.5952380952380952,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,COc1cc(CCCCCC(N)=O)ccc1Oc1ccccc1,ZINC15 : ZINC001250271710,consensus,0.5208333333333334,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,CCCc1ccc(OC)c(O)c1,ZINC15 : 492993,consensus,0.5128205128205128,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,CCOC(=O)CCCc1ccc(Oc2ccccc2)c(OC)c1,ZINC15 : ZINC001249975639,consensus,0.5,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,CCCCCc1cc(O)c(CCCC)c(O)c1,ZINC15 : ZINC000001730183,consensus,0.5,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,CCCCCC1=CC=C(C(C)(C)O)C(O)=C1,ENAMINE-REAL : PV-008640536450,consensus,0.5,enamine-real
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,CCCCCc1ccc(C(=O)NCCc2ccc(OC)c(O)c2)cc1,ZINC15 : ZINC001189194624,consensus,0.49019607843137253,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,COc1cc(CCCOc2ccccc2)ccc1O,ZINC15 : ZINC001249969147,consensus,0.4888888888888889,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,COc1ccc(CCCO)cc1O,ZINC15 : 19729359,consensus,0.4878048780487805,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,CCCCCC1=CC(O)=CC=C1,ENAMINE-REAL : PV-005300517731,consensus,0.48717948717948717,enamine-real
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,CCCCCc1ccc(OCCCCOc2ccc(CCCCC)cc2CCCCC)c(CCCCC)c1,ZINC15 : ZINC000004577106,consensus,0.47619047619047616,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,COc1ccc(CCNS(=O)(=O)c2ccccc2Oc2ccccc2)cc1O,ZINC15 : ZINC001198478139,consensus,0.4716981132075472,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,COc1ccc(CCC(=O)OCCCCc2ccccc2)cc1O,ZINC15 : ZINC000772053745,consensus,0.47058823529411764,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,COc1ccc(CCC(=O)OCCCOc2ccccc2)cc1O,ZINC15 : ZINC000748882889,consensus,0.47058823529411764,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,COc1ccc(C[N@@H+](C)CCCCc2ccccc2)cc1O,ZINC15 : ZINC000509573561,consensus,0.46938775510204084,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,CCCCCOC(=O)CCc1ccc(OC)c(O)c1,ZINC15 : ZINC000748880693,consensus,0.46938775510204084,zinc15
CCCCCC1=CC(O)=C(OC2=CC=CC=C2)C=C1,OJLYTHOKCYLPMA-UHFFFAOYSA-N,COc1ccc(C[N@H+](C)CCCCc2ccccc2)cc1O,ZINC15 : ZINC000509573561,consensus,0.46938775510204084,zinc15
