query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COc1ccc(CSC[C@H](N)C(=O)NCC(N)=O)cc1,ZINC15 : ZINC001219562214,consensus,0.5344827586206896,zinc15
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COc1ccc(CSC[C@H]([NH3+])C(=O)NCC(N)=O)cc1,ZINC15 : ZINC001219562214,consensus,0.5166666666666667,zinc15
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=CC(CSCC(NC(=O)CCCF)C(=O)O)=C1,ENAMINE-REAL : Z4575448865,consensus,0.515625,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COc1ccc(CSC[C@H](N)C(=O)NCC(=O)CCC(=O)[O-])cc1,ZINC15 : ZINC001220849035,consensus,0.5079365079365079,zinc15
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,CCCCC(=O)NC(CSCC1=CC=CC(OC)=C1)C(=O)O,ENAMINE-REAL : Z4403330429,consensus,0.5,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CCC(=O)NC(CSC)C(=O)NCCO)C=C1,ENAMINE-REAL : Z4879811596,consensus,0.49206349206349204,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CCCC(=O)N[C@H](CC(N)=O)C(=O)O)C=C1,ENAMINE-REAL : Z4322263821,consensus,0.4918032786885246,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CCCC(=O)NC(CC(N)=O)C(=O)O)C=C1,ENAMINE-REAL : Z2798830738,consensus,0.4918032786885246,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CCCC(=O)N[C@@H](CC(N)=O)C(=O)O)C=C1,ENAMINE-REAL : Z4306385335,consensus,0.4918032786885246,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC(=O)CNC(=O)[C@H](CSCc1ccccc1)NC(C)=O,ZINC15 : ZINC001182177412,consensus,0.4918032786885246,zinc15
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CCCCC(=O)NC(CSC)C(=O)O)C=C1,ENAMINE-REAL : Z2912055533,consensus,0.4918032786885246,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CCCCC(=O)N[C@@H](CSC)C(=O)O)C=C1,ENAMINE-REAL : Z4506893669,consensus,0.4918032786885246,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COc1ccc(CSC[C@H](NC(C)=O)C(=O)[O-])cc1,ZINC15 : ZINC000069555064,consensus,0.4915254237288136,zinc15
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CC(NC(=O)CCCF)C(=O)O)C=C1,ENAMINE-REAL : Z3390189494,consensus,0.48333333333333334,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CCCC(=O)N[C@@H](CC(=O)O)C(=O)O)C=C1,ENAMINE-REAL : Z4322263837,consensus,0.48333333333333334,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(C[C@H](NC(=O)CCCF)C(=O)O)C=C1,ENAMINE-REAL : Z3804760649,consensus,0.48333333333333334,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CCCC(=O)N[C@H](CC(=O)O)C(=O)O)C=C1,ENAMINE-REAL : Z4322263838,consensus,0.48333333333333334,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CCCC(=O)NC(CC(=O)O)C(=O)O)C=C1,ENAMINE-REAL : Z2798830745,consensus,0.48333333333333334,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(C[C@@H](NC(=O)CCCF)C(=O)O)C=C1,ENAMINE-REAL : Z3804735365,consensus,0.48333333333333334,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=CC(CSCC(NC(=O)CCCC#N)C(=O)O)=C1,ENAMINE-REAL : Z4322089724,consensus,0.47761194029850745,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COc1ccc(CSC[C@H]([NH3+])C(=O)NCC(=O)CCC(=O)[O-])cc1,ZINC15 : ZINC001220849035,consensus,0.47692307692307695,zinc15
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CN[C@@H](CCSC)C(=O)NCC(=O)O)C=C1,ENAMINE-REAL : Z5269304215,consensus,0.47619047619047616,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COc1ccc(CSC[C@H]([NH3+])C(=O)NCCC(N)=O)cc1,ZINC15 : ZINC001220276249,consensus,0.47619047619047616,zinc15
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,CC(=O)N[C@@H](CSCc1ccccc1)C(=O)NCC(N)=O,ZINC15 : ZINC001182174678,consensus,0.47540983606557374,zinc15
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CC(NC(=O)CCCCCF)C(=O)O)C=C1,ENAMINE-REAL : Z3509511773,consensus,0.46774193548387094,enamine-real
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COc1ccc(CCCC(=O)N[C@@H](CSC)C(=O)[O-])cc1,ZINC15 : ZINC000910886269,consensus,0.46774193548387094,zinc15
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O,OMOPDEZZBQHMGS-AWEZNQCLSA-N,COC1=CC=C(CCCCC(=O)NC(CCF)C(=O)O)C=C1,ENAMINE-REAL : Z4014820825,consensus,0.46774193548387094,enamine-real
