query_smiles,query_inchikey,smiles,identifier,search_type,score,database
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,ZINC15 : ZINC000019537374,consensus,1.0,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,c1cnc(N2CCCN(Cc3ccc4c(c3)OCO4)CC2)nc1,ZINC15 : ZINC000003620469,consensus,0.9024390243902439,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,c1cnc(N2CCN(Cc3ccc4c(c3)OCCO4)CC2)nc1,ZINC15 : ZINC000031570628,consensus,0.85,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,C1=CN=C(N2CCN(CC3=CC=C4OCCOC4=C3)CC2)N=C1,ENAMINE-REAL : Z94822324,consensus,0.85,enamine-real
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,c1cnc(N2CCN(Cc3ccc4c(c3)OCCCCO4)CC2)nc1,ZINC15 : ZINC000648347764,consensus,0.8095238095238095,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,c1cnc(N2CCCN(Cc3ccc4c(c3)OCCCO4)CC2)nc1,ZINC15 : ZINC001142266887,consensus,0.7727272727272727,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,c1cnc(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,ZINC15 : ZINC001207010234,consensus,0.7560975609756098,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,FC1=CN=C(N2CCN(CC3=CC=C4OCOC4=C3)CC2)N=C1,ENAMINE-REAL : Z1481101553,consensus,0.75,enamine-real
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,Clc1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,ZINC15 : ZINC000031570634,consensus,0.75,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,Cc1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,ZINC15 : ZINC001204054188,consensus,0.75,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,Clc1ccnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)n1,ZINC15 : ZINC001204053579,consensus,0.7391304347826086,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,CCc1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,ZINC15 : ZINC001163896583,consensus,0.7333333333333333,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,c1cnc2nc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)ncc2c1,ZINC15 : ZINC001163897048,consensus,0.7142857142857143,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,c1ccc(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,ZINC15 : ZINC000019633428,consensus,0.7045454545454546,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,FC(F)c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,ZINC15 : ZINC001163900335,consensus,0.7021276595744681,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,CSc1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,ZINC15 : ZINC001163896450,consensus,0.7021276595744681,zinc15
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,C#CC1=CN=C(N2CCN(CC3=CC=C4OCOC4=C3)CC2)N=C1,ENAMINE-REAL : Z2271011703,consensus,0.7021276595744681,enamine-real
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,FC(F)C1=CN=C(N2CCN(CC3=CC=C4OCOC4=C3)CC2)N=C1,ENAMINE-REAL : Z2271011739,consensus,0.7021276595744681,enamine-real
C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,OQDPVLVUJFGPGQ-UHFFFAOYSA-N,C1=NC(N2CCN(CC3=CC=C4OCOC4=C3)CC2)=NN1,ENAMINE-REAL : Z4267033957,consensus,0.6956521739130435,enamine-real
