query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,OUGNWRCWQLUXHX-CVXRCJAMSA-N,COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,ZINC15 : ZINC001549184270,consensus,1.0,zinc15
COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,OUGNWRCWQLUXHX-CVXRCJAMSA-N,COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC(=O)/C=C/c1ccc(O)cc1,ZINC15 : ZINC000095909420,consensus,1.0,zinc15
COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,OUGNWRCWQLUXHX-CVXRCJAMSA-N,COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccccc1,ZINC15 : ZINC001549184522,consensus,0.8933333333333333,zinc15
COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,OUGNWRCWQLUXHX-CVXRCJAMSA-N,COc1cc(C)c2c(=O)cc(CC(C)=O)oc2c1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC(=O)/C=C/c1ccc(O)cc1,ZINC15 : ZINC000085530008,consensus,0.8205128205128205,zinc15
COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,OUGNWRCWQLUXHX-CVXRCJAMSA-N,CC(=O)Cc1cc(=O)c2c(C)cc([O-])c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3OC(=O)/C=C/c3ccc(O)cc3)c2o1,ZINC15 : ZINC000056874795,consensus,0.6785714285714286,zinc15
COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,OUGNWRCWQLUXHX-CVXRCJAMSA-N,COc1cc(=O)oc(-c2c(C)cc(O)cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2OC(=O)/C=C/c2ccc(O)cc2)c1,ZINC15 : ZINC000136252009,consensus,0.4946236559139785,zinc15
COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,OUGNWRCWQLUXHX-CVXRCJAMSA-N,CC(=O)O[C@H]1[C@H](O)[C@H](CO)O[C@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,ZINC15 : ZINC000072320494,consensus,0.43902439024390244,zinc15
COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,OUGNWRCWQLUXHX-CVXRCJAMSA-N,CC(=O)O[C@@H]1[C@H](O)[C@H](CO)O[C@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,ZINC15 : ZINC000072320493,consensus,0.43902439024390244,zinc15
COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,OUGNWRCWQLUXHX-CVXRCJAMSA-N,CC(=O)O[C@@H]1[C@@H](OC(=O)/C=C/c2ccc(O)cc2)[C@@H](O)O[C@@H](CO)[C@@H]1O,ZINC15 : ZINC000072320496,consensus,0.43902439024390244,zinc15
COc1cc(C)c2c(=O)cc(C[C@@H](C)O)oc2c1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)/C=C/c1ccc(O)cc1,OUGNWRCWQLUXHX-CVXRCJAMSA-N,CC(=O)O[C@@H]1[C@@H](O)[C@H](CO)O[C@H](O)[C@H]1OC(=O)/C=C/c1ccc(O)cc1,ZINC15 : ZINC000253532554,consensus,0.43902439024390244,zinc15
