query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@@H](O)[C@@H](C)C(=O)[O-],ZINC15 : 6036909,consensus,0.5555555555555556,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@@H](O)C(=O)C(=O)[O-],ZINC15 : 6032433,consensus,0.5555555555555556,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@H](O)C(=O)C(=O)[O-],ZINC15 : 6020021,consensus,0.5555555555555556,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@H](O)[C@@H](C)C(=O)[O-],ZINC15 : 6036974,consensus,0.5555555555555556,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@H](O)[C@@H](O)C(=O)[O-],ZINC15 : 1695856,consensus,0.5555555555555556,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@H](O)[C@H](C)C(=O)[O-],ZINC15 : 6030197,consensus,0.5555555555555556,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@H](O)[C@H](O)C(=O)[O-],ZINC15 : 1695854,consensus,0.5555555555555556,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@@H](O)[C@H](O)C(=O)[O-],ZINC15 : 1695855,consensus,0.5555555555555556,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@@H](O)[C@@H](O)C(=O)[O-],ZINC15 : 1695857,consensus,0.5555555555555556,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@H](S)C(=O)[O-],ZINC15 : 3860781,consensus,0.5294117647058824,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@@H](S)C(=O)[O-],ZINC15 : 3860782,consensus,0.5294117647058824,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@@H](C(=O)[O-])[C@@H](O)C(=O)[O-],ZINC15 : 895986,consensus,0.5263157894736842,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-],ZINC15 : 895988,consensus,0.5263157894736842,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@@H](C(=O)[O-])[C@H](O)C(=O)[O-],ZINC15 : 13517679,consensus,0.5263157894736842,zinc15
[Mg++].CC(O)C([O-])=O.CC(O)C([O-])=O,OVGXLJDWSLQDRT-UHFFFAOYSA-L,C[C@H](C(=O)[O-])[C@H](O)C(=O)[O-],ZINC15 : 895984,consensus,0.5263157894736842,zinc15
