query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,OWHBVKBNNRYMIN-UHFFFAOYSA-N,COc1cccc(CNc2ccc(S(=O)(=O)Nc3nc4ccccc4s3)cc2)c1O,ZINC15 : ZINC000103266485,morgan,1.0,zinc15
COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,OWHBVKBNNRYMIN-UHFFFAOYSA-N,COc1cccc(CNc2ccc(S(=O)(=O)[N-]c3nc4ccccc4s3)cc2)c1O,ZINC15 : ZINC000103266485,morgan,0.7142857142857143,zinc15
COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,OWHBVKBNNRYMIN-UHFFFAOYSA-N,COc1cccc(CNc2nc3ccccc3s2)c1O,ZINC15 : ZINC000066812747,morgan,0.6964285714285714,zinc15
COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,OWHBVKBNNRYMIN-UHFFFAOYSA-N,COc1cccc(CNc2ccc(S(=O)(=O)Nc3nccs3)cc2)c1O,ZINC15 : ZINC000000793995,morgan,0.6666666666666666,zinc15
COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,OWHBVKBNNRYMIN-UHFFFAOYSA-N,COC1=CC=CC(CNC2=NC3=CC=CC=C3N=C2NS(=O)(=O)C2=CC=CC=C2)=C1O,ENAMINE-REAL : Z1587225615,morgan,0.6031746031746031,enamine-real
COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,OWHBVKBNNRYMIN-UHFFFAOYSA-N,COc1cccc(CNc2ccc(S(=O)(=O)NC(C)C)cc2)c1O,ZINC15 : ZINC001515237839,morgan,0.5901639344262295,zinc15
COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,OWHBVKBNNRYMIN-UHFFFAOYSA-N,COc1cccc(CNc2ccc(S(=O)(=O)NC3CC3)cc2)c1O,ZINC15 : ZINC001336923303,morgan,0.5714285714285714,zinc15
COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,OWHBVKBNNRYMIN-UHFFFAOYSA-N,COC1=CC=CC(CNC2=CC=C(S(=O)(=O)NC3CC3)C=C2)=C1O,ENAMINE-REAL : Z2741001972,morgan,0.5714285714285714,enamine-real
COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,OWHBVKBNNRYMIN-UHFFFAOYSA-N,COC1=CC=CC(CNC2=CC=C(NS(C)(=O)=O)C=C2)=C1O,ENAMINE-REAL : Z1573468358,morgan,0.559322033898305,enamine-real
COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,OWHBVKBNNRYMIN-UHFFFAOYSA-N,COC1=CC=CC(CNC2=CC=CC(S(=O)(=O)NC3=NC=CS3)=C2)=C1O,ENAMINE-REAL : Z2070879901,morgan,0.5507246376811594,enamine-real
