query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NCC(=O)N2CCCC12,ENAMINE-REAL : PV-002900557438,consensus,1.0,enamine-real
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NCC(=O)N2CCC[C@@H]12,ZINC15 : 402826,consensus,1.0,zinc15
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NCC(=O)N2CCC[C@H]12,ZINC15 : 402827,consensus,1.0,zinc15
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NCC(=O)N2CCCC[C@H]12,ZINC15 : 26522527,consensus,0.8888888888888888,zinc15
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NCC(=O)N2CCCC[C@@H]12,ZINC15 : 26522524,consensus,0.8888888888888888,zinc15
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NCCC(=O)N2CCCC12,ENAMINE-REAL : PV-002817128985,consensus,0.6774193548387096,enamine-real
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NCCC(=O)N2CCC[C@H]12,ZINC15 : 38760311,consensus,0.6774193548387096,zinc15
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NCCC(=O)N2CCC[C@@H]12,ZINC15 : 38760314,consensus,0.6774193548387096,zinc15
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,CC1C(=O)NCC(=O)N2CCCC12,ENAMINE-REAL : Z4208574089,consensus,0.6060606060606061,enamine-real
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NCC(=O)N2CCNC[C@@H]12,ZINC15 : 54956954,consensus,0.5757575757575758,zinc15
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NCC(=O)N2CCNC[C@H]12,ZINC15 : 54956955,consensus,0.5757575757575758,zinc15
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1CC2CCCN2C(=O)CN1,ENAMINE-REAL : PV-003327302716,consensus,0.5757575757575758,enamine-real
[H][C@@]12CCCN1C(=O)CNC2=O,OWOHLURDBZHNGG-YFKPBYRVSA-N,O=C1NC(=O)N2CCC[C@@H]12,ZINC15 : 4219217,consensus,0.5666666666666667,zinc15
