query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,PGXYIBJJCLWJST-MUUNZHRXSA-N,Cc1ccc(C(=O)N(CCC[NH3+])[C@H](c2oc3cc(Cl)ccc3c(=O)c2Cc2ccccc2)C(C)C)cc1,ZINC15 : ZINC000113660258,consensus,0.855072463768116,zinc15
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,PGXYIBJJCLWJST-MUUNZHRXSA-N,Cc1ccc(C(=O)N(CCC[NH3+])[C@@H](c2oc3cc(Cl)ccc3c(=O)c2Cc2ccccc2)C(C)C)cc1,ZINC15 : ZINC000034039290,consensus,0.855072463768116,zinc15
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,PGXYIBJJCLWJST-MUUNZHRXSA-N,CC(C)[C@@H](NC(=O)OC(C)(C)C)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1,ZINC15 : ZINC000071863759,consensus,0.5,zinc15
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,PGXYIBJJCLWJST-MUUNZHRXSA-N,Cc1ccc(C(=O)N(CCC[NH3+])[C@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,ZINC15 : ZINC000011680804,consensus,0.4883720930232558,zinc15
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,PGXYIBJJCLWJST-MUUNZHRXSA-N,Cc1ccc(C(=O)N(CCC[NH3+])[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,ZINC15 : ZINC000011680799,consensus,0.4883720930232558,zinc15
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,PGXYIBJJCLWJST-MUUNZHRXSA-N,Cc1ccc(C(=O)N(CCC[NH3+])[C@@H](c2nc3cc(Cl)ccc3c(=O)[nH]2)C(C)C)cc1,ZINC15 : ZINC000090408726,consensus,0.44047619047619047,zinc15
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,PGXYIBJJCLWJST-MUUNZHRXSA-N,Cc1ccc(C(=O)N(CCC[NH3+])[C@H](c2nc3cc(Cl)ccc3c(=O)[nH]2)C(C)C)cc1,ZINC15 : ZINC000521205762,consensus,0.44047619047619047,zinc15
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,PGXYIBJJCLWJST-MUUNZHRXSA-N,Cc1ccc(C(=O)N(CCCNC(=O)OC(C)(C)C)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,ZINC15 : ZINC000100088223,consensus,0.4375,zinc15
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,PGXYIBJJCLWJST-MUUNZHRXSA-N,CC(C)N(CC1=CC=CC=C1)C(=O)C1=CC(=O)C2=CC(Cl)=CC=C2O1,ENAMINE-REAL : Z229940304,consensus,0.4025974025974026,enamine-real
CC(C)[C@@H](N(CCCN)C(=O)C1=CC=C(C)C=C1)C1=C(CC2=CC=CC=C2)C(=O)C2=CC=C(Cl)C=C2O1,PGXYIBJJCLWJST-MUUNZHRXSA-N,CC1=C(C(=O)N(CCCN)CC2=CC=CC=C2)OC2=CC=CC=C2C1=O,ENAMINE-REAL : PV-002777655492,consensus,0.3924050632911392,enamine-real
