query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])[N+](=O)[O-],ZINC15 : 245224423,consensus,0.5555555555555556,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],ZINC15 : 19330094,consensus,0.4166666666666667,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,N/C(=C(/N)[N+](=O)[O-])[N+](=O)[O-],ZINC15 : 72266356,consensus,0.35714285714285715,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])OCCO[N+](=O)[O-],ZINC15 : 5178846,consensus,0.3333333333333333,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,ZINC15 : ZINC000038140831,consensus,0.3333333333333333,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])C1([N+](=O)[O-])COCOC1,ZINC15 : 19319321,consensus,0.3157894736842105,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])C=C([O-])[O-],ZINC15 : 409415875,consensus,0.3125,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])C(OC(OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])(OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])OC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],ZINC15 : ZINC000095100314,consensus,0.29411764705882354,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])c1c(F)c(F)c(F)c(F)c1[N+](=O)[O-],ZINC15 : ZINC000004644818,consensus,0.29411764705882354,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])OCCCO[N+](=O)[O-],ZINC15 : 4743754,consensus,0.29411764705882354,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])N1COCN([N+](=O)[O-])COC1,ZINC15 : ZINC000005290458,consensus,0.2777777777777778,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])C(OCOC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],ZINC15 : ZINC000068568546,consensus,0.2777777777777778,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,CN([N+](=O)[O-])S(=O)(=O)N(C)[N+](=O)[O-],ZINC15 : ZINC000016662152,consensus,0.2777777777777778,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,CC(C)C([N+](=O)[O-])=[N+]([O-])[O-],ZINC15 : 95116277,consensus,0.2631578947368421,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=C1N([N+](=O)[O-])CCN1[N+](=O)[O-],ZINC15 : 4534919,consensus,0.2631578947368421,zinc15
[Cr+3].[O-][N+]([O-])=O.[O-][N+]([O-])=O.[O-][N+]([O-])=O,PHFQLYPOURZARY-UHFFFAOYSA-N,O=[N+]([O-])/C=C/C(F)F,ZINC15 : 83313430,consensus,0.2631578947368421,zinc15
