query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C2=CC=CC=C2CCN(C)C1=O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,CC(C)[C@@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1c2ccccc2CCN(C)C1=O,ZINC15 : ZINC000051951644,consensus,1.0,zinc15
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C2=CC=CC=C2CCN(C)C1=O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1c2ccccc2CCN(C)C1=O,ZINC15 : ZINC000001553254,consensus,1.0,zinc15
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C2=CC=CC=C2CCN(C)C1=O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,CC(C)[C@@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1c2ccccc2CCN(C)C1=O,ZINC15 : ZINC000045673147,consensus,1.0,zinc15
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C2=CC=CC=C2CCN(C)C1=O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1c2ccccc2CCN(C)C1=O,ZINC15 : ZINC000003989041,consensus,1.0,zinc15
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C2=CC=CC=C2CCN(C)C1=O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,CC(C)[C@@H](O)C(=O)NC1C(=O)N(C)CCC2=CC=CC=C21,ENAMINE-REAL : Z4087966581,consensus,0.8541666666666666,enamine-real
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C2=CC=CC=C2CCN(C)C1=O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,CC(C)[C@H](O)C(=O)NC1C(=O)N(C)CCC2=CC=CC=C21,ENAMINE-REAL : Z4087966629,consensus,0.8541666666666666,enamine-real
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C2=CC=CC=C2CCN(C)C1=O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,CC(=O)N[C@H](C)C(=O)NC1C(=O)N(C)CCC2=CC=CC=C21,ENAMINE-REAL : Z4862095052,consensus,0.7843137254901961,enamine-real
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C2=CC=CC=C2CCN(C)C1=O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,CC(=O)N[C@@H](C)C(=O)NC1C(=O)N(C)CCC2=CC=CC=C21,ENAMINE-REAL : Z4142151665,consensus,0.7843137254901961,enamine-real
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C2=CC=CC=C2CCN(C)C1=O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,CC(=O)NC(C)C(=O)NC1C(=O)N(C)CCC2=CC=CC=C21,ENAMINE-REAL : Z4025868318,consensus,0.7843137254901961,enamine-real
CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H]1C2=CC=CC=C2CCN(C)C1=O,PKXWXXPNHIWQHW-RCBQFDQVSA-N,C[C@@H](O)[C@H](O)C(=O)NC1C(=O)N(C)CCC2=CC=CC=C21,ENAMINE-REAL : Z4492682499,consensus,0.76,enamine-real
