query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@H](O)C[C@H](O)[C@@H]1O,ZINC15 : 5850791,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@@H](O)CC(O)[C@@H]1O,ZINC15 : 1560403835,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@@H](O)C[C@H](O)[C@@H]1O,ZINC15 : 901497,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@@H](O)C[C@H](O)[C@H]1O,ZINC15 : 5227062,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@@H](O)C[C@H](O)[C@@H]1O,ZINC15 : 5224720,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,ZINC15 : 3869223,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@@H](O)C[C@H](O)[C@H]1O,ZINC15 : 1532691,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@H](O)C[C@H](O)[C@@H]1O,ZINC15 : 901499,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,ZINC15 : 3860328,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@H](O)C[C@@H](O)[C@H]1O,ZINC15 : 3606178,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@@H](O)C[C@@H](O)[C@H]1O,ZINC15 : 3860327,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@H](O)C[C@H](O)[C@H]1O,ZINC15 : 388473,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@H](O)CC(O)[C@@H]1O,ZINC15 : 1560403836,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@@H](O)C[C@@H](O)[C@@H]1O,ZINC15 : 3860329,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@@H](O)C[C@@H](O)[C@H]1O,ZINC15 : 2539701,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,ZINC15 : 3860326,consensus,1.0,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@@H](O)C[C@@H]1O,ZINC15 : 2504594,consensus,0.7391304347826086,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@H](O)C[C@@H]1O,ZINC15 : 5600625,consensus,0.7391304347826086,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@@H](O)C[C@H]1O,ZINC15 : 13544197,consensus,0.7391304347826086,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@H](O)C[C@H]1O,ZINC15 : 5600736,consensus,0.7391304347826086,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@H](O)C[C@@H]1O,ZINC15 : 5224543,consensus,0.7391304347826086,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@@H](O)C[C@H]1O,ZINC15 : 26892782,consensus,0.7391304347826086,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@@H](O)C[C@@H]1O,ZINC15 : 14962919,consensus,0.7391304347826086,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@H](O)C[C@H]1O,ZINC15 : 5600727,consensus,0.7391304347826086,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,CO[C@@H]1C[C@H](O)[C@@H](O)[C@@H](CO)O1,ZINC15 : 14589940,consensus,0.5666666666666667,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,CO[C@H]1C[C@@H](O)[C@H](O)[C@H](CO)O1,ZINC15 : 4831368,consensus,0.5666666666666667,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,CO[C@@H]1C[C@H](O)[C@H](O)[C@@H](CO)O1,ZINC15 : 200056028,consensus,0.5666666666666667,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,CO[C@H]1C[C@H](O)[C@H](O)[C@H](CO)O1,ZINC15 : 4831366,consensus,0.5666666666666667,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,CO[C@@H]1C[C@@H](O)[C@H](O)[C@H](CO)O1,ZINC15 : 4831367,consensus,0.5666666666666667,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,CO[C@@H]1C[C@H](O)[C@@H](O)[C@H](CO)O1,ZINC15 : 218536894,consensus,0.5666666666666667,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,CO[C@@H]1C[C@H](O)[C@H](O)[C@H](CO)O1,ZINC15 : 4831365,consensus,0.5666666666666667,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,ZINC15 : 18180982,consensus,0.5217391304347826,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,ZINC15 : 4262343,consensus,0.5217391304347826,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O,ZINC15 : 3870730,consensus,0.5217391304347826,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,ZINC15 : 18043639,consensus,0.5217391304347826,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@H](CO)[C@H](O)[C@@H]1O,ZINC15 : 18067159,consensus,0.5217391304347826,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,O=P([O-])([O-])OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,ZINC15 : ZINC000004097095,consensus,0.5,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,O=P([O-])([O-])OC[C@H]1O[C@@H](O)C[C@@H](O)[C@@H]1O,ZINC15 : ZINC000004097096,consensus,0.5,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,C[C@@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,ZINC15 : 13552282,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1OC[C@@H](O)[C@H]1O,ZINC15 : 3870122,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,C[C@H]1O[C@@H](O)C[C@@H](O)[C@H]1O,ZINC15 : 4831362,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,C[C@@H]1O[C@@H](O)C[C@@H](O)[C@H]1O,ZINC15 : 338348,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1OC[C@H](O)[C@H]1O,ZINC15 : 3870121,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,C[C@@H]1O[C@H](O)C[C@@H](O)[C@H]1O,ZINC15 : 1566762,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,C[C@H]1O[C@H](O)C[C@H](O)[C@@H]1O,ZINC15 : 3860368,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1OC[C@@H](O)[C@@H]1O,ZINC15 : 3870120,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,C[C@@H]1O[C@H](O)C[C@H](O)[C@H]1O,ZINC15 : 2046819,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,C[C@@H]1O[C@H](O)C[C@H](O)[C@@H]1O,ZINC15 : 3606351,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,C[C@H]1O[C@@H](O)C[C@H](O)[C@@H]1O,ZINC15 : 3860367,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,C[C@@H]1O[C@@H](O)C[C@@H](O)[C@@H]1O,ZINC15 : 4831364,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1OC[C@H](O)[C@H]1O,ZINC15 : 5157120,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1OC[C@H](O)[C@@H]1O,ZINC15 : 3870119,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,C[C@H]1O[C@@H](O)C[C@@H](O)[C@@H]1O,ZINC15 : 4831363,consensus,0.48148148148148145,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H]1O,ZINC15 : 3581471,consensus,0.48,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@@H](O)[C@@H](O)[C@H]1O,ZINC15 : 3870144,consensus,0.48,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@@H](O)[C@@H](O)[C@H]1O,ZINC15 : 895052,consensus,0.48,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H]1O,ZINC15 : 1530353,consensus,0.48,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : 895050,consensus,0.48,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O,ZINC15 : 3860714,consensus,0.48,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : 22066448,consensus,0.48,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@@H]1O[C@H](O)[C@H](O)[C@H]1O,ZINC15 : 4097027,consensus,0.48,zinc15
OC[C@H]1O[C@H](O)C[C@@H](O)[C@H]1O,PMMURAAUARKVCB-ARQDHWQXSA-N,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O,ZINC15 : 3860713,consensus,0.48,zinc15
