query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,CO[C@@H]1[C@@H](O)[C@H](O[C@H]2CC[C@]3(C=O)[C@@H]4CC[C@]5(C)[C@H](C6=CC(=O)OC6)CC[C@]5(O)[C@H]4CC[C@H]3C2)O[C@@H](C)[C@H]1O,ZINC15 : ZINC000256439407,consensus,1.0,zinc15
CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,CO[C@H]1[C@@H](O)[C@H](O[C@H]2CC[C@]3(C=O)[C@@H]4CC[C@]5(C)[C@H](C6=CC(=O)OC6)CC[C@]5(O)[C@H]4CC[C@H]3C2)O[C@@H](C)[C@@H]1O,ZINC15 : ZINC000256439414,consensus,1.0,zinc15
CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,CO[C@H]1[C@@H](O)[C@H](O[C@H]2CC[C@]3(C=O)[C@@H]4CC[C@]5(C)[C@H](C6=CC(=O)OC6)CC[C@]5(O)[C@H]4CC[C@H]3C2)O[C@@H](C)[C@H]1O,ZINC15 : ZINC000256439393,consensus,1.0,zinc15
CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,CO[C@H]1[C@H](O)[C@@H](C)O[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)[C@@H]1O,ZINC15 : ZINC000263584306,consensus,1.0,zinc15
CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,CO[C@@H]1[C@@H](O)[C@H](O[C@H]2CC[C@]3(C=O)[C@@H]4CC[C@]5(C)[C@H](C6=CC(=O)OC6)CC[C@]5(O)[C@H]4CC[C@H]3C2)O[C@@H](C)[C@@H]1O,ZINC15 : ZINC000256439400,consensus,1.0,zinc15
CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,CO[C@H]1[C@H](O)[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@@H](C)[C@@H]1O,ZINC15 : ZINC000067902993,consensus,1.0,zinc15
CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,CO[C@H]1[C@H](O)[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@H]4[C@H]3CC[C@]3(C)[C@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@@H](C)[C@@H]1O,ZINC15 : ZINC000067902997,consensus,1.0,zinc15
CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,CO[C@H]1[C@H](O)[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@H]3CC[C@]3(C)[C@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@@H](C)[C@@H]1O,ZINC15 : ZINC000067902996,consensus,1.0,zinc15
CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,CO[C@H]1[C@H](O)[C@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@H]4[C@@H]3CC[C@]3(C)[C@H](C5=CC(=O)OC5)CC[C@]43O)C2)O[C@@H](C)[C@@H]1O,ZINC15 : ZINC000067902995,consensus,1.0,zinc15
CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@@]3(C=O)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@H](CC[C@]43O)C3=CC(=O)OC3)C2)[C@H]1O,PMTSPAGBAFCORP-HBUONDEYSA-N,C[C@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@H]3C2)[C@H](O)[C@H](O)[C@@H]1O,ZINC15 : ZINC000070691664,consensus,0.8783783783783784,zinc15
