query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,FC(F)(F)Oc1ccnc(Nc2cnn(C3CCOCC3)c2)c1,ZINC15 : ZINC001203873611,morgan,0.44,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,CC(C)(O)C1=CC(C2=CN(C3CCOCC3)N=N2)=CC=N1,ENAMINE-REAL : Z4380310959,morgan,0.4246575342465753,enamine-real
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,FC(F)(F)c1cc(Nc2cn(C3CCOCC3)cn2)ccn1,ZINC15 : ZINC001174361558,morgan,0.40540540540540543,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,FC(F)(F)c1cc(Nc2cnn(C3CCOCC3)c2)ccn1,ZINC15 : ZINC001174360853,morgan,0.40540540540540543,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,COc1cc(Nc2cnn(C3CCOCC3)c2)ccn1,ZINC15 : ZINC001174303015,morgan,0.38666666666666666,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,COc1cc(Nc2cn(C3CCOCC3)cn2)ccn1,ZINC15 : ZINC001174305802,morgan,0.38666666666666666,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,CC(C)(O)c1cccc(Nc2cn(C3CCOCC3)cn2)c1,ZINC15 : ZINC001174406562,morgan,0.37662337662337664,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,FC(F)(F)Oc1cc(Nc2cnn(C3CCOCC3)c2)ccn1,ZINC15 : ZINC001203874996,morgan,0.3717948717948718,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,CC(C)Oc1cc(Nc2cn(C3CCOCC3)cn2)ccn1,ZINC15 : ZINC001215766081,morgan,0.3717948717948718,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,CC(C)Oc1cc(Nc2cnn(C3CCOCC3)c2)ccn1,ZINC15 : ZINC001215767463,morgan,0.3717948717948718,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,CC(C)(C)c1cc(Nc2c(C(N)=O)cnn2C2CCOCC2)ccn1,ZINC15 : ZINC001213162991,morgan,0.37037037037037035,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,CC(C)(C)c1nccc(Nc2cnn(C3CCOCC3)c2)n1,ZINC15 : ZINC001203875029,morgan,0.36363636363636365,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,CC(C)(O)c1cccc(Nc2cnn(C3CCOCC3)c2)c1,ZINC15 : ZINC001174403720,morgan,0.36363636363636365,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,FC(F)(F)Oc1ccnc(Nc2cnn(C3CCC3)c2)c1,ZINC15 : ZINC001175758286,morgan,0.36363636363636365,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,COCCOc1cc(Nc2cnn(C3CCOCC3)c2)ccn1,ZINC15 : ZINC001203890479,morgan,0.3625,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,CC(C)(O)c1ccc(Nc2cn(C3CCOCC3)cn2)cc1,ZINC15 : ZINC001210618377,morgan,0.36,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,FC(F)(F)c1cc(Nc2ccnn2C2CCOCC2)ccn1,ZINC15 : ZINC001174362503,morgan,0.36,zinc15
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,PNPFMWIDAKQFPY-UHFFFAOYSA-N,FC(F)(F)Oc1ccnc(Nc2cnn(C3CCCCC3)c2)c1,ZINC15 : ZINC001175878413,morgan,0.358974358974359,zinc15
