query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=NC(N)=C3C=NNC3=N2)=CC(OC)=C1OC,ENAMINE-REAL : Z1679733123,consensus,0.5535714285714286,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=NC(N)=NC3=C2NC=N3)=CC(OC)=C1OC,ENAMINE-REAL : Z1675238525,consensus,0.543859649122807,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)Cc2cnc(N)nc2)cc(OC)c1OC,ZINC15 : ZINC001138166409,consensus,0.54,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(N(C)Cc2nc(N)nc(N)n2)cc(OC)c1OC,ZINC15 : ZINC000266773508,consensus,0.54,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC2=NC(N(C)CC3=CC(OC)=C(OC)C(OC)=C3)=NC(N)=C2C=C1OC,ENAMINE-REAL : Z1173199162,consensus,0.5370370370370371,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,ZINC15 : ZINC000272518861,consensus,0.5217391304347826,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=NC=NC3=NC(N)=CC=C23)=CC(OC)=C1OC,ENAMINE-REAL : Z1537105806,consensus,0.5172413793103449,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=CN=C3N=C(N)SC3=N2)=CC(OC)=C1OC,ENAMINE-REAL : Z4224477088,consensus,0.5172413793103449,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(N(C)Cc2ccc(N)nc2)cc(OC)c1OC,ZINC15 : ZINC000843067913,consensus,0.5,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1O,ZINC15 : ZINC000290468971,consensus,0.5,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=NC(N)=NC3=C2C=CN3)=CC(OC)=C1OC,ENAMINE-REAL : Z5110307167,consensus,0.4915254237288136,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=NC(N)=NC(C(F)(F)F)=N2)=CC(OC)=C1OC,ENAMINE-REAL : Z2968744826,consensus,0.49122807017543857,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,CCOc1c(OC)cc(CN(C)c2cc(OC)c(OC)c(OC)c2)cc1OC,ZINC15 : ZINC000780775983,consensus,0.49019607843137253,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(N(C)Cc2cnc(N)cn2)cc(OC)c1OC,ZINC15 : ZINC000873210198,consensus,0.48148148148148145,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)Cc2nccnc2N)cc(OC)c1OC,ZINC15 : ZINC001140012473,consensus,0.48148148148148145,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)c2cc(C)cc(C)c2)cc(OC)c1OC,ZINC15 : ZINC000507861452,consensus,0.48,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=NC=CC3=C(N)C=CC=C23)=CC(OC)=C1OC,ENAMINE-REAL : Z2611078445,consensus,0.4745762711864407,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=NC(N)=C3N=CSC3=N2)=CC(OC)=C1OC,ENAMINE-REAL : Z5216315162,consensus,0.4745762711864407,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=CC=NC3=NC(C)=CC=C23)=CC(OC)=C1OC,ENAMINE-REAL : Z1973623254,consensus,0.4745762711864407,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)c2cccc(C)c2)cc(OC)c1OC,ZINC15 : ZINC000184735978,consensus,0.4716981132075472,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,ZINC15 : ZINC000006627681,consensus,0.4716981132075472,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=NC=C3N=C(N)SC3=N2)=CC(OC)=C1OC,ENAMINE-REAL : Z4224477131,consensus,0.4666666666666667,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)Cc2ncc(Cl)s2)cc(OC)c1OC,ZINC15 : ZINC001137110410,consensus,0.4642857142857143,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)Cc2cccc(N)n2)cc(OC)c1OC,ZINC15 : ZINC001233372035,consensus,0.4642857142857143,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)Cc2cnc(N)s2)cc(OC)c1OC,ZINC15 : ZINC001139227958,consensus,0.4642857142857143,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)c2cccc(O)c2)cc(OC)c1OC,ZINC15 : ZINC000668803551,consensus,0.46296296296296297,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)Cc2cnc(C)nc2)cc(OC)c1OC,ZINC15 : ZINC001203118090,consensus,0.46153846153846156,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COc1cc(CN(C)Cc2cnc(OC)nc2)cc(OC)c1OC,ZINC15 : ZINC001206418557,consensus,0.46153846153846156,zinc15
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=NC=C(C#N)C=C2N)=CC(OC)=C1OC,ENAMINE-REAL : Z2968744625,consensus,0.4576271186440678,enamine-real
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC,PUOZHLHNKHRTOW-UHFFFAOYSA-N,COC1=CC(CN(C)C2=CC(N)=NC3=CC=CC=C23)=CC(OC)=C1OC,ENAMINE-REAL : PV-006628374315,consensus,0.4576271186440678,enamine-real
