query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC1=CC(I)=C(O)C(=C1)C(=O)NC1=CC(Cl)=C(C=C1)C(N)=N,QKGFTDAISIBIBV-UHFFFAOYSA-N,COc1cc(C)cc(C(=O)Nc2ccc(C(N)=O)c(Cl)c2)c1O,ZINC15 : ZINC000094127393,consensus,0.5925925925925926,zinc15
CC1=CC(I)=C(O)C(=C1)C(=O)NC1=CC(Cl)=C(C=C1)C(N)=N,QKGFTDAISIBIBV-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(Cl)c(Cl)c2)c(I)c1,ZINC15 : ZINC000225020504,consensus,0.56,zinc15
CC1=CC(I)=C(O)C(=C1)C(=O)NC1=CC(Cl)=C(C=C1)C(N)=N,QKGFTDAISIBIBV-UHFFFAOYSA-N,Cc1ccc(O)c(C(=O)Nc2ccc(C(N)=O)c(Cl)c2)c1,ZINC15 : ZINC000121527047,consensus,0.5576923076923077,zinc15
CC1=CC(I)=C(O)C(=C1)C(=O)NC1=CC(Cl)=C(C=C1)C(N)=N,QKGFTDAISIBIBV-UHFFFAOYSA-N,COc1cc(C)cc(C(=O)Nc2ccc(C(C)=O)c(Cl)c2)c1O,ZINC15 : ZINC000436842724,consensus,0.5555555555555556,zinc15
CC1=CC(I)=C(O)C(=C1)C(=O)NC1=CC(Cl)=C(C=C1)C(N)=N,QKGFTDAISIBIBV-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(C)c(Cl)c2)c(I)c1,ZINC15 : ZINC000225013354,consensus,0.5490196078431373,zinc15
CC1=CC(I)=C(O)C(=C1)C(=O)NC1=CC(Cl)=C(C=C1)C(N)=N,QKGFTDAISIBIBV-UHFFFAOYSA-N,Cc1ccc(I)c(C(=O)Nc2ccc(C(=O)[O-])c(Cl)c2)c1,ZINC15 : ZINC000237776975,consensus,0.5471698113207547,zinc15
CC1=CC(I)=C(O)C(=C1)C(=O)NC1=CC(Cl)=C(C=C1)C(N)=N,QKGFTDAISIBIBV-UHFFFAOYSA-N,COC(=O)c1ccc(NC(=O)c2cc(C)cc(OC)c2O)cc1Cl,ZINC15 : ZINC000436526035,consensus,0.5454545454545454,zinc15
CC1=CC(I)=C(O)C(=C1)C(=O)NC1=CC(Cl)=C(C=C1)C(N)=N,QKGFTDAISIBIBV-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(C(N)=O)c(Cl)c2)c(O)c1,ZINC15 : ZINC000121528844,consensus,0.5384615384615384,zinc15
CC1=CC(I)=C(O)C(=C1)C(=O)NC1=CC(Cl)=C(C=C1)C(N)=N,QKGFTDAISIBIBV-UHFFFAOYSA-N,Cc1ccc(C)c(C(=O)Nc2ccc(C(N)=O)c(Cl)c2)c1,ZINC15 : ZINC000046242254,consensus,0.5384615384615384,zinc15
CC1=CC(I)=C(O)C(=C1)C(=O)NC1=CC(Cl)=C(C=C1)C(N)=N,QKGFTDAISIBIBV-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(C(N)=O)c(Cl)c2)c(O)c1O,ZINC15 : ZINC000182416178,consensus,0.5384615384615384,zinc15
