query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,CS(=O)(=O)CCOCCNC(=O)[C@@H](N)Cc1ccccc1,ZINC15 : ZINC000162001275,consensus,0.6296296296296297,zinc15
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,CS(=O)(=O)CCOCCNC(=O)[C@H](N)Cc1ccccc1,ZINC15 : ZINC000237310734,consensus,0.6296296296296297,zinc15
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,N[C@H](CC1=CC=CC=C1)C(=O)NCCOCCC1=CC=CC=C1,ENAMINE-REAL : Z2449808047,consensus,0.6274509803921569,enamine-real
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,N[C@@H](CC1=CC=CC=C1)C(=O)NCCOCCC1=CC=CC=C1,ENAMINE-REAL : Z2391926000,consensus,0.6274509803921569,enamine-real
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,NC(CC1=CC=CC=C1)C(=O)NCCOCCC1=CC=CC=C1,ENAMINE-REAL : Z2391926005,consensus,0.6274509803921569,enamine-real
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,COCCOCCNC(=O)c1ccc(S(N)(=O)=O)cc1,ZINC15 : ZINC000016052046,consensus,0.6274509803921569,zinc15
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,NS(=O)(=O)c1ccc(C(=O)NCCOCCOCC[NH3+])cc1,ZINC15 : ZINC000002047169,consensus,0.6153846153846154,zinc15
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,N[C@H](CC1=CC=CC=C1)C(=O)NCCOCC1=CC=CC=C1,ENAMINE-REAL : Z2449328226,consensus,0.6078431372549019,enamine-real
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,NC(CC1=CC=CC=C1)C(=O)NCCOCC1=CC=CC=C1,ENAMINE-REAL : Z2392165375,consensus,0.6078431372549019,enamine-real
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,N[C@@H](CC1=CC=CC=C1)C(=O)NCCOCC1=CC=CC=C1,ENAMINE-REAL : Z2392165373,consensus,0.6078431372549019,enamine-real
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,N[C@H](CNC(=O)C1=CC=C(S(N)(=O)=O)C=C1)CC1=CC=CC=C1,ENAMINE-REAL : PV-007299202145,consensus,0.6037735849056604,enamine-real
[H][C@](N)(CC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,QNZDHHNWUXIYOH-FQEVSTJZSA-N,NS(=O)(=O)c1ccc(C(=O)NCCOCCOCC(=O)[O-])cc1,ZINC15 : ZINC001594661004,consensus,0.6037735849056604,zinc15
