query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(C)CCN1c2ccccc2C(=O)C1=O,ZINC15 : ZINC000002024905,consensus,0.6756756756756757,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN1c2ccccc2C(=O)N(CC[NH+](C)C)c2ccccc21,ZINC15 : ZINC000000001275,consensus,0.6410256410256411,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN1c2ccccc2C(=O)N(C)c2ccccc2C1=O,ZINC15 : ZINC000001607937,consensus,0.5294117647058824,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN1c2ccccc2C(=O)N(CC[N+](C)(C)C)c2ccccc2C1=O,ZINC15 : ZINC000005510346,consensus,0.5238095238095238,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN1c2ccccc2C(=O)N(CC[NH+](C)C)c2ccccc2C1=O,ZINC15 : ZINC000005525831,consensus,0.5238095238095238,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CC[NH+](CC)CCN1c2ccccc2C(=O)N(C)c2ccccc2C1=O,ZINC15 : ZINC000005470993,consensus,0.5,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(C)c1ccccc1N(C)CCN1C(=O)c2ccccc2C1=O,ZINC15 : ZINC000127495827,consensus,0.5,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN1c2ccccc2C(=O)N(CCC[NH+](C)C)c2ccccc2C1=O,ZINC15 : ZINC000005510343,consensus,0.5,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(C)CCN1C(=O)c2ccccc2S1(=O)=O,ZINC15 : ZINC000048455195,consensus,0.4883720930232558,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(CCN1C(=O)c2ccccc2C1=O)CN1C(=O)C(=O)N(C)C1=O,ZINC15 : ZINC000753983452,consensus,0.4666666666666667,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,COc1ccccc1N(C)CCN1C(=O)c2ccccc2C1=O,ZINC15 : ZINC000052190284,consensus,0.45652173913043476,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CCN1c2ccccc2C(=O)N(CC[NH+](C)C)c2ccccc2C1=O,ZINC15 : ZINC000005456148,consensus,0.45454545454545453,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,C[NH2+]CCN(C)CCN1C(=O)c2ccccc2C1=O,ZINC15 : ZINC000070304110,consensus,0.45454545454545453,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(CCN1C(=O)c2ccccc2C1=O)CC[NH+](C)C,ZINC15 : ZINC000019364840,consensus,0.45454545454545453,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CCN1c2ccccc2C(=O)N(CC[N+](C)(C)C)c2ccccc2C1=O,ZINC15 : ZINC000005471953,consensus,0.45454545454545453,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(CCN1C(=O)c2ccccc2C1=O)c1ccccc1S(C)(=O)=O,ZINC15 : ZINC000159169810,consensus,0.44680851063829785,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(CCN1C(=O)c2ccccc2C1=O)Cc1ccccc1N1CCCC1,ZINC15 : ZINC000513969454,consensus,0.44,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(CCN1C(=O)C2=CC=CC=C2C1=O)C1=NC2=CC=CC=C2N=C1Cl,ENAMINE-REAL : PV-005187384510,consensus,0.4375,enamine-real
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CCS(=O)(=O)c1ccccc1N(C)CCN1C(=O)c2ccccc2C1=O,ZINC15 : ZINC000276380762,consensus,0.4375,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(CCN1C(=O)c2ccccc2C1=O)[C@@H]1CCN(C)C1=O,ZINC15 : ZINC000156916920,consensus,0.4375,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(CCN1C(=O)c2ccccc2C1=O)[C@H]1CCN(C)C1=O,ZINC15 : ZINC000156916780,consensus,0.4375,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CCCN1c2ccccc2C(=O)N(CCC[NH+](C)C)c2ccccc2C1=O,ZINC15 : ZINC000005430869,consensus,0.43478260869565216,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,C[NH2+]CCCN(C)CCN1C(=O)c2ccccc2C1=O,ZINC15 : ZINC000127247978,consensus,0.43478260869565216,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CCN1c2ccccc2C(=O)N(CC[N+](C)(C)CC)c2ccccc2C1=O,ZINC15 : ZINC000005471956,consensus,0.43478260869565216,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CCN1c2ccccc2C(=O)N(CCC[NH+](C)C)c2ccccc2C1=O,ZINC15 : ZINC000005456144,consensus,0.43478260869565216,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,C[NH+](C)CCN(CCN1C(=O)c2ccccc2C1=O)CC[NH+](C)C,ZINC15 : ZINC000685456954,consensus,0.4318181818181818,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(CCN1C(=O)c2ccccc2C1=O)c1nc2ccccc2n1C,ZINC15 : ZINC000342772633,consensus,0.42857142857142855,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(C)CCN1CC(=O)C(=C2N(C)c3ccccc3N2C)C1=N,ZINC15 : ZINC000119252029,consensus,0.42857142857142855,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(C)CCN1C=C(C(=O)N(C)CCN2C(=O)C3=CC=CC=C3C2=O)C2=CC=CC=C21,ENAMINE-REAL : Z1510778102,consensus,0.42592592592592593,enamine-real
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN1c2ccccc2N(CCN2C(=O)c3ccccc3C2=O)CCC1=O,ZINC15 : ZINC000080733225,consensus,0.425531914893617,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN1CCN(CCN2C(=O)c3ccccc3C2=O)c2ccccc21,ZINC15 : ZINC000111302969,consensus,0.4222222222222222,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(CCN1C(=O)c2ccccc2C1=O)[C@@H]1CCCN(C)C1=O,ZINC15 : ZINC000539812595,consensus,0.42,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(CCN1C(=O)c2ccccc2C1=O)[C@H]1CCCN(C)C1=O,ZINC15 : ZINC000539812594,consensus,0.42,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(C)c1ccccc1N(C)CCCN1C(=O)c2ccccc2C1=O,ZINC15 : ZINC000441311105,consensus,0.41304347826086957,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,C[NH+](C)CCN1c2ccccc2C(=O)C1=O,ZINC15 : ZINC000002024905,consensus,0.4090909090909091,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,C[C@H]1CN(CCN2C(=O)c3ccccc3C2=O)c2ccccc2N(C)C1=O,ZINC15 : ZINC000072485558,consensus,0.40816326530612246,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN1c2ccccc2N(CCCN2C(=O)c3ccccc3C2=O)CCC1=O,ZINC15 : ZINC000072483355,consensus,0.40816326530612246,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,C[NH2+]CCC(=O)N(C)CCN1C(=O)c2ccccc2C1=O,ZINC15 : ZINC000423850145,consensus,0.40816326530612246,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,C[C@@H]1CN(CCN2C(=O)c3ccccc3C2=O)c2ccccc2N(C)C1=O,ZINC15 : ZINC000072485554,consensus,0.40816326530612246,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN1CCN(CCCN2C(=O)c3ccccc3C2=O)c2ccccc21,ZINC15 : ZINC000354411690,consensus,0.40425531914893614,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,C[NH2+]CCN(C)CCCN1C(=O)c2ccccc2C1=O,ZINC15 : ZINC000127897756,consensus,0.40425531914893614,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,C[NH2+]CCCN(C)CCCN1C(=O)c2ccccc2C1=O,ZINC15 : ZINC000127901575,consensus,0.40425531914893614,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN1CCCN(CCN2C(=O)c3ccccc3C2=O)c2ccccc21,ZINC15 : ZINC000338292033,consensus,0.40425531914893614,zinc15
CN(C)CCN1C2=CC=CC=C2N(C)C2=CC=CC=C2C1=O,QPGGEKPRGVJKQB-UHFFFAOYSA-N,CN(C)c1ccccc1N(C)CCCCN1C(=O)c2ccccc2C1=O,ZINC15 : ZINC000534955834,consensus,0.40425531914893614,zinc15
