query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,CSCCC(=O)N[C@@H](CCSC)C(=O)NCC(=O)O,ENAMINE-REAL : Z5293049304,consensus,0.5909090909090909,enamine-real
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,CSCC[C@H](NC(=O)CCC(C)C)C(=O)NCC(=O)O,ENAMINE-REAL : Z5293046120,consensus,0.5869565217391305,enamine-real
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,CCCC(=O)N[C@@H](CCSC)C(=O)NCC(=O)O,ENAMINE-REAL : Z5293044954,consensus,0.5652173913043478,enamine-real
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,CCCCC(=O)N[C@@H](CCSC)C(=O)NCC(=O)O,ENAMINE-REAL : Z5293044401,consensus,0.5416666666666666,enamine-real
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,C=C(C)CCC(=O)N[C@@H](CCSC)C(=O)NCC(=O)O,ENAMINE-REAL : Z5293056899,consensus,0.5306122448979592,enamine-real
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,CSC[C@H](NC(=O)CC[C@@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-],ZINC15 : ZINC000004556980,consensus,0.5306122448979592,zinc15
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,CSC[C@@H](NC(=O)CC[C@@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-],ZINC15 : ZINC000004556981,consensus,0.5306122448979592,zinc15
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,CSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-],ZINC15 : ZINC000001532230,consensus,0.5306122448979592,zinc15
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,CSCC[C@H](NC(=O)CCC(F)(F)F)C(=O)NCC(=O)O,ENAMINE-REAL : Z5293049639,consensus,0.5306122448979592,enamine-real
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,CSCC[C@H](NC(=O)CCC(C)(C)C)C(=O)NCC(=O)O,ENAMINE-REAL : Z5293048730,consensus,0.5306122448979592,enamine-real
CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,QTQDDTSVRVWHMO-BQBZGAKWSA-N,CSC[C@@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-],ZINC15 : ZINC000004556979,consensus,0.5306122448979592,zinc15
