query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SC(=S)N(C)C,ZINC15 : ZINC000001666745,consensus,1.0,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CSC(=S)N(C)C,ZINC15 : 1671797,consensus,0.5882352941176471,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SCSC(=S)N(C)C,ZINC15 : ZINC000001655437,consensus,0.5263157894736842,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)CSC(=S)N(C)C,ZINC15 : 31356874,consensus,0.5,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CCN(CC)C(=S)SC(=S)N(CC)CC,ZINC15 : ZINC000001669508,consensus,0.45,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CC(C)N(C(=S)SC(=S)N(C(C)C)C(C)C)C(C)C,ZINC15 : ZINC000001679594,consensus,0.45,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)N(C)C,ZINC15 : 388100,consensus,0.4375,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SC[NH+](C)C,ZINC15 : 31356874,consensus,0.43478260869565216,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SCC#N,ZINC15 : 2140890,consensus,0.4166666666666667,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,C=CCSC(=S)N(C)C,ZINC15 : 1760691,consensus,0.4166666666666667,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SC(=O)N(c1ccccc1)c1ccccc1,ZINC15 : ZINC000005674752,consensus,0.41379310344827586,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(N)=S,ZINC15 : 5688714,consensus,0.4117647058823529,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)[S-],ZINC15 : 1693329,consensus,0.4117647058823529,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SCC(=O)[O-],ZINC15 : 262228,consensus,0.4,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SCC[NH+](C)C,ZINC15 : 2680018,consensus,0.4,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CCCCCCCCCCCCSC(=S)N(C)C,ZINC15 : ZINC000100311703,consensus,0.38461538461538464,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CCCCCCCCCCSC(=S)N(C)C,ZINC15 : ZINC000100730537,consensus,0.38461538461538464,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SC[C@@H](O)CO,ZINC15 : 2451961,consensus,0.38461538461538464,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SC[C@H](O)CO,ZINC15 : 2451960,consensus,0.38461538461538464,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CCCCN(CCCC)C(=S)SC(=S)N(CCCC)CCCC,ZINC15 : ZINC000034165899,consensus,0.375,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SCCC(=O)[O-],ZINC15 : 1730221,consensus,0.37037037037037035,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,COC(=O)CSC(=S)N(C)C,ZINC15 : 1760596,consensus,0.37037037037037035,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)Sc1nc(N(C)C)nc(N(C)C)n1,ZINC15 : ZINC000026960659,consensus,0.37037037037037035,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)S[C@H]1O[C@H](CO)[C@H](SC(=S)N(C)C)O[C@H]1CO,ZINC15 : ZINC000005339685,consensus,0.35714285714285715,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)S[C@H]1O[C@@H](CO)[C@@H](SC(=S)N(C)C)O[C@H]1CO,ZINC15 : ZINC000005339682,consensus,0.35714285714285715,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)S[C@H]1O[C@@H](CO)[C@@H](SC(=S)N(C)C)O[C@@H]1CO,ZINC15 : ZINC000017044489,consensus,0.35714285714285715,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CO/C=C/CSC(=S)N(C)C,ZINC15 : 5912424,consensus,0.35714285714285715,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)S[C@H]1O[C@@H](CO)[C@H](SC(=S)N(C)C)O[C@H]1CO,ZINC15 : ZINC000005339683,consensus,0.35714285714285715,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)Sc1ccsc1,ZINC15 : ZINC000000334480,consensus,0.3448275862068966,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SCN1CCOCC1,ZINC15 : ZINC000031880277,consensus,0.3448275862068966,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)SCc1ccc(Cl)cc1,ZINC15 : ZINC000001676926,consensus,0.3333333333333333,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)NN,ZINC15 : 6371802,consensus,0.3333333333333333,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)S[C@H]1CCCC1=O,ZINC15 : ZINC000000389178,consensus,0.3225806451612903,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)S[C@@H]1CCCC1=O,ZINC15 : ZINC000000389179,consensus,0.3225806451612903,zinc15
CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,CN(C)C(=S)S(=O)(=O)CCCCS(=O)(=O)C(=S)N(C)C,ZINC15 : ZINC000001570680,consensus,0.32,zinc15
