query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)C(=O)CCNC1=O,ZINC15 : 3875487,consensus,1.0,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)C(=O)NCCNC1=O,ZINC15 : 4972496,consensus,0.68,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)C(=O)NCCC1=NO,ENAMINE-REAL : Z3989936778,consensus,0.59375,enamine-real
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)C(=O)NCCC1=NOC,ZINC15 : 819806718,consensus,0.5588235294117647,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC1(C)C(=O)CCNC1=O,ZINC15 : 81914779,consensus,0.5357142857142857,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)C(=O)NCCC1=NNCC(=O)[O-],ZINC15 : ZINC000819813123,consensus,0.475,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)CCNC1=O,ZINC15 : 13755863,consensus,0.4666666666666667,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@]1(C)CCNC1=O,ZINC15 : 13755862,consensus,0.45161290322580644,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@@]1(C)CCNC1=O,ZINC15 : 13755861,consensus,0.45161290322580644,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)CCCNC1=O,ZINC15 : 13760774,consensus,0.4375,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@]1(C)NCCNC1=O,ZINC15 : 40174762,consensus,0.4375,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@@]1(C)NCCNC1=O,ZINC15 : 40174760,consensus,0.4375,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@]1(C)CCCNC1=O,ZINC15 : 13760773,consensus,0.42424242424242425,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@@]1(C)CCCNC1=O,ZINC15 : 13760772,consensus,0.42424242424242425,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)SCCNC1=O,ZINC15 : 4683502,consensus,0.42424242424242425,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@]1(C[NH3+])CCNC1=O,ZINC15 : 77260382,consensus,0.4117647058823529,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@@]1(C[NH3+])CCNC1=O,ZINC15 : 77260384,consensus,0.4117647058823529,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@@]1(CO)CCNC1=O,ZINC15 : 215123507,consensus,0.4117647058823529,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@]1(CO)CCNC1=O,ZINC15 : 215123462,consensus,0.4117647058823529,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)C(=O)C=CNC1=O,ZINC15 : 3861492,consensus,0.3939393939393939,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(C(N)=O)CCNC1=O,ENAMINE-REAL : PV-002449089628,consensus,0.3888888888888889,enamine-real
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@@]1(C(=O)[O-])CCNC1=O,ZINC15 : 83268971,consensus,0.3888888888888889,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@]1(C(=O)[O-])CCNC1=O,ZINC15 : 83268970,consensus,0.3888888888888889,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC[C@@]1(C)CCNC1=O,ZINC15 : 238236003,consensus,0.38235294117647056,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC[C@]1(C)CCNC1=O,ZINC15 : 238260681,consensus,0.38235294117647056,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)C(=O)COC1=O,ZINC15 : 238222949,consensus,0.375,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@@]1(C(=O)NC)CCNC1=O,ZINC15 : 864733423,consensus,0.3684210526315789,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(C(=O)OC)CCNC1=O,ENAMINE-REAL : PV-005822863054,consensus,0.3684210526315789,enamine-real
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(NC(C)=O)CCNC1=O,ENAMINE-REAL : Z4889521684,consensus,0.3684210526315789,enamine-real
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(C(=O)NO)CCNC1=O,ENAMINE-REAL : Z2833879384,consensus,0.3684210526315789,enamine-real
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(C(=O)NC)CCNC1=O,ENAMINE-REAL : Z2764584053,consensus,0.3684210526315789,enamine-real
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@]1(C(=O)OC)CCNC1=O,ZINC15 : 215507209,consensus,0.3684210526315789,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@@]1(C(=O)NO)CCNC1=O,ZINC15 : 1331096736,consensus,0.3684210526315789,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@]1(C(=O)NO)CCNC1=O,ZINC15 : 1331096737,consensus,0.3684210526315789,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CN2C(=O)CCNC2=O)CC1,ENAMINE-REAL : Z3211019382,consensus,0.3684210526315789,enamine-real
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@]1(C(=O)NC)CCNC1=O,ZINC15 : 864733422,consensus,0.3684210526315789,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CC[C@@]1(C(=O)OC)CCNC1=O,ZINC15 : 215507259,consensus,0.3684210526315789,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCC1(CC)C(=O)[N-]C(=O)NC1=O,ZINC15 : 13545632,consensus,0.36363636363636365,zinc15
CCC1(CC)C(=O)CCNC1=O,RGEVWUKXWFOAID-UHFFFAOYSA-N,CCOC(=O)[C@@]1(CC)CCNC1=O,ZINC15 : 261268939,consensus,0.358974358974359,zinc15
