query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@@H](C)[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000005351611,consensus,0.3333333333333333,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000005351615,consensus,0.3333333333333333,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000100139939,consensus,0.3333333333333333,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@@H](C)[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000005351617,consensus,0.3333333333333333,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000005351621,consensus,0.3333333333333333,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000044280384,consensus,0.3333333333333333,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2[C@H](C)CCN2C(=O)[C@H](C[C@H](O)CO)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000252463574,consensus,0.32432432432432434,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2[C@H](C)CCN2C(=O)[C@H](C[C@H](O)CO)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000252463573,consensus,0.32432432432432434,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2[C@H](C)CCN2C(=O)[C@H](C[C@H](O)CO)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000252463572,consensus,0.32432432432432434,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@H]2[C@@H](C)CCN2C(=O)[C@@H](C[C@H](O)CO)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000067911454,consensus,0.32432432432432434,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@@H](C)[C@H]1NC(=O)[C@H]2[C@@H](C)CCN2C(=O)[C@@H](C[C@H](O)CO)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000067911448,consensus,0.32432432432432434,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@H]1NC(=O)[C@H]2[C@@H](C)CCN2C(=O)[C@@H](C[C@H](O)CO)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000067911450,consensus,0.32432432432432434,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@@H](C)[C@@H]1NC(=O)[C@H]2[C@@H](C)CCN2C(=O)[C@@H](C[C@H](O)CO)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000067911452,consensus,0.32432432432432434,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2[C@H](C)CCN2C(=O)[C@H](C[C@H](O)CO)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000252463575,consensus,0.32432432432432434,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](C[C@H](C)C(=O)[O-])OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000103217401,consensus,0.3125,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC(C)C[C@H]1NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](C)COC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC1=O,ZINC15 : ZINC000005048505,consensus,0.3106796116504854,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC(C)C[C@H]1NC(=O)[C@@H](C(C)C)NC(=O)C[C@H](C)COC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC1=O,ZINC15 : ZINC000005048508,consensus,0.3106796116504854,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC(C)C[C@H]1NC(=O)[C@H](C(C)C)NC(=O)C[C@@H](C)COC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC1=O,ZINC15 : ZINC000005048509,consensus,0.3106796116504854,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC(C)C[C@H]1NC(=O)[C@H](C(C)C)NC(=O)C[C@H](C)COC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC1=O,ZINC15 : ZINC000005048510,consensus,0.3106796116504854,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](C[C@@H]2CO2)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000005520020,consensus,0.2972972972972973,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@@H](C)[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](C[C@@H]2CO2)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000005520011,consensus,0.2972972972972973,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@@H](C)[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](C[C@@H]2CO2)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000005520018,consensus,0.2972972972972973,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H](C[C@@H]2CO2)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@@H](C(C)C)N(C)C1=O,ZINC15 : ZINC000005520012,consensus,0.2972972972972973,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](CC(C)C)C(=O)N1C,ZINC15 : ZINC000095785647,consensus,0.2717391304347826,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](CC(C)C)C(=O)N1C,ZINC15 : ZINC000095785649,consensus,0.2717391304347826,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,ZINC15 : ZINC000067903312,consensus,0.26436781609195403,zinc15
CC[C@H](C)[C@@H]1N(C)C(=O)CN(C)C(=O)[C@H](CC)NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC1=O)C(C)C,RPJPZDVUUKWPGT-FOIHOXPVSA-N,CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H]([C@@H](C)CC)C(=O)O[C@H](C(C)C)C(=O)N1C,ZINC15 : ZINC000087528960,consensus,0.26436781609195403,zinc15
