query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],RPNZWZDLNYCCIG-HMMVDTEZSA-O,CC(=O)N[C@@H]1[C@H](OC2CCCCC2)O[C@H](CO)[C@H](O)[C@H]1O,ZINC15 : ZINC000239038919,consensus,0.3888888888888889,zinc15
[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],RPNZWZDLNYCCIG-HMMVDTEZSA-O,CC(=O)N[C@@H]1[C@H](OC2CCCCC2)O[C@H](CO)[C@@H](O)[C@H]1O,ZINC15 : ZINC000239038920,consensus,0.3888888888888889,zinc15
[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],RPNZWZDLNYCCIG-HMMVDTEZSA-O,CC(=O)C[C@@H]1O[C@H](O[C@H]2[C@@H](OS(=O)(=O)[O-])[C@@H](CO)O[C@@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H](O)[C@@H]1O,ZINC15 : ZINC000248318119,consensus,0.37037037037037035,zinc15
[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],RPNZWZDLNYCCIG-HMMVDTEZSA-O,CC(=O)C[C@@H]1O[C@H](O[C@@H]2[C@@H](NC(C)=O)[C@@H](O)O[C@@H](CO)[C@@H]2OS(=O)(=O)[O-])[C@@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC000066055318,consensus,0.37037037037037035,zinc15
[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],RPNZWZDLNYCCIG-HMMVDTEZSA-O,CC(=O)C[C@@H]1O[C@H](O[C@@H]2[C@@H](NC(C)=O)[C@@H](O)O[C@@H](CO)[C@@H]2OS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@@H]1O,ZINC15 : ZINC000066055320,consensus,0.37037037037037035,zinc15
[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],RPNZWZDLNYCCIG-HMMVDTEZSA-O,CC(=O)C[C@@H]1O[C@H](O[C@@H]2[C@@H](NC(C)=O)[C@@H](O)O[C@@H](CO)[C@@H]2OS(=O)(=O)[O-])[C@@H](O)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000026892739,consensus,0.37037037037037035,zinc15
[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],RPNZWZDLNYCCIG-HMMVDTEZSA-O,CC(=O)C[C@@H]1O[C@H](O[C@@H]2[C@@H](NC(C)=O)[C@@H](O)O[C@@H](CO)[C@@H]2OS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O,ZINC15 : ZINC000066055319,consensus,0.37037037037037035,zinc15
[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],RPNZWZDLNYCCIG-HMMVDTEZSA-O,CC(=O)C[C@@H]1O[C@H](O[C@H]2[C@@H](OS(=O)(=O)[O-])[C@@H](CO)O[C@@H](O)[C@H]2NC(C)=O)[C@H](O)[C@H](O)[C@H]1O,ZINC15 : ZINC000248318122,consensus,0.37037037037037035,zinc15
[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],RPNZWZDLNYCCIG-HMMVDTEZSA-O,CC(=O)C[C@@H]1O[C@H](O[C@H]2[C@@H](OS(=O)(=O)[O-])[C@@H](CO)O[C@@H](O)[C@H]2NC(C)=O)[C@H](O)[C@@H](O)[C@@H]1O,ZINC15 : ZINC000248318120,consensus,0.37037037037037035,zinc15
[H]N(CCS(O)(=O)=O)C(=O)[C@@H]1C[C@H](O[C@@H]2O[C@H](CO)[C@@H](OS(O)(=O)=O)[C@H](O)[C@H]2N([H])C(C)=O)[C@@H](CO)[N+]1([H])[H],RPNZWZDLNYCCIG-HMMVDTEZSA-O,CC(=O)C[C@@H]1O[C@H](O[C@H]2[C@@H](OS(=O)(=O)[O-])[C@@H](CO)O[C@@H](O)[C@H]2NC(C)=O)[C@H](O)[C@@H](O)[C@H]1O,ZINC15 : ZINC000248318121,consensus,0.37037037037037035,zinc15
