query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1,ZINC15 : ZINC000003830397,consensus,0.8918918918918919,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@@H](OC=O)c3ccccc3)[C@H]2SC1,ZINC15 : ZINC000004097457,consensus,0.8918918918918919,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1,ZINC15 : ZINC000003830399,consensus,0.8918918918918919,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@@H](OC=O)c3ccccc3)[C@@H]2SC1,ZINC15 : ZINC000003977815,consensus,0.8918918918918919,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@@H](OC=O)c3ccccc3)[C@H]2SC1,ZINC15 : ZINC000003977814,consensus,0.8918918918918919,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@@H]2SC1,ZINC15 : ZINC000003830400,consensus,0.8918918918918919,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@@H]2SC1,ZINC15 : ZINC000003830398,consensus,0.8918918918918919,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@@H](O)c3ccccc3)[C@@H]2SC1,ZINC15 : ZINC000001530586,consensus,0.6962025316455697,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@@H]2SC1,ZINC15 : ZINC000003830395,consensus,0.6962025316455697,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,ZINC15 : ZINC000003830396,consensus,0.6962025316455697,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@@H](O)c3ccccc3)[C@H]2SC1,ZINC15 : ZINC000003977816,consensus,0.6962025316455697,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@H](O)c3ccccc3)[C@@H]2SC1,ZINC15 : ZINC000001530585,consensus,0.6962025316455697,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,ZINC15 : ZINC000003830394,consensus,0.6962025316455697,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@@H]3C[C@H]3c3ccccc3)[C@@H]2SC1,ZINC15 : ZINC000239174546,consensus,0.5882352941176471,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@@H]3C[C@H]3c3ccccc3)[C@H]2SC1,ZINC15 : ZINC000239174547,consensus,0.5882352941176471,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@@H]3C[C@@H]3c3ccccc3)[C@H]2SC1,ZINC15 : ZINC000009355870,consensus,0.5882352941176471,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)[C@@H]3C[C@@H]3c3ccccc3)[C@@H]2SC1,ZINC15 : ZINC000009355871,consensus,0.5882352941176471,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,C[C@H](C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]12)n1cc(Br)cn1,ZINC15 : ZINC000017356874,consensus,0.5568181818181818,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,C[C@H](C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@H]12)n1cc(Br)cn1,ZINC15 : ZINC000038154886,consensus,0.5568181818181818,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,C[C@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@H]12)n1cc(Br)cn1,ZINC15 : ZINC000038154888,consensus,0.5568181818181818,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,C[C@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]12)n1cc(Br)cn1,ZINC15 : ZINC000017356880,consensus,0.5568181818181818,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cc1nn([C@@H](C)C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)cc1Cl,ZINC15 : ZINC000009431510,consensus,0.550561797752809,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cc1nn([C@H](C)C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@@H]23)cc1Cl,ZINC15 : ZINC000013144727,consensus,0.550561797752809,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cc1nn([C@@H](C)C(=O)N[C@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)cc1Cl,ZINC15 : ZINC000002732912,consensus,0.550561797752809,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cc1nn([C@H](C)C(=O)N[C@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@@H]23)cc1Cl,ZINC15 : ZINC000013144725,consensus,0.550561797752809,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cc1nn([C@H](C)C(=O)N[C@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)cc1Cl,ZINC15 : ZINC000009431508,consensus,0.550561797752809,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cc1nn([C@H](C)C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)cc1Cl,ZINC15 : ZINC000009431512,consensus,0.550561797752809,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,C[C@H](C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@H]12)n1cc(Cl)cn1,ZINC15 : ZINC000009355862,consensus,0.550561797752809,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,C[C@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@H]12)n1cc(Cl)cn1,ZINC15 : ZINC000009355863,consensus,0.550561797752809,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,C[C@H](C(=O)N[C@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]12)n1cc(Cl)cn1,ZINC15 : ZINC000013145013,consensus,0.550561797752809,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,C[C@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]12)n1cc(Cl)cn1,ZINC15 : ZINC000013145015,consensus,0.550561797752809,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)c3cccc(F)c3)[C@@H]2SC1,ZINC15 : ZINC000009355865,consensus,0.5454545454545454,zinc15
[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)[C@H](OC=O)C1=CC=CC=C1)C(O)=O,RRJHESVQVSRQEX-SUYBPPKGSA-N,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)c3cccc(F)c3)[C@@H]2SC1,ZINC15 : ZINC000009431582,consensus,0.5454545454545454,zinc15
