query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,CCC1(Oc2ccccc2)C(=O)NC(=O)NC1=O,ZINC15 : ZINC000001679555,consensus,0.5,zinc15
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,C[C@@]1(c2ccc(C(=O)Nc3ccc(Oc4ccccc4)cc3)cc2)NC(=O)NC1=O,ZINC15 : ZINC000478791692,consensus,0.4897959183673469,zinc15
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,C[C@]1(c2ccc(C(=O)Nc3ccc(Oc4ccccc4)cc3)cc2)NC(=O)NC1=O,ZINC15 : ZINC000478791690,consensus,0.4897959183673469,zinc15
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,C[C@@]1(c2ccc(NC(=O)c3ccc(Oc4ccccc4)cc3)cc2)NC(=O)NC1=O,ZINC15 : ZINC000046412038,consensus,0.4897959183673469,zinc15
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,C[C@]1(c2ccc(NC(=O)c3ccc(Oc4ccccc4)cc3)cc2)NC(=O)NC1=O,ZINC15 : ZINC000046412040,consensus,0.4897959183673469,zinc15
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,CN(C(=O)c1ccc([C@]2(C)NC(=O)NC2=O)cc1)c1ccc(Oc2ccccc2)cc1,ZINC15 : ZINC000479261136,consensus,0.48,zinc15
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,CN(C(=O)c1ccc([C@@]2(C)NC(=O)NC2=O)cc1)c1ccc(Oc2ccccc2)cc1,ZINC15 : ZINC000479261137,consensus,0.48,zinc15
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,CC1(C)NC(=O)N(c2ccc(Oc3ccccc3)cc2)C1=O,ZINC15 : ZINC000115455902,consensus,0.4523809523809524,zinc15
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,CC1(C)NC(=O)N(C2=CC=C(OC3=CC=CC=C3)C=C2)C1=O,ENAMINE-REAL : Z1611803866,consensus,0.4523809523809524,enamine-real
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,CC1(CNC(=O)NC2=CC=C(OC3=CC=CC=C3)C=C2)NC(=O)NC1=O,ENAMINE-REAL : PV-002464223610,consensus,0.4489795918367347,enamine-real
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,CCC1(C2=CC=C(OC(=O)COC3=CC=C(OC4=CC=CC=C4)C=C3)C=C2)NC(=O)NC1=O,ENAMINE-REAL : Z1629528015,consensus,0.4423076923076923,enamine-real
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,C[C@@]1(c2ccccc2)CC12C(=O)NC(=O)NC2=O,ZINC15 : ZINC000001628959,consensus,0.4358974358974359,zinc15
CC1(C(=O)NC(=O)NC1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,RTBMLCLTYAPKIF-UHFFFAOYSA-N,C[C@]1(c2ccccc2)CC12C(=O)NC(=O)NC2=O,ZINC15 : ZINC000005810966,consensus,0.4358974358974359,zinc15
