query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,Cn1cc(-c2ccc3ncc(C(C)(C)C)n3c2)cn1,ZINC15 : ZINC000906153465,consensus,0.4642857142857143,zinc15
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,Cn1cc(-c2cnc3ccn(C)c3c2)cn1,ZINC15 : ZINC001240296915,consensus,0.45454545454545453,zinc15
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,CN1C=C(C2=CC=C(C3=CC4=NN(C)C=C4N=C3)C=C2)C=N1,ENAMINE-REAL : PV-007248610550,consensus,0.42857142857142855,enamine-real
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,Cn1cc(-c2cnc3ccc([N-]S(=O)(=O)c4ccccn4)cc3c2)cn1,ZINC15 : ZINC001259286837,consensus,0.4057971014492754,zinc15
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,CN1C=C(C2=CC=C3N=CN(C)C3=C2)C=N1,ENAMINE-REAL : Z3467857426,consensus,0.40350877192982454,enamine-real
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,Cn1cc(-c2cnc3ccc(NS(=O)(=O)c4ccncc4)cc3c2)cn1,ZINC15 : ZINC001190888102,consensus,0.39705882352941174,zinc15
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,Cn1cc(-c2cnc3ccc([N-]S(=O)(=O)c4ccncc4)cc3c2)cn1,ZINC15 : ZINC001190888102,consensus,0.39705882352941174,zinc15
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)Nc2ccc3ncc(-c4cnn(C)c4)cc3c2)cc1,ZINC15 : ZINC001252178841,consensus,0.39705882352941174,zinc15
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,CN1C=C(C2=CC=C(C3=CC=C4N=CN(C)C4=C3)C=C2)C=N1,ENAMINE-REAL : PV-008437767398,consensus,0.39655172413793105,enamine-real
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,CN1C=C(C2=CN=CC(C3=CC=C4N=CN(C)C4=C3)=C2)C=N1,ENAMINE-REAL : PV-006352947001,consensus,0.39344262295081966,enamine-real
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,Cn1cc(-c2cnc3ccc(NS(=O)(=O)CC4CC4)cc3c2)cn1,ZINC15 : ZINC001188962166,consensus,0.391304347826087,zinc15
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,Cn1cc(-c2cnc3ccc(NS(=O)(=O)CC[Si](C)(C)C)cc3c2)cn1,ZINC15 : ZINC001195068224,consensus,0.391304347826087,zinc15
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,Cn1ncc2ncc(-c3cnn(C(C)(C)C)c3)cc21,ZINC15 : ZINC000904832450,consensus,0.3898305084745763,zinc15
CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,RYBLECYFLJXEJX-UHFFFAOYSA-N,Cc1ccccc1S(=O)(=O)[N-]c1ccc2ncc(-c3cnn(C)c3)cc2c1,ZINC15 : ZINC001254592883,consensus,0.38571428571428573,zinc15
