query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,SFOAMIQSXRHIDA-UHFFFAOYSA-N,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c([O-])c(I)c2oc2c(I)c(=O)c(I)cc1-2,ZINC15 : ZINC000150338646,consensus,0.5507246376811594,zinc15
CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,SFOAMIQSXRHIDA-UHFFFAOYSA-N,CC(=O)Oc1c(I)cc2c(oc3c(I)c(=O)c(I)cc-3c2-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1I,ZINC15 : ZINC000150354138,consensus,0.4666666666666667,zinc15
CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,SFOAMIQSXRHIDA-UHFFFAOYSA-N,O=C([O-])c1c(Cl)ccc(Cl)c1-c1c2cc(I)c([O-])c(I)c2oc2c(I)c(=O)c(I)cc1-2,ZINC15 : ZINC000150534643,consensus,0.4533333333333333,zinc15
CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,SFOAMIQSXRHIDA-UHFFFAOYSA-N,CCCCCCCCOC(=O)c1c(Cl)c(Cl)c(C(=O)OCCCCCCCC)c(Cl)c1Cl,ZINC15 : ZINC000100313315,consensus,0.4098360655737705,zinc15
CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,SFOAMIQSXRHIDA-UHFFFAOYSA-N,CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)[O-],ZINC15 : ZINC000002171132,consensus,0.4,zinc15
CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,SFOAMIQSXRHIDA-UHFFFAOYSA-N,CCCCCOC(=O)c1c(Cl)c(Cl)c(C(=O)OCCCCC)c(Cl)c1Cl,ZINC15 : ZINC000001627616,consensus,0.39344262295081966,zinc15
CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,SFOAMIQSXRHIDA-UHFFFAOYSA-N,O=C([O-])c1ccccc1-c1c2cc(I)c([O-])c(I)c2oc2c(I)c(=O)c(I)cc1-2,ZINC15 : ZINC000150338833,consensus,0.38961038961038963,zinc15
CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,SFOAMIQSXRHIDA-UHFFFAOYSA-N,CCCCCCOC(=O)c1ccc(N2C(=O)c3c(c(Cl)c(Cl)c(Cl)c3Cl)C2=O)cc1,ZINC15 : ZINC000002062892,consensus,0.36486486486486486,zinc15
CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,SFOAMIQSXRHIDA-UHFFFAOYSA-N,CCCCCOC(=O)C1=C(O)C(Cl)=CC=C1C,ENAMINE-REAL : PV-005214196336,consensus,0.35714285714285715,enamine-real
CCCCCCOC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,SFOAMIQSXRHIDA-UHFFFAOYSA-N,CCCCCCCOC(=O)c1ccccc1N1C(=O)c2c(c(Cl)c(Cl)c(Cl)c2Cl)C1=O,ZINC15 : ZINC000002062868,consensus,0.35526315789473684,zinc15
