query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,COC(=O)Cc1cc2c(c(O)c1C(C)=O)C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC000003850721,consensus,0.6271186440677966,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,COC(=O)Cc1cc2c(c(O)c1C([O-])=CC(C)=O)C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC000003850717,consensus,0.5606060606060606,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,COC(=O)Cc1cc2c(c(O)c1C(C)=O)C(=O)c1c([O-])cccc1C2=O,ZINC15 : ZINC000003850721,consensus,0.5076923076923077,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CCc1ccc2c(O)c3c(cc2c1C(=O)OC)C(=O)c1cccc(O)c1C3=O,ZINC15 : ZINC000004545363,consensus,0.48484848484848486,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@@H](CC(=O)OC)Oc1cccc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001226380731,consensus,0.484375,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,COC(=O)Cc1cc2c(c(O)c1C([O-])=CC(C)=O)C(=O)c1c([O-])cccc1C2=O,ZINC15 : ZINC000003850717,consensus,0.4647887323943662,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@@H](Oc1cc(C)cc2c1C(=O)c1c(O)cccc1C2=O)C(=O)OC,ZINC15 : ZINC001229540999,consensus,0.45588235294117646,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,COC(=O)C[C@@H](C)Oc1cc(C)cc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001229542849,consensus,0.45588235294117646,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@@H](Oc1cccc2c1C(=O)c1c(O)cccc1C2=O)C(=O)OC,ZINC15 : ZINC001226386091,consensus,0.453125,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,COC(=O)C[C@@H](C)Oc1cccc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001226380099,consensus,0.453125,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@H](O)C(=O)Oc1cc(C)cc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001229540396,consensus,0.44776119402985076,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@@H](O)C(=O)Oc1cc(C)cc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001229540393,consensus,0.44776119402985076,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@@H](CC(=O)OC)Oc1cccc2c1C(=O)c1cccc(O)c1C2=O,ZINC15 : ZINC001229192850,consensus,0.4461538461538462,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CCc1ccc2c(c1)cc1c(c2O)C(=O)c2c(O)cccc2C1=O,ZINC15 : ZINC000003850732,consensus,0.4375,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CCc1ccc2c([O-])c3c(cc2c1C(=O)OC)C(=O)c1cccc(O)c1C3=O,ZINC15 : ZINC000004545363,consensus,0.42857142857142855,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,COC(=O)c1c(C)c2c(cc1O)C(=O)c1cccc(O)c1C2=O,ZINC15 : ZINC000013334446,consensus,0.42857142857142855,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@H](C#CC(=O)OC)Oc1cccc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001226385857,consensus,0.4264705882352941,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@@H](C#CC(=O)OC)Oc1cccc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001226385858,consensus,0.4264705882352941,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CCC(=O)[C@@H](CC)Oc1c(C)cc2c(c1OC)C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001234133962,consensus,0.4225352112676056,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CCC(=O)[C@H](CC)Oc1c(C)cc2c(c1OC)C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001234133961,consensus,0.4225352112676056,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@@H](COC)Oc1cc(C)cc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001229543304,consensus,0.42028985507246375,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@H](COC)Oc1cc(C)cc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001229543303,consensus,0.42028985507246375,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@H](COc1cccc2c1C(=O)c1c(O)cccc1C2=O)OC,ZINC15 : ZINC001226383725,consensus,0.4153846153846154,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CCOC(=O)CCC(=O)Oc1cccc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC000005663330,consensus,0.4153846153846154,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CC[C@@H](COc1cccc2c1C(=O)c1c(O)cccc1C2=O)OC,ZINC15 : ZINC001226383728,consensus,0.4153846153846154,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,COC(=O)C[C@@H](C)Oc1cccc2c1C(=O)c1cccc(O)c1C2=O,ZINC15 : ZINC001229185696,consensus,0.4153846153846154,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,COC(=O)[C@@H](C)Oc1cc(C)cc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001229542848,consensus,0.4117647058823529,zinc15
[H][C@](O)(CC)C[C@@]([H])(O)C1=C(O)C2=C(C=C1CC(=O)OC)C(=O)C1=CC=CC(O)=C1C2=O,SIHNJMGWRHPFAZ-XHDPSFHLSA-N,CCOC(=O)[C@@H](CC)Oc1cccc2c1C(=O)c1c(O)cccc1C2=O,ZINC15 : ZINC001226380291,consensus,0.4090909090909091,zinc15
