query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COc1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,SNUPJWHWBGNZMD-UHFFFAOYSA-N,CN(C)c1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,ZINC15 : ZINC000020841122,consensus,0.7428571428571429,zinc15
COc1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,SNUPJWHWBGNZMD-UHFFFAOYSA-N,COC(=O)CN1C(=O)CN(c2nc(OC)nc(N(C)C)n2)C1=N,ZINC15 : ZINC000001871479,consensus,0.5294117647058824,zinc15
COc1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,SNUPJWHWBGNZMD-UHFFFAOYSA-N,COc1nc(N(C)C)nc(N2CC(=O)N(CC(=O)[O-])C2=N)n1,ZINC15 : ZINC000001897055,consensus,0.5294117647058824,zinc15
COc1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,SNUPJWHWBGNZMD-UHFFFAOYSA-N,COc1nc(N(C)C)nc(N2CCCCCC2)n1,ZINC15 : ZINC001163572916,consensus,0.5238095238095238,zinc15
COc1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,SNUPJWHWBGNZMD-UHFFFAOYSA-N,CCOC(=O)CN1C(=O)CN(c2nc(OC)nc(N(C)C)n2)C1=N,ZINC15 : ZINC000001880375,consensus,0.5,zinc15
COc1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,SNUPJWHWBGNZMD-UHFFFAOYSA-N,Cc1cc(C)nc(N2CC(=O)N=C2N)n1,ZINC15 : ZINC000005958147,consensus,0.4878048780487805,zinc15
COc1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,SNUPJWHWBGNZMD-UHFFFAOYSA-N,COc1nc(N(C)C)nc(N(C)C)n1,ZINC15 : 240849,consensus,0.4857142857142857,zinc15
COc1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,SNUPJWHWBGNZMD-UHFFFAOYSA-N,CN(C)c1nc(N(C)C)nc(N2CC(=O)[N-]C2=O)n1,ZINC15 : ZINC000000494256,consensus,0.46511627906976744,zinc15
COc1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,SNUPJWHWBGNZMD-UHFFFAOYSA-N,CC(C)Nc1nc(NC(C)C)nc(N2CC(=O)N=C2N)n1,ZINC15 : ZINC000005817409,consensus,0.4444444444444444,zinc15
COc1nc(N(C)C)nc(N2CC(=O)N=C2N)n1,SNUPJWHWBGNZMD-UHFFFAOYSA-N,CN(C)c1nc(N(C)C)nc(N2CC(=O)NC2=O)n1,ZINC15 : ZINC000000494256,consensus,0.4418604651162791,zinc15
