query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCS(=O)(=O)CCCCC,ENAMINE-REAL : Z4761222876,consensus,0.6190476190476191,enamine-real
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCCCCCS(=O)(=O)CCCCCCCCCC,ZINC15 : ZINC000100083985,consensus,0.6190476190476191,zinc15
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCCCCCCCS(=O)(=O)CCCCCCCCCCCC,ZINC15 : ZINC000100687272,consensus,0.6190476190476191,zinc15
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCS(=O)(=O)CCCCCC,ZINC15 : ZINC000020231719,consensus,0.6190476190476191,zinc15
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCCS(=O)(=O)CCCCC,ZINC15 : ZINC000137712895,consensus,0.6190476190476191,zinc15
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCCCS(=O)(=O)CCCCCC,ZINC15 : ZINC000002166283,consensus,0.6190476190476191,zinc15
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCCCS(=O)(=O)CCCCCCCC,ZINC15 : ZINC000059636862,consensus,0.6190476190476191,zinc15
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCCCCS(=O)(=O)CCCCCCCCC,ZINC15 : ZINC000100070433,consensus,0.6190476190476191,zinc15
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCCS(=O)(=O)CCS(=O)(=O)CC,ZINC15 : ZINC000812455011,consensus,0.6086956521739131,zinc15
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCS(C)(=O)=O,ZINC15 : 34240059,consensus,0.5909090909090909,zinc15
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCCCS(=O)(=O)CCCC,ZINC15 : ZINC000001595574,consensus,0.5909090909090909,zinc15
CCCCCCCCCCCCCCCCS(O)(=O)=O,SSILHZFTFWOUJR-UHFFFAOYSA-N,CCCCCCS(=O)(=O)CCCC,ENAMINE-REAL : Z4415137228,consensus,0.5909090909090909,enamine-real
