query_smiles,query_inchikey,smiles,identifier,search_type,score,database
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOC[P@@](=O)([O-])O,ZINC15 : ZINC000021297308,morgan,0.8181818181818182,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOC[P@](=O)([O-])O,ZINC15 : ZINC000021297308,morgan,0.8181818181818182,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOCP(=O)([O-])[O-],ZINC15 : ZINC000021297308,morgan,0.7727272727272727,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,COCCOCCn1cnc2c1ncnc2N,ZINC15 : ZINC000070482984,morgan,0.6666666666666666,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOCOP(=O)([O-])[O-],ZINC15 : ZINC000095931580,morgan,0.6666666666666666,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,CCOCCn1cnc2c1ncnc2N,ZINC15 : ZINC000082473419,morgan,0.6590909090909091,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,COCCn1cnc2c(N)ncnc21,ZINC15 : 9886206,morgan,0.6511627906976745,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,C#CCOCCn1cnc2c1ncnc2N,ZINC15 : ZINC000853725989,morgan,0.6170212765957447,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOCC(F)(F)F,ZINC15 : ZINC000096404515,morgan,0.6170212765957447,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOCC(F)F,ZINC15 : ZINC000664104136,morgan,0.6170212765957447,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOC[C@@H](O)CO,ZINC15 : ZINC000001591592,morgan,0.6122448979591837,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOC[C@H](O)CO,ZINC15 : ZINC000005594650,morgan,0.6122448979591837,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,CC(C)(C)C(=O)OCO[P@](=O)([O-])COCCn1cnc2c1ncnc2N,ZINC15 : ZINC000029544542,morgan,0.603448275862069,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOCC(F)(F)C(F)(F)F,ZINC15 : ZINC000567179489,morgan,0.5918367346938775,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,COCCCn1cnc2c1ncnc2N,ZINC15 : ZINC000082473413,morgan,0.5869565217391305,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,CCO[P@](=O)(COCCn1cnc2c1ncnc2N)OCOC(=O)C(C)(C)C,ZINC15 : ZINC000029548110,morgan,0.5833333333333334,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,CCO[P@@](=O)(COCCn1cnc2c1ncnc2N)OCOC(=O)C(C)(C)C,ZINC15 : ZINC000029548106,morgan,0.5833333333333334,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCO,ZINC15 : 36416,morgan,0.5813953488372093,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,CN(C)C(=O)OCCn1cnc2c1ncnc2N,ZINC15 : ZINC001261648589,morgan,0.58,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOC(F)F,ZINC15 : ZINC000853727848,morgan,0.574468085106383,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CO,ZINC15 : 731163,morgan,0.5714285714285714,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,COCCOCCOCCCn1cnc2c1ncnc2N,ZINC15 : ZINC000125481974,morgan,0.5714285714285714,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2CCOC(=O)C1CC1,ENAMINE-REAL : Z4459244313,morgan,0.5686274509803921,enamine-real
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOCC(F)(F)C(F)F,ZINC15 : ZINC000579733042,morgan,0.5686274509803921,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCOc1ccccc1,ZINC15 : ZINC000000279540,morgan,0.5625,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,CCOCCCn1cnc2c1ncnc2N,ZINC15 : ZINC000083552987,morgan,0.5625,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCCC(=O)[O-],ZINC15 : ZINC000005927734,morgan,0.5625,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,CC(=O)OCCCn1cnc2c1ncnc2N,ZINC15 : ZINC000002491973,morgan,0.56,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,COCCS(=O)(=O)CCCn1cnc2c1ncnc2N,ZINC15 : ZINC000312638504,morgan,0.5576923076923077,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCCO,ZINC15 : 5391161,morgan,0.5555555555555556,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCC(=O)[O-],ZINC15 : ZINC000004822263,morgan,0.5531914893617021,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncnc2c1ncn2CCCCC(=O)[O-],ZINC15 : ZINC000001701755,morgan,0.5510204081632653,zinc15
NC1=C2N=CN(CCOCP(O)(O)=O)C2=NC=N1,SUPKOOSCJHTBAH-UHFFFAOYSA-N,Nc1ncccc1Nc1ncnc2c1ncn2CCOC[P@@](=O)([O-])O,ZINC15 : ZINC001212391061,morgan,0.55,zinc15
