query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1,SVFLQOLSPWURCD-CXPJILFNSA-N,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NCc1ccccn1,ZINC15 : ZINC000101650647,consensus,0.7358490566037735,zinc15
CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1,SVFLQOLSPWURCD-CXPJILFNSA-N,C[C@H](OCc1ccccc1)C(=O)NCc1ccccn1,ZINC15 : ZINC000040088779,consensus,0.6862745098039216,zinc15
CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1,SVFLQOLSPWURCD-CXPJILFNSA-N,C[C@@H](OCc1ccccc1)C(=O)NCc1ccccn1,ZINC15 : ZINC000040088780,consensus,0.6862745098039216,zinc15
CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1,SVFLQOLSPWURCD-CXPJILFNSA-N,CC(C)[C@@H](NC(=O)Cc1ccccc1)C(=O)NCc1ccccn1,ZINC15 : ZINC000012552356,consensus,0.6792452830188679,zinc15
CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1,SVFLQOLSPWURCD-CXPJILFNSA-N,CC(C)[C@@H](NC(=O)NCc1ccccc1)C(=O)NCc1ccccn1,ZINC15 : ZINC000029517144,consensus,0.6792452830188679,zinc15
CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1,SVFLQOLSPWURCD-CXPJILFNSA-N,CC(C)C(NC(=O)NCC1=CC=CC=C1)C(=O)NCC1=CC=CC=N1,ENAMINE-REAL : Z287735878,consensus,0.6792452830188679,enamine-real
CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1,SVFLQOLSPWURCD-CXPJILFNSA-N,CC(C)[C@H](NC(=O)Cc1ccccc1)C(=O)NCc1ccccn1,ZINC15 : ZINC000008073134,consensus,0.6792452830188679,zinc15
CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1,SVFLQOLSPWURCD-CXPJILFNSA-N,CC(C)[C@H](NC(=O)NCc1ccccc1)C(=O)NCc1ccccn1,ZINC15 : ZINC000029517145,consensus,0.6792452830188679,zinc15
CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1,SVFLQOLSPWURCD-CXPJILFNSA-N,CC(C)[C@@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccccn1,ZINC15 : ZINC000036585592,consensus,0.660377358490566,zinc15
CC(C)[C@H](NC(=O)[C@H](OCC1=CC=CC=C1)[C@H](O)[C@@H](O)[C@@H](OCC1=CC=CC=C1)C(=O)N[C@@H](C(C)C)C(=O)NCC1=NC=CC=C1)C(=O)NCC1=CC=CC=N1,SVFLQOLSPWURCD-CXPJILFNSA-N,CC(C)[C@H](NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccccn1,ZINC15 : ZINC000013733989,consensus,0.660377358490566,zinc15
