query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CS)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(N)=O,ZINC15 : ZINC001144415678,consensus,0.7045454545454546,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CS)C(N)=O,ZINC15 : 34380691,consensus,0.6875,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,COC(=O)CNC(=O)CNC(=O)[C@H](CS)NC(C)=O,ZINC15 : ZINC001144427049,consensus,0.625,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,COC(=O)[C@H](CS)NC(=O)CNC(=O)[C@H](CO)NC(C)=O,ZINC15 : ZINC001186604143,consensus,0.6190476190476191,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CS)C(=O)NCC(=O)NCC(F)(F)F,ZINC15 : ZINC000393755028,consensus,0.6097560975609756,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CCCC[C@H](NC(=O)CNC(=O)[C@H](CO)NC(C)=O)C(N)=O,ZINC15 : ZINC001186607085,consensus,0.5909090909090909,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CS)C(=O)NCC(=O)C(C)(C)C,ZINC15 : ZINC001144417262,consensus,0.5897435897435898,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CS)C(=O)NCC(=O)NC1CCCC1,ZINC15 : ZINC001144417225,consensus,0.5813953488372093,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CSCC[C@H](NC(=O)CNC(=O)[C@H](CO)NC(C)=O)C(N)=O,ZINC15 : ZINC001186603381,consensus,0.5777777777777777,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,COC(=O)CC[C@H](NC(=O)CNC(=O)[C@H](CO)NC(C)=O)C(N)=O,ZINC15 : ZINC001186606886,consensus,0.5652173913043478,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CS)C(=O)NCC(C)(C)S,ZINC15 : ZINC001144426683,consensus,0.5641025641025641,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CS)C(=O)NCC(=O)CCC(=O)[O-],ZINC15 : ZINC001144426866,consensus,0.5476190476190477,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CO)C(=O)NCC(=O)NCC(N)=O,ZINC15 : ZINC001186587563,consensus,0.5365853658536586,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CC(=O)NCC(=O)NC(C)C)C(N)=O,ZINC15 : ZINC001361873042,consensus,0.5365853658536586,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@H](C#N)C(N)=O,ZINC15 : ZINC001186602640,consensus,0.5333333333333333,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C#N)C(N)=O,ZINC15 : ZINC001186602639,consensus,0.5333333333333333,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CS)C(=O)NCC(=O)NCc1ccc(F)cc1,ZINC15 : ZINC001144426810,consensus,0.5319148936170213,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)NC[C@H](C)CNC(=O)[C@H](CS)NC(C)=O,ZINC15 : ZINC001144427169,consensus,0.525,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)NC[C@@H](C)CNC(=O)[C@H](CS)NC(C)=O,ZINC15 : ZINC001144427168,consensus,0.525,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CCSC)NC(C)=O)C(N)=O,ZINC15 : ZINC001144866079,consensus,0.52,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CS)C(=O)NCS(=O)(=O)[O-],ZINC15 : ZINC001144417300,consensus,0.5121951219512195,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)NC(C)C,ZINC15 : ZINC000182958515,consensus,0.5121951219512195,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@H](CC(C)C)C(=O)NCC(=O)NC(C)C,ZINC15 : ZINC000341077433,consensus,0.5121951219512195,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CO)C(=O)NCC(=O)NCCCS,ZINC15 : ZINC001186602869,consensus,0.5,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@H](CC(F)(F)F)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(N)=O,ZINC15 : ZINC001181344759,consensus,0.5,zinc15
CC(=O)N[C@H](CS)C(=O)NCC(=O)N[C@H](CS)C(N)=O,SWBHRTWJNUKJGX-RNFRBKRXSA-N,CC(=O)N[C@@H](CC(F)(F)F)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(N)=O,ZINC15 : ZINC001181344778,consensus,0.5,zinc15
