query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,SXRYVFRVDCDPKH-JTQLQIEISA-N,CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)O,ENAMINE-REAL : Z3234877513,consensus,0.7,enamine-real
CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,SXRYVFRVDCDPKH-JTQLQIEISA-N,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)NCC(=O)O,ENAMINE-REAL : Z5261232790,consensus,0.6744186046511628,enamine-real
CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,SXRYVFRVDCDPKH-JTQLQIEISA-N,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCC(=O)O,ENAMINE-REAL : Z3247582450,consensus,0.6666666666666666,enamine-real
CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,SXRYVFRVDCDPKH-JTQLQIEISA-N,CC(=O)N[C@H](Cc1cc(I)c(O)c(I)c1)C(=O)[O-],ZINC15 : ZINC000004289580,consensus,0.6428571428571429,zinc15
CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,SXRYVFRVDCDPKH-JTQLQIEISA-N,CC(=O)N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)[O-],ZINC15 : ZINC000004289579,consensus,0.6428571428571429,zinc15
CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,SXRYVFRVDCDPKH-JTQLQIEISA-N,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)[O-],ZINC15 : ZINC000004096405,consensus,0.6122448979591837,zinc15
CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,SXRYVFRVDCDPKH-JTQLQIEISA-N,CC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1cc(I)c(O)c(I)c1)C(=O)[O-],ZINC15 : ZINC000150470874,consensus,0.6122448979591837,zinc15
CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,SXRYVFRVDCDPKH-JTQLQIEISA-N,CC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)[O-],ZINC15 : ZINC000150470864,consensus,0.6122448979591837,zinc15
CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,SXRYVFRVDCDPKH-JTQLQIEISA-N,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1cc(I)c(O)c(I)c1)C(=O)[O-],ZINC15 : ZINC000150470869,consensus,0.6122448979591837,zinc15
CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O,SXRYVFRVDCDPKH-JTQLQIEISA-N,CCOC(=O)[C@H](Cc1cc(I)c(O)c(I)c1)NC(C)=O,ZINC15 : ZINC000005757985,consensus,0.6,zinc15
