query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,C[C@@H]1CC[C@@H]2[C@H](C)[C@H](OC(=O)CCC(=O)[O-])O[C@H]3O[C@@]4(C)CC[C@H]1[C@@]23OO4,ZINC15 : ZINC000064608163,consensus,0.6481481481481481,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,CCO[C@@H]1O[C@@H]2O[C@@]3(C)CC[C@@H]4[C@H](C)CC[C@@H]([C@@H]1C)[C@@]24O3,ZINC15 : ZINC000306146957,consensus,0.6,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32O4,ZINC15 : ZINC000022055629,consensus,0.4074074074074074,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](O)O[C@@H]3O[C@]4(C)O[C@@]32[C@H]1C[C@H]4O,ZINC15 : ZINC000077293623,consensus,0.35714285714285715,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@]4(C)O[C@@]32[C@H]1C[C@H]4O,ZINC15 : ZINC000077293625,consensus,0.35714285714285715,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,C[C@H]1C(=O)O[C@]23[C@H]1CC[C@@H](C)[C@@H]2CC[C@@](C)(O)[C@H]3O,ZINC15 : ZINC000096023860,consensus,0.32142857142857145,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,CC(=O)O[C@H]1O[C@@H](O)[C@H](C)[C@@H]2CC[C@@H](C)[C@@H]3CCO[C@@]312,ZINC15 : ZINC000077291672,consensus,0.3050847457627119,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,CC(=O)O[C@H]1O[C@H](O)[C@H](C)[C@@H]2CC[C@@H](C)[C@@H]3CCO[C@@]312,ZINC15 : ZINC000077291676,consensus,0.3050847457627119,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,C=C1C(=O)O[C@]23[C@@H]4O[C@]4(C)CC[C@H]2[C@H](C)CC[C@H]13,ZINC15 : ZINC000002048935,consensus,0.2833333333333333,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,C=C1C(=O)O[C@@]23[C@@H]4O[C@]4(C)CC[C@H]2[C@@H](C)CC[C@H]13,ZINC15 : ZINC000254449649,consensus,0.2833333333333333,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,C=C1C(=O)O[C@]23[C@@H]4O[C@]4(C)CC[C@H]2[C@H](C)CC[C@@H]13,ZINC15 : ZINC000003982481,consensus,0.2833333333333333,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,C=C1C(=O)O[C@@]23[C@@H]4O[C@]4(C)CC[C@H]2[C@H](C)CC[C@H]13,ZINC15 : ZINC000015414611,consensus,0.2833333333333333,zinc15
[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,SXYIRMFQILZOAM-HVNFFKDJSA-N,C=C1C(=O)O[C@@]23[C@@H]4O[C@]4(C)CC[C@H]2[C@H](C)CC[C@@H]13,ZINC15 : ZINC000015414614,consensus,0.2833333333333333,zinc15
