query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)OC[C@@H](CC)CCCC,ZINC15 : ZINC000003860432,consensus,0.7441860465116279,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)OC[C@H](CC)CCCC,ZINC15 : ZINC000003860434,consensus,0.7441860465116279,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)OC[C@@H](CC)CCCC,ZINC15 : ZINC000003860433,consensus,0.7441860465116279,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1C(=O)OC[C@@H](CC)CCCC,ZINC15 : ZINC000003875590,consensus,0.6808510638297872,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCCOC(=O)c1ccccc1C(=O)OC[C@H](CC)CCCC,ZINC15 : ZINC000003875589,consensus,0.6808510638297872,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)[O-],ZINC15 : ZINC000001529634,consensus,0.6666666666666666,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)[O-],ZINC15 : ZINC000001529633,consensus,0.6666666666666666,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCCCCOC(=O)c1ccccc1C(=O)OC[C@H](CC)CCCC,ZINC15 : ZINC000005820320,consensus,0.6530612244897959,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCCCCOC(=O)c1ccccc1C(=O)OC[C@@H](CC)CCCC,ZINC15 : ZINC000004683295,consensus,0.6530612244897959,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1,ZINC15 : ZINC000002046489,consensus,0.6521739130434783,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1,ZINC15 : ZINC000001562393,consensus,0.6521739130434783,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1O,ZINC15 : ZINC000001677818,consensus,0.6458333333333334,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1O,ZINC15 : ZINC000002041028,consensus,0.6458333333333334,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)N(C)C,ZINC15 : ZINC001190818028,consensus,0.64,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)N(C)C,ZINC15 : ZINC001190818023,consensus,0.64,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccc(C(=O)OC[C@@H](CC)CCCC)c(C(=O)OC[C@@H](CC)CCCC)c1,ZINC15 : ZINC000004284475,consensus,0.6326530612244898,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1cc(C(=O)OC[C@@H](CC)CCCC)ccc1C(=O)OC[C@@H](CC)CCCC,ZINC15 : ZINC000004284477,consensus,0.6326530612244898,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)N(C)CC,ZINC15 : ZINC001190818033,consensus,0.6153846153846154,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)N(C)CC,ZINC15 : ZINC001190818035,consensus,0.6153846153846154,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)NC#N,ZINC15 : ZINC001190825862,consensus,0.5925925925925926,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)NC#N,ZINC15 : ZINC001190825863,consensus,0.5925925925925926,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCCC[C@H](CCC)COC(=O)c1ccccc1C(=O)OC[C@@H](CCC)CCCCC,ZINC15 : ZINC000004683287,consensus,0.5833333333333334,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCCC[C@@H](CCC)COC(=O)c1ccccc1C(=O)OC[C@@H](CCC)CCCCC,ZINC15 : ZINC000017147808,consensus,0.5833333333333334,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCCC[C@@H](CCC)COC(=O)c1ccccc1C(=O)OC[C@H](CCC)CCCCC,ZINC15 : ZINC000004683288,consensus,0.5833333333333334,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)N(C)CCO,ZINC15 : ZINC001161115142,consensus,0.5818181818181818,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)N(C)CC(C)=O,ZINC15 : ZINC001190825901,consensus,0.5818181818181818,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)N(C)CC(C)=O,ZINC15 : ZINC001190825900,consensus,0.5818181818181818,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)N(C)CCO,ZINC15 : ZINC001161115141,consensus,0.5818181818181818,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC(O)COC(=O)C1=CC=CC=C1C(=O)C1=CC=CC=C1,ENAMINE-REAL : Z3641671432,consensus,0.58,enamine-real
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1OC(=O)[C@H](C)O,ZINC15 : ZINC001229308966,consensus,0.5740740740740741,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1OC(=O)[C@H](C)O,ZINC15 : ZINC001229308968,consensus,0.5740740740740741,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccccc1C(=O)N1C[C@@H]2C[C@@H]2C1,ZINC15 : ZINC001190827083,consensus,0.5714285714285714,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccc(O)cc1,ZINC15 : ZINC000004655371,consensus,0.5714285714285714,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)N1C[C@@H]2C[C@@H]2C1,ZINC15 : ZINC001190827082,consensus,0.5714285714285714,zinc15
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(C=C1)C1=CC=CC=C1,TWAOKHHZKFMFMD-UHFFFAOYSA-N,CCCC[C@@H](CC)COC(=O)c1ccc(O)cc1,ZINC15 : ZINC000002566002,consensus,0.5714285714285714,zinc15
