query_smiles,query_inchikey,smiles,identifier,search_type,score,database
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000003871839,consensus,0.8148148148148148,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@H](C=O)NC(=O)[C@@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000003871837,consensus,0.8148148148148148,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000003871838,consensus,0.8148148148148148,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@@H](C=O)NC(=O)[C@@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000003871836,consensus,0.8148148148148148,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@H](C=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000083433905,consensus,0.8,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@H](C=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000109565751,consensus,0.8,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000015722248,consensus,0.8,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000109565748,consensus,0.8,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000044682040,consensus,0.8,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCC[C@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000065356718,consensus,0.7017543859649122,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000014806791,consensus,0.7017543859649122,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CNC(=O)[C@H](CC(C)C)NC(=O)OCc1ccc(Br)cc1,ZINC15 : ZINC000859081784,consensus,0.6481481481481481,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CNC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1,ENAMINE-REAL : Z2703095941,consensus,0.6481481481481481,enamine-real
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CNC(=O)C(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1,ENAMINE-REAL : PV-007802363251,consensus,0.6481481481481481,enamine-real
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CC(C)C[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](C=O)CC(C)C,ZINC15 : ZINC000028338292,consensus,0.631578947368421,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CC(C)C[C@@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CC(C)C,ZINC15 : ZINC000028338304,consensus,0.631578947368421,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CC(C)C[C@H](C=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000028338288,consensus,0.631578947368421,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CC(C)C[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)CC(C)C,ZINC15 : ZINC000028639371,consensus,0.631578947368421,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000013476439,consensus,0.631578947368421,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CC(C)C[C@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000028338299,consensus,0.631578947368421,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CC(C)C[C@H](C=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000027618925,consensus,0.631578947368421,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CC(C)C[C@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,ZINC15 : ZINC000049069629,consensus,0.631578947368421,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)Cc1ccccc1,ZINC15 : ZINC000026737461,consensus,0.6101694915254238,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@@H](NC(=O)OCc1ccc(Br)cc1)C(=O)[O-],ZINC15 : ZINC001595635708,consensus,0.6071428571428571,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CCCC[C@H](NC(=O)OCc1ccc(Br)cc1)C(=O)[O-],ZINC15 : ZINC001595635709,consensus,0.6071428571428571,zinc15
[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O,UEDKSAKLZBMNMA-ROUUACIJSA-N,CC(C)C[C@@H](NC(=O)OCc1ccc(Br)cc1)C(=O)[O-],ZINC15 : ZINC000220838387,consensus,0.6,zinc15
