query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(O)C1=CC(F)=C(F)C=C1C(=O)NC1=CC(OC(F)(F)F)=CC=C1,ENAMINE-REAL : PV-004636360265,consensus,0.45161290322580644,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(Nc1c(F)cc(F)cc1F)c1cccc(OC(F)(F)F)c1,ZINC15 : ZINC000156330283,consensus,0.4426229508196721,zinc15
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,CC(=O)C1=CC(F)=C(NC(=O)C2=CC=CC(OC(F)(F)F)=C2)C(F)=C1F,ENAMINE-REAL : Z1689559915,consensus,0.4393939393939394,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(NC1=CC=CC(OC(F)(F)F)=C1)C1=CC=C(F)C(F)=C1F,ENAMINE-REAL : Z1348347147,consensus,0.43548387096774194,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(NC1=CC=CC(OC(F)(F)F)=C1)C1=C(F)C(F)=CC=C1,ENAMINE-REAL : Z1021959454,consensus,0.43548387096774194,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(O)C1=C(C(=O)NC2=CC(OC(F)(F)F)=CC=C2)OC=C1,ENAMINE-REAL : PV-003886040251,consensus,0.4307692307692308,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(O)C1=CC=C(C(=O)NC2=CC=CC(OC(F)(F)F)=C2)C(F)=C1,ENAMINE-REAL : Z1728489977,consensus,0.4307692307692308,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(NC1=CC=CC(OC(F)(F)F)=C1)C1=C(I)C=C(F)C(F)=C1,ENAMINE-REAL : Z1419185152,consensus,0.421875,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,NC(=O)C1=CC=CC(C(=O)NC2=CC(OC(F)(F)F)=CC=C2)=C1F,ENAMINE-REAL : PV-003568022971,consensus,0.421875,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,CC(=O)C1=CC(F)=C(NC(=O)C2=CC=CC(OC(F)(F)F)=C2)C(F)=C1,ENAMINE-REAL : Z1608565120,consensus,0.421875,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(NC1=CC=CC(OC(F)(F)F)=C1)C1=C(F)C=C(F)C(F)=C1,ENAMINE-REAL : Z1481302282,consensus,0.41935483870967744,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(NC1=CC=CC(OC(F)(F)F)=C1)C1=C(F)C(F)=CC(F)=C1F,ENAMINE-REAL : Z1334902644,consensus,0.41935483870967744,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(NC1=CC=CC(OC(F)(F)F)=C1)C1=CC(F)=C(F)C(F)=C1,ENAMINE-REAL : Z1101598450,consensus,0.41935483870967744,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(NC1=CC=CC(OC(F)(F)F)=C1)C1=C(F)C(O)=C(F)C(F)=C1,ENAMINE-REAL : Z787563060,consensus,0.4153846153846154,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(NC1=CC=CC(OC(F)(F)F)=C1)C1=CC(F)=CC=C1F,ENAMINE-REAL : Z284034428,consensus,0.4126984126984127,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(Nc1cccc(OC(F)(F)F)c1)c1c[nH]nc1-c1ccccc1,ZINC15 : ZINC000031034814,consensus,0.4117647058823529,zinc15
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(NC1=CC=CC(OC(F)(F)F)=C1)C1=CC=C(F)C=C1,ENAMINE-REAL : Z284033284,consensus,0.4098360655737705,enamine-real
OC(=O)C1=C(C=CC1)C(=O)NC1=C(F)C(F)=C(C(F)=C1F)C1=CC(OC(F)(F)F)=CC=C1,ULMUPVXFUDHRGH-UHFFFAOYSA-N,O=C(NC1=CC=CC(OC(F)(F)F)=C1)C1=C(F)C=CC=C1F,ENAMINE-REAL : Z284853424,consensus,0.4098360655737705,enamine-real
