query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,O=c1c2ccccc2nc(CSc2ncnc3[nH]cnc32)n1-c1ccccc1Cl,ZINC15 : ZINC000018275801,consensus,0.6911764705882353,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COC1=CC=CC(Cl)=C1CSC1=NC=NC2=C1N=CN2,ENAMINE-REAL : Z2067115464,consensus,0.5909090909090909,enamine-real
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,O=c1c2ccccc2nc(CSc2ncnc3[nH]cnc32)n1-c1ccc(Cl)cc1,ZINC15 : ZINC000012360122,consensus,0.5675675675675675,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,O=c1c2ccccc2nc(CSc2ncnc3[nH]cnc32)n1-c1ccc(Cl)c(Cl)c1,ZINC15 : ZINC000015988049,consensus,0.5657894736842105,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,O=c1c2ccccc2nc(CSc2ncnc3[nH]cnc32)n1-c1ccccc1,ZINC15 : ZINC000018208822,consensus,0.5633802816901409,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COc1ccc(-n2c(CSc3ncnc4[nH]cnc43)nc3ccccc32)cc1,ZINC15 : ZINC000509982098,consensus,0.5540540540540541,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,Cn1c(CSc2ncnc3[nH]cnc32)nc2ccccc2c1=O,ZINC15 : ZINC000114094757,consensus,0.5492957746478874,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,O=c1c2ccccc2nc(CSc2ncnc3[nH]cnc32)n1-c1cccc(C(F)(F)F)c1,ZINC15 : ZINC000013108351,consensus,0.5061728395061729,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COC1=CC=CC(Cl)=C1SC1=NC=NC2=C1N=CN2,ENAMINE-REAL : PV-003131714652,consensus,0.4927536231884058,enamine-real
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,Cn1c2ccccc2nc(CSc2ncnc3[nH]cnc32)c1=O,ZINC15 : ZINC000344864683,consensus,0.4864864864864865,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COc1ccccc1-n1c(CSc2ccccn2)nc2ccccc2c1=O,ZINC15 : ZINC000000784042,consensus,0.4666666666666667,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COc1ccccc1-c1nc(CSc2ncnc3[nH]cnc32)c(C)o1,ZINC15 : ZINC000033328712,consensus,0.46153846153846156,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,Nc1ncnc2[nH]c(SCc3nc4ccccc4c(=O)n3-c3ccccc3Cl)nc21,ZINC15 : ZINC000016525222,consensus,0.45,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COc1cccc(-c2nc(CSc3ncnc4[nH]cnc43)c(C)o2)c1OC,ZINC15 : ZINC000033328708,consensus,0.4444444444444444,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COc1ccccc1CSc1nc(Cl)nc2[nH]cnc21,ZINC15 : ZINC001612004720,consensus,0.4383561643835616,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COc1ccccc1-n1c(Sc2ncnc3[nH]ccc32)nc2ccccc2c1=O,ZINC15 : ZINC000524023114,consensus,0.4375,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,Cn1c(=O)c(CSc2ncnc3[nH]cnc32)nc2cc(F)ccc21,ZINC15 : ZINC000118179501,consensus,0.425,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,Nc1ncnc2nc(SCc3nc4ccccc4c(=O)n3-c3ccccc3Cl)[nH]c21,ZINC15 : ZINC000016525222,consensus,0.42168674698795183,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COc1ccccc1-n1c(=O)c2ccccc2nc1SCc1c(F)cccc1Cl,ZINC15 : ZINC000067259553,consensus,0.41975308641975306,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,Cc1cccc(C)c1-n1nnnc1CSc1ncnc2[nH]cnc21,ZINC15 : ZINC000073966425,consensus,0.4155844155844156,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,Cc1cccc2c(=O)[nH]c(CSc3ncnc4[nH]cnc43)nc12,ZINC15 : ZINC000073966523,consensus,0.41025641025641024,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,Nc1ncnc2[nH]c(SCc3nc4ccccc4c(=O)n3-c3c(Cl)cccc3Cl)nc21,ZINC15 : ZINC000001505456,consensus,0.40963855421686746,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,O=c1c2ccccc2nc(CSc2ncnc3ccccc32)n1-c1ccccc1F,ZINC15 : ZINC000000814781,consensus,0.40789473684210525,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,O=c1c2ccccc2nc(CSc2ccccn2)n1-c1ccccc1Cl,ZINC15 : ZINC000000828946,consensus,0.40789473684210525,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,O=c1c2ccccc2nc(CSc2nc3ccccc3c3c2CCCC3)n1-c1ccccc1Cl,ZINC15 : ZINC000012360268,consensus,0.4050632911392405,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COC1=CC=CC=C1N1C(SCC2=CNC=N2)=NC2=CC(Cl)=CC=C2C1=O,ENAMINE-REAL : Z1737967053,consensus,0.4,enamine-real
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,COc1ccccc1-n1c(CSc2nnc(-c3cc(OC)c(OC)c(OC)c3)o2)nc2ccccc2c1=O,ZINC15 : ZINC000059620761,consensus,0.3953488372093023,zinc15
COC1=CC=CC=C1N1C(=O)C2=C(Cl)C=CC=C2N=C1CSC1=C2N=CNC2=NC=N1,UMMYTDJYDSTEMB-UHFFFAOYSA-N,Cn1c2nnc(CSc3ncnc4[nH]cnc43)n2c2ccsc2c1=O,ZINC15 : ZINC000114094609,consensus,0.39285714285714285,zinc15
