query_smiles,query_inchikey,smiles,identifier,search_type,score,database
C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12,UNVOAAWEEGAXTN-UHFFFAOYSA-N,C1=CC=C2C(NCCCC3=NC4=C(CCCC4)S3)=CC=NC2=C1,ENAMINE-REAL : Z1173499059,consensus,0.5689655172413793,enamine-real
C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12,UNVOAAWEEGAXTN-UHFFFAOYSA-N,C1=CC=C2C(NCCCN3C=NC4=C3CCCC4)=CC=NC2=C1,ENAMINE-REAL : PV-005263248400,consensus,0.5517241379310345,enamine-real
C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12,UNVOAAWEEGAXTN-UHFFFAOYSA-N,C1=CC=C(NCCCCNC2=CC=NC3=CC=CC=C23)N=C1,ENAMINE-REAL : Z1173481767,consensus,0.5192307692307693,enamine-real
C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12,UNVOAAWEEGAXTN-UHFFFAOYSA-N,C1=CC=C(NCCCNC2=CC=NC3=C2CCCC3)C=C1,ENAMINE-REAL : PV-005311448968,consensus,0.5,enamine-real
C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12,UNVOAAWEEGAXTN-UHFFFAOYSA-N,C1=CC=C2C(NCCCNC3=CC=NC=C3)=CC=NC2=C1,ENAMINE-REAL : PV-002502011239,consensus,0.49056603773584906,enamine-real
C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12,UNVOAAWEEGAXTN-UHFFFAOYSA-N,C1=CC=C2C(NCCCCC3=CNC=N3)=CC=NC2=C1,ENAMINE-REAL : Z5224714244,consensus,0.47368421052631576,enamine-real
C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12,UNVOAAWEEGAXTN-UHFFFAOYSA-N,C1=CC=C2C(NCCCCC3=NC=CN3)=CC=NC2=C1,ENAMINE-REAL : Z3830445499,consensus,0.47368421052631576,enamine-real
C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12,UNVOAAWEEGAXTN-UHFFFAOYSA-N,C1=CC=C(NCCCNC2=CC=NC3=C2CCC3)C=C1,ENAMINE-REAL : PV-005491271521,consensus,0.4727272727272727,enamine-real
C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12,UNVOAAWEEGAXTN-UHFFFAOYSA-N,C1=CC=C2C(NCCCC3=CNC=N3)=CC=NC2=C1,ENAMINE-REAL : PV-006175380864,consensus,0.45614035087719296,enamine-real
C(CCCCNC1=C2CCCCC2=NC2=CC=CC=C12)CCCNC1=CC=NC2=CC=CC=C12,UNVOAAWEEGAXTN-UHFFFAOYSA-N,C1=CN=C(NCCCNC2=CC=NC3=C2CCCC3)N=C1,ENAMINE-REAL : Z3018842764,consensus,0.45454545454545453,enamine-real
