query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2cccc3nc(N)nc(N)c32)cc1,ZINC15 : ZINC000000172633,consensus,1.0,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2nc(N)nc(N)n2)cc1,ZINC15 : ZINC001458063977,consensus,0.5,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Nc1nc(N)c2c(I)cccc2n1,ZINC15 : ZINC000012959406,consensus,0.48717948717948717,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,COc1cccc2nc(N)nc(N)c12,ZINC15 : 2567180,consensus,0.47619047619047616,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Nc1nc(N)c2c(Cl)cccc2n1,ZINC15 : 344343,consensus,0.475,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc2c(ccc3nc(N)nc(N)c32)c1,ZINC15 : ZINC000001722910,consensus,0.45454545454545453,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2nc3ccccc3nc2Sc2ccc(C)cc2)cc1,ZINC15 : ZINC000005746529,consensus,0.45,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,CCOc1cccc2nc(N)nc(N)c21,ZINC15 : ZINC000001023827,consensus,0.4444444444444444,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,CC(C)(C)Oc1cccc2nc(N)nc(N)c21,ZINC15 : ZINC000084729336,consensus,0.4444444444444444,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2cnc(N)nc2-c2ccc(Cl)cc2)cc1,ZINC15 : ZINC000001387375,consensus,0.42,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2ccc(C)cc2N)cc1,ZINC15 : ZINC000036964626,consensus,0.4146341463414634,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2nc3ccccc3nc2Cl)cc1,ZINC15 : ZINC000009165815,consensus,0.4090909090909091,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1nc(N)c2c(C)cccc2n1,ZINC15 : 59072668,consensus,0.40476190476190477,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc2nc(N)nc(N)c2c1,ZINC15 : 12343992,consensus,0.40476190476190477,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc2c(N)nc(N)nc2c1,ZINC15 : 5892584,consensus,0.40476190476190477,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2cccc3c2C(=O)c2c(Sc4ccc(C)cc4)cccc2C3=O)cc1,ZINC15 : ZINC000005124929,consensus,0.4,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Nc1nc(N)c2c(cccc2Oc2ccc(F)cc2)n1,ZINC15 : ZINC000000172625,consensus,0.3958333333333333,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1cccc2nc(Cl)nc(N)c12,ZINC15 : 238459219,consensus,0.38636363636363635,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2cc3ccccc3nc2-c2ccc(Cl)cc2)cc1,ZINC15 : ZINC000004050719,consensus,0.38461538461538464,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2cc(C)c3ccccc3n2)cc1,ZINC15 : ZINC000001389619,consensus,0.3829787234042553,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,CC1=CC=C(SC2=NC(N)=NC3=C2N=CN3)C=C1,ENAMINE-REAL : Z3235014813,consensus,0.38,enamine-real
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,CN(C)c1ccc(Sc2ccc3nc(N)nc(N)c3c2)cc1,ZINC15 : ZINC000001568037,consensus,0.38,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2nc(N)nc3nc[nH]c32)cc1,ZINC15 : ZINC000071289278,consensus,0.38,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,COc1ccc2nc(C)cc(Sc3ccc(C)cc3)c2c1,ZINC15 : ZINC000001591904,consensus,0.38,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(SCc2nc(N)c3ccccc3n2)cc1,ZINC15 : ZINC000018269529,consensus,0.38,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(-c2ccnc3nc(N)nc(N)c32)cc1,ZINC15 : ZINC000013637581,consensus,0.375,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Nc1nc(N)c2cc(Sc3ccc4ccccc4c3)ccc2n1,ZINC15 : ZINC000001568017,consensus,0.375,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1cc2c(ccc3nc(N)nc(N)c23)[nH]1,ZINC15 : ZINC000003850499,consensus,0.375,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Nc1nc(N)c2cc(Sc3ccc(Cl)cc3)ccc2n1,ZINC15 : ZINC000013207519,consensus,0.375,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Cc2c(N)nc(N)nc2N)cc1,ZINC15 : ZINC000038868129,consensus,0.37209302325581395,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,Cc1ccc(Sc2nc3ccccc3cc2-c2ccc(C)cc2)cc1,ZINC15 : ZINC000003049425,consensus,0.3673469387755102,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,CSc1nc2ccccc2c(Sc2ccc(C)cc2)n1,ZINC15 : ZINC000001392716,consensus,0.3673469387755102,zinc15
CC1=CC=C(SC2=CC=CC3=C2C(N)=NC(N)=N3)C=C1,UOJFGEAPSYQDIP-UHFFFAOYSA-N,CC1=CC=C(SC2=NC=NC3=CC=CC=C23)C=C1,ENAMINE-REAL : Z62455185,consensus,0.3617021276595745,enamine-real
