query_smiles,query_inchikey,smiles,identifier,search_type,score,database
CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,C[NH+](C)CCN1C(=O)c2cccc3cc(N)cc(c32)C1=O,ZINC15 : ZINC000004214836,consensus,0.6888888888888889,zinc15
CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,C[NH2+]CCN1C(=O)c2cccc3cc(N)cc(c32)C1=O,ZINC15 : ZINC000044136166,consensus,0.6888888888888889,zinc15
CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,CC[NH+](CC)CCN1C(=O)c2cccc3cc(N)cc(c32)C1=O,ZINC15 : ZINC000003954552,consensus,0.6595744680851063,zinc15
CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,COCCCN1C(=O)c2cccc3cc(N)cc(c32)C1=O,ZINC15 : ZINC000004725250,consensus,0.6595744680851063,zinc15
CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,C[N+](C)([O-])CCN1C(=O)c2cccc3cc(N)cc(c32)C1=O,ZINC15 : ZINC000028818003,consensus,0.6595744680851063,zinc15
CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,CN(CCN1C(=O)c2cccc3cccc(c32)C1=O)CCN1C(=O)c2cccc3cccc(c32)C1=O,ZINC15 : ZINC000031961670,consensus,0.6190476190476191,zinc15
CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,COC(=O)CN1C(=O)c2cccc3cc(N)cc(c32)C1=O,ZINC15 : ZINC000005759625,consensus,0.5918367346938775,zinc15
CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,CCCN1C(=O)c2cccc3cccc(c32)C1=O,ZINC15 : ZINC000004952798,consensus,0.5116279069767442,zinc15
CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,[NH3+]CCN1C(=O)c2cccc3cccc(c32)C1=O,ZINC15 : ZINC000029395077,consensus,0.5116279069767442,zinc15
CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23,UPALIKSFLSVKIS-UHFFFAOYSA-N,CCCCN1C(=O)c2cccc3cc(Br)cc(c32)C1=O,ZINC15 : ZINC000004891193,consensus,0.5,zinc15
