query_smiles,query_inchikey,smiles,identifier,search_type,score,database
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1,ZINC15 : ZINC000000598089,consensus,1.0,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccc(OC)cc2)cc1,ZINC15 : ZINC000026567631,consensus,0.8863636363636364,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COC1=CC=C(NC2=NC=CC=C2NS(=O)(=O)C2=CC=C(C)C=C2)C=C1,ENAMINE-REAL : PV-005536986294,consensus,0.8125,enamine-real
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COC1=CC=C(S(=O)(=O)NC2=CC=CN=C2NC2=CC=C(C)C=C2)C=C1,ENAMINE-REAL : PV-005291983085,consensus,0.8125,enamine-real
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccccc2)cc1,ZINC15 : ZINC000502494698,consensus,0.8085106382978723,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccc(F)cc2)cc1,ZINC15 : ZINC000502490000,consensus,0.7959183673469388,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccc(C(=O)[O-])cc2)cc1,ZINC15 : ZINC000833733467,consensus,0.7843137254901961,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccc(C(C)=O)cc2)cc1,ZINC15 : ZINC000502478053,consensus,0.7843137254901961,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COCc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(OC)cc2)cc1,ZINC15 : ZINC000502477669,consensus,0.7843137254901961,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccc(C#N)cc2)cc1,ZINC15 : ZINC000182939761,consensus,0.75,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccc(OC)c(OC)c2)cc1,ZINC15 : ZINC000502397297,consensus,0.7307692307692307,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2cccc(OC)c2)cc1,ZINC15 : ZINC000679463712,consensus,0.7254901960784313,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COCCc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(OC)cc2)cc1,ZINC15 : ZINC000502390006,consensus,0.7222222222222222,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccc(CC#N)cc2)cc1,ZINC15 : ZINC001254352507,consensus,0.7090909090909091,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccc3ncccc3c2)cc1,ZINC15 : ZINC000502492893,consensus,0.7037037037037037,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccc(F)c(OC)c2)cc1,ZINC15 : ZINC000468987903,consensus,0.7037037037037037,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2ccc(OC)c(F)c2)cc1,ZINC15 : ZINC000502479138,consensus,0.6909090909090909,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(C)(=O)=O)cc1,ZINC15 : ZINC000130423706,consensus,0.6875,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COc1ccc(Nc2ncccc2NS(=O)(=O)c2cccc(F)c2)cc1,ZINC15 : ZINC000502396958,consensus,0.6851851851851852,zinc15
COC1=CC=C(C=C1)S(=O)(=O)NC1=C(NC2=CC=C(O)C=C2)N=CC=C1,URCVCIZFVQDVPM-UHFFFAOYSA-N,COCc1cccc(S(=O)(=O)Nc2cccnc2Nc2ccc(OC)cc2)c1,ZINC15 : ZINC000502473700,consensus,0.6785714285714286,zinc15
