query_smiles,query_inchikey,smiles,identifier,search_type,score,database
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,Nc1cccc2cc(S(=O)(=O)[O-])ccc12,ZINC15 : ZINC000001680645,consensus,0.71875,zinc15
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,Nc1cccc2cc(S(=O)(=O)Nc3ccccc3)ccc12,ZINC15 : ZINC000001669783,consensus,0.5897435897435898,zinc15
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3C4CCC3CC4)=CC=C12,ENAMINE-REAL : Z3403131295,consensus,0.5897435897435898,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,Nc1cccc2cc(S(=O)(=O)[N-]c3ccccc3)ccc12,ZINC15 : ZINC000001669783,consensus,0.5897435897435898,zinc15
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3CC4CC4C3)=CC=C12,ENAMINE-REAL : Z3474960813,consensus,0.5609756097560976,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3C[C@H]4CC[C@H]4C3)=CC=C12,ENAMINE-REAL : Z3618149243,consensus,0.5609756097560976,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3C[C@H]4COC[C@H]4C3)=CC=C12,ENAMINE-REAL : Z3474657307,consensus,0.5581395348837209,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,Nc1cccc2cc(C(=O)[O-])ccc12,ZINC15 : 1715593,consensus,0.5555555555555556,zinc15
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3C4CCCC3CC4)=CC=C12,ENAMINE-REAL : Z3407878838,consensus,0.5476190476190477,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,Nc1cccc2cc(S(=O)(=O)Nc3ccc(C(=O)[O-])cc3)ccc12,ZINC15 : ZINC000001669798,consensus,0.5454545454545454,zinc15
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,Nc1cccc2cc(O)ccc12,ZINC15 : 1672948,consensus,0.5454545454545454,zinc15
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3C[C@H]4CCC[C@H]4C3)=CC=C12,ENAMINE-REAL : Z3618228077,consensus,0.5348837209302325,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3C[C@H]4CC=CC[C@H]4C3)=CC=C12,ENAMINE-REAL : Z3474485428,consensus,0.5348837209302325,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3C4CCCC3C4)=CC=C12,ENAMINE-REAL : Z4924006481,consensus,0.5348837209302325,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3CC4CC=CCC4C3)=CC=C12,ENAMINE-REAL : Z3407264256,consensus,0.5348837209302325,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3CCC[C@H]3C3CC3)=CC=C12,ENAMINE-REAL : Z3821931326,consensus,0.5333333333333333,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3CCC4CC43)=CC=C12,ENAMINE-REAL : Z4081976022,consensus,0.5333333333333333,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3CCCC3C3CC3)=CC=C12,ENAMINE-REAL : Z3405793335,consensus,0.5333333333333333,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3CCC[C@@H]3C3CC3)=CC=C12,ENAMINE-REAL : Z3821725864,consensus,0.5333333333333333,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3CC[C@@H]4CC[C@@H]43)=CC=C12,ENAMINE-REAL : Z3864107149,consensus,0.5333333333333333,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,Nc1cccc2ccc(S(=O)(=O)[O-])cc12,ZINC15 : ZINC000001680644,consensus,0.5277777777777778,zinc15
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,Nc1cc(S(=O)(=O)[O-])cc2ccccc12,ZINC15 : ZINC000001669726,consensus,0.5277777777777778,zinc15
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)NC3C4CCCCC43)=CC=C12,ENAMINE-REAL : Z3407926453,consensus,0.5227272727272727,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3C4CCC3CC(=O)C4)=CC=C12,ENAMINE-REAL : Z3471002341,consensus,0.5227272727272727,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N[C@@H]3[C@H]4CCC[C@H]43)=CC=C12,ENAMINE-REAL : Z4975423437,consensus,0.5227272727272727,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3CCC4CCC3C4)=CC=C12,ENAMINE-REAL : Z3821310852,consensus,0.5217391304347826,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,CC(C)(O)C1CN(S(=O)(=O)C2=CC=C3C(N)=CC=CC3=C2)C1,ENAMINE-REAL : Z3620891677,consensus,0.5217391304347826,enamine-real
NC1=C2C=CC(=CC2=CC=C1)S(O)(=O)=O,UWPJYQYRSWYIGZ-UHFFFAOYSA-N,NC1=CC=CC2=CC(S(=O)(=O)N3CCC4CCCC43)=CC=C12,ENAMINE-REAL : Z3469564024,consensus,0.5217391304347826,enamine-real
