query_smiles,query_inchikey,smiles,identifier,search_type,score,database
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CC[C@@H](C(=O)NCCCC(O)C(=O)O)N1,ENAMINE-REAL : PV-008777443864,consensus,0.5384615384615384,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CCC(C(=O)NCCCC(O)C(=O)O)N1,ENAMINE-REAL : PV-008777443865,consensus,0.5384615384615384,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CC[C@H](C(=O)NCCCC(O)C(=O)O)N1,ENAMINE-REAL : PV-008777443866,consensus,0.5384615384615384,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CCC(C(=O)NCC[C@H](O)C(=O)O)N1,ENAMINE-REAL : PV-007286387797,consensus,0.4716981132075472,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CC[C@@H](C(=O)NCC[C@H](O)C(=O)O)N1,ENAMINE-REAL : PV-007286387802,consensus,0.4716981132075472,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CC[C@H](C(=O)NCC[C@H](O)C(=O)O)N1,ENAMINE-REAL : PV-007286387801,consensus,0.4716981132075472,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CCC(C(=O)NCC[C@@H](O)C(=O)O)N1,ENAMINE-REAL : PV-007286387800,consensus,0.4716981132075472,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CC[C@@H](C(=O)NCC[C@@H](O)C(=O)O)N1,ENAMINE-REAL : PV-007286387798,consensus,0.4716981132075472,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CC[C@H](C(=O)NCC[C@@H](O)C(=O)O)N1,ENAMINE-REAL : PV-007286387799,consensus,0.4716981132075472,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CCC[C@H](C(=O)NCCCC(O)C(=O)O)N1,ENAMINE-REAL : PV-007385599605,consensus,0.4642857142857143,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CC[C@@H](C(=O)NCCC(F)C(=O)O)N1,ENAMINE-REAL : PV-008537425186,consensus,0.46296296296296297,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CC[C@H](C(=O)NCCC(F)C(=O)O)N1,ENAMINE-REAL : PV-008537425187,consensus,0.46296296296296297,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CCC(C(=O)NCCC(F)C(=O)O)N1,ENAMINE-REAL : PV-008537425188,consensus,0.46296296296296297,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C1CCC2(CC2)N1)C(=O)O,ENAMINE-REAL : PV-008857316648,consensus,0.44642857142857145,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C1CC2(CCC2=O)C1)C(=O)O,ENAMINE-REAL : PV-004358927200,consensus,0.43103448275862066,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C12CCC(CC1)C(=O)C2)C(=O)O,ENAMINE-REAL : PV-004979300750,consensus,0.43103448275862066,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C1CCC2(CCC2)N1)C(=O)O,ENAMINE-REAL : PV-006926680937,consensus,0.43103448275862066,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C1CC(=O)CCO1)C(=O)O,ENAMINE-REAL : PV-006119947915,consensus,0.43103448275862066,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C1CC2(CNC2)C1)C(=O)O,ENAMINE-REAL : PV-006732457726,consensus,0.42857142857142855,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C1CC(=O)CO1)C(=O)O,ENAMINE-REAL : PV-006102298799,consensus,0.42105263157894735,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C1CC2(CC(=O)C2)C1)C(=O)O,ENAMINE-REAL : PV-008118246232,consensus,0.42105263157894735,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C1C2(CC2)C12CC2)C(=O)O,ENAMINE-REAL : PV-005918492902,consensus,0.41509433962264153,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C1CCC12CNC2)C(=O)O,ENAMINE-REAL : PV-006893009129,consensus,0.41379310344827586,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,CC(C)C1CN(C(=O)CCCNC(=N)N)CC(=O)N1,ENAMINE-REAL : PV-007199903410,consensus,0.4098360655737705,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CCC[C@H](C(=O)NCC[C@@H](O)C(=O)O)N1,ENAMINE-REAL : PV-008740811965,consensus,0.40350877192982454,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,O=C1CCC[C@H](C(=O)NCC[C@H](O)C(=O)O)N1,ENAMINE-REAL : PV-008740811966,consensus,0.40350877192982454,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,N[C@@H](CCCNC(=O)C12CNC(C1)C2)C(=O)O,ENAMINE-REAL : PV-007085179954,consensus,0.40350877192982454,enamine-real
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,UYCAGRPOUWSBIQ-WOYAITHZSA-N,CC(C)C1CN(C(=O)CCCCNC(=N)N)CC(=O)N1,ENAMINE-REAL : PV-007454367886,consensus,0.4032258064516129,enamine-real
